

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Pd-110                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -1.62905-25 -1.6291E-25   -3.069273502956D-05 4649  6   5   199    6
 -1.35262-27 -1.3526E-27    1.478611879172D-05 4649  6   5   268    6
 -2.20921-27 -2.2092E-27    4.526504949869D-06 4649  6   5   268    6
 -2.14459-27 -2.1446E-27   -4.662895938124D-06 4649  6   5   269    6
 -2.47075-27 -2.4708E-27   -2.023677021150D-05 4649  6   5   270    6
 -9.41959-28 -9.4196E-28   -1.061617331419D-06 4649  6   5   270    6
 -5.94059-28 -5.9406E-28   -1.683334483572D-06 4649  6   5   272    6
 -8.62746-27 -8.6275E-27   -4.636358789234D-06 4649  6   5   273    6
 -3.14065-28 -3.1407E-28   -1.592027128133D-05 4649  6   5   273    6
 -2.66784-28 -2.6678E-28    1.499340290270D-05 4649  6   5   274    6
 -8.73906-28 -8.7391E-28   -4.577151318225D-06 4649  6   5   274    6
 -6.20875-28 -6.2088E-28   -8.053150795201D-06 4649  6   5   274    6
 -7.98352-29 -7.9835E-29    2.505160630924D-06 4649  6   5   275    6
 -2.00584-28 -2.0058E-28    1.994177003159D-05 4649  6   5   275    6
 -1.21107-28 -1.2111E-28   -2.477148306847D-05 4649  6   5   275    6
 -3.10905-28 -3.1091E-28   -1.608208295129D-05 4649  6   5   275    6
 -1.94119-29 -1.9412E-29   -5.151479247317D-06 4649  6   5   276    6
 -1.81215-24 -1.8122E-24   -2.759153491701D-05 4649  6   5   279    6
 -4.55299-24 -4.5530E-24   -2.196358876281D-06 4649  6   5   279    6
 -2.74897-24 -2.7490E-24   -1.091317839045D-05 4649  6   5   279    6
 -7.05713-24 -7.0571E-24    4.251019890469D-06 4649  6   5   279    6
 -1.54262-28 -1.5426E-28    1.296495572480D-05 4649  6   5   355    6
 -3.25162-28 -3.2516E-28    6.150780226463D-06 4649  6   5   355    6
 -9.44167-29 -9.4417E-29   -3.177403997477D-06 4649  6   5   356    6
 -8.65487-29 -8.6549E-29   -3.466256570099D-06 4649  6   5   356    6
 -1.09879-28 -1.0988E-28   -9.100920102806D-06 4649  6   5   357    6
 -2.15768-28 -2.1577E-28   -9.269215082854D-06 4649  6   5   359    6
 -1.39502-28 -1.3950E-28    1.433671201845D-05 4649  6   5   359    6
 -1.27563-28 -1.2756E-28    2.351779120919D-05 4649  6   5   360    6
 -9.06282-29 -9.0628E-29    2.206818628219D-06 4649  6   5   360    6
 -1.16932-28 -1.1693E-28    1.710395785602D-05 4649  6   5   360    6
 -1.83879-29 -1.8388E-29   -5.438358920866D-06 4649  6   5   361    6
 -1.15176-28 -1.1518E-28   -3.472945752583D-05 4649  6   5   362    6
 -7.44655-29 -7.4466E-29   -6.714518804001D-06 4649  6   5   362    6
 -6.75371-30 -6.7537E-30    1.480667662760D-06 4649  6   5   363    6
 -2.21232-29 -2.2123E-29    9.040283503253D-06 4649  6   5   363    6
 -1.57176-29 -1.5718E-29   -2.544917799162D-05 4649  6   5   363    6
 -2.02796-29 -2.0280E-29   -1.972425491619D-05 4649  6   5   363    6
 -1.21518-24 -1.2152E-24   -1.645846705827D-05 4649  6   5   366    6
 -1.89317-30 -1.8932E-30   -1.584643745669D-05 4649  6   5   449    6
 -1.09926-29 -1.0993E-29   -3.638811564153D-05 4649  6   5   450    6
 -4.51239-30 -4.5124E-30   -2.216120503759D-06 4649  6   5   450    6
 -4.09643-29 -4.0964E-29    7.323449930865D-06 4649  6   5   451    6
 -1.75779-29 -1.7578E-29   -5.688961707655D-06 4649  6   5   452    6
 -1.87854-31 -1.8785E-31    2.129313190026D-05 4649  6   5   452    6
 -1.15453-29 -1.1545E-29    2.598459979375D-05 4649  6   5   452    6
 -3.04869-29 -3.0487E-29   -3.280097353322D-06 4649  6   5   453    6
 -1.97109-29 -1.9711E-29   -5.073335058317D-06 4649  6   5   453    6
 -2.56223-29 -2.5622E-29    1.170855075451D-05 4649  6   5   454    6
 -9.76834-30 -9.7683E-30    4.094861563094D-06 4649  6   5   454    6
 -1.05659-30 -1.0566E-30   -9.464409089579D-06 4649  6   5   455    6
 -2.65465-30 -2.6547E-30   -1.883487465383D-05 4649  6   5   455    6
 -1.60281-30 -1.6028E-30    6.239042681265D-06 4649  6   5   455    6
 -4.11471-30 -4.1147E-30    2.430304930520D-06 4649  6   5   455    6
 -5.31233-30 -5.3123E-30    5.647239535303D-06 4649  6   5   456    6
 -5.14238-30 -5.1424E-30   -3.889249724819D-06 4649  6   5   456    6
 -1.83884-24 -1.8388E-24    2.175284418444D-05 4649  6   5   459    6
 -4.62004-24 -4.6200E-24    8.657933697647D-06 4649  6   5   459    6
 -2.78945-24 -2.7895E-24   -1.792468049252D-05 4649  6   5   459    6
 -7.16107-24 -7.1611E-24   -4.189318076715D-06 4649  6   5   460    6
 -2.90923-15 -2.9092E-15    1.031200695707D-05 4649  6   5   461    6
 -1.20134-15 -1.2013E-15    3.329615262948D-05 4649  6   5   463    6
 -8.93109-16 -8.9311E-16   -1.119684159512D-06 4649  6   5   466    6
 -4.82305-16 -4.8231E-16   -1.036688402564D-05 4649  6   5   467    6
 -1.39248-16 -1.3925E-16   -1.436286338051D-05 4649  6   5   468    6
 -2.84965-16 -2.8497E-16   -1.754601442278D-05 4649  6   5   469    6
 -1.53244-15 -1.5324E-15    2.610216386932D-05 4649  6   5   474    6
 -1.27345-30 -1.2735E-30   -3.926341827317D-05 4649  6   5   563    6
 -3.25501-31 -3.2550E-31    3.072187182315D-06 4649  6   5   563    6
 -4.08347-31 -4.0835E-31   -7.346692886209D-06 4649  6   5   564    6
 -7.26837-31 -7.2684E-31   -4.127472872071D-06 4649  6   5   564    6
 -3.82694-31 -3.8269E-31    1.045221508578D-05 4649  6   5   564    6
 -3.27304-30 -3.2730E-30    1.222105443253D-05 4649  6   5   565    6
 -1.03253-31 -1.0325E-31    2.905484586409D-05 4649  6   5   566    6
 -1.70471-30 -1.7047E-30    5.866100392623D-06 4649  6   5   566    6
 -1.02057-30 -1.0206E-30   -2.939533789946D-05 4649  6   5   566    6
 -8.42734-31 -8.4273E-31    4.746456177303D-06 4649  6   5   566    6
 -3.45937-31 -3.4594E-31   -8.672099254955D-06 4649  6   5   567    6
 -6.24016-31 -6.2402E-31   -6.410092048979D-06 4649  6   5   567    6
 -1.51194-30 -1.5119E-30    2.645607629933D-05 4649  6   5   568    6
 -7.96063-31 -7.9606E-31    3.768545956686D-06 4649  6   5   568    6
 -1.01952-30 -1.0195E-30    1.961707470191D-05 4649  6   5   569    6
 -3.71134-32 -3.7113E-32    1.077777837661D-05 4649  6   5   569    6
 -2.14921-31 -2.1492E-31    4.652872450951D-06 4649  6   5   569    6
 -2.29145-31 -2.2915E-31   -2.182024482306D-05 4649  6   5   570    6
 -3.74258-31 -3.7426E-31   -5.343907144200D-06 4649  6   5   570    6
 -1.33478-31 -1.3348E-31   -1.498374263921D-05 4649  6   5   571    6
 -1.07066-23 -1.0707E-23   -3.736013300211D-05 4649  6   5   574    6
 -3.55743-24 -3.5574E-24    8.433054199340D-06 4649  6   5   575    6
 -1.76156-15 -1.7616E-15   -2.270714593888D-05 4649  6   5   576    6
 -3.53656-16 -3.5366E-16   -1.131042595056D-05 4649  6   5   578    6
 -5.61835-15 -5.6184E-15   -8.899409969202D-06 4649  6   5   579    6
 -1.58536-15 -1.5854E-15   -2.523086239081D-05 4649  6   5   582    6
 -3.83659-15 -3.8366E-15   -2.606481276284D-06 4649  6   5   584    6
