

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Sb-121                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -----------------------------------------------------------------------
 -5.72902-24 -5.7290E-24    3.490998460383D-06 5125  6   5    41    6
 -1.75338-24 -1.7534E-24   -1.140654051026D-05 5125  6   5    41    6
 -1.25974-24 -1.2597E-24    3.175258386660D-05 5125  6   5    67    6
 -4.12654-24 -4.1265E-24    9.693350846103D-06 5125  6   5    67    6
 -2.93174-24 -2.9317E-24    1.364377468674D-05 5125  6   5    67    6
 -3.78266-24 -3.7827E-24   -1.057456921842D-05 5125  6   5    67    6
 -7.15466-25 -7.1547E-25   -5.590761825175D-06 5125  6   5   117    6
 -1.41818-24 -1.4182E-24   -1.410258218271D-05 5125  6   5   117    6
 -1.61255-23 -1.6126E-23   -3.100679048721D-05 5125  6   5   183    6
 -6.61942-24 -6.6194E-24    3.021412752211D-06 5125  6   5   183    6
 -2.01567-27 -2.0157E-27   -1.488338865002D-05 5125  6   5   256    6
 -1.95118-27 -1.9512E-27   -1.025020756683D-05 5125  6   5   256    6
 -5.82637-24 -5.8264E-24   -5.149003581926D-06 5125  6   5   259    6
 -2.22127-24 -2.2213E-24   -1.350578722982D-05 5125  6   5   259    6
 -8.83616-29 -8.8362E-29   -4.526853293783D-06 5125  6   5   340    6
 -1.12998-29 -1.1300E-29   -1.769942830839D-05 5125  6   5   340    6
 -2.78438-24 -2.7844E-24   -7.182927617592D-06 5125  6   5   343    6
 -2.50385-24 -2.5039E-24   -1.996924735901D-05 5125  6   5   344    6
 -6.54853-16 -6.5485E-16    4.581180814554D-06 5125  6   5   345    6
 -8.41371-16 -8.4137E-16    1.188536329416D-06 5125  6   5   348    6
 -2.27294-16 -2.2729E-16    1.759835279405D-05 5125  6   5   351    6
 -2.98253-16 -2.9825E-16    1.005857443178D-05 5125  6   5   359    6
 -7.09151-16 -7.0915E-16    1.410136910217D-06 5125  6   5   360    6
 -3.57093-30 -3.5709E-30    8.401172803688D-06 5125  6   5   445    6
 -1.38447-30 -1.3845E-30   -2.166894190560D-05 5125  6   5   445    6
 -3.27336-30 -3.2734E-30   -1.221985971596D-05 5125  6   5   445    6
 -1.42709-30 -1.4271E-30   -7.007266535368D-06 5125  6   5   445    6
 -3.96664-24 -3.9666E-24    1.008410140584D-05 5125  6   5   448    6
 -8.36112-24 -8.3611E-24    2.392024035086D-06 5125  6   5   449    6
 -7.95415-16 -7.9542E-16   -6.286026791154D-06 5125  6   5   450    6
 -1.66379-15 -1.6638E-15   -6.010373905345D-06 5125  6   5   451    6
 -1.90344-15 -1.9034E-15    2.101458412133D-05 5125  6   5   452    6
 -2.60183-15 -2.6018E-15    1.153034594886D-05 5125  6   5   453    6
 -3.03144-24 -3.0314E-24    1.319504921757D-05 5125  6   5   560    6
 -2.16656-15 -2.1666E-15   -1.846244738198D-05 5125  6   5   563    6
 -1.69787-15 -1.6979E-15   -1.766919728844D-05 5125  6   5   566    6
 -6.47761-17 -6.4776E-17    1.543779264178D-06 5125  6   5   567    6
 -1.31391-15 -1.3139E-15    7.610871368644D-06 5125  6   5   568    6
 -9.72649-32 -9.7265E-32   -1.028120113181D-06 5125  6   5   672    6
 -9.41533-32 -9.4153E-32    3.186292992507D-06 5125  6   5   672    6
 -1.77591-33 -1.7759E-33    5.630915981176D-06 5125  6   5   673    6
 -2.26923-24 -2.2692E-24    1.322034346452D-05 5125  6   5   676    6
 -2.56512-24 -2.5651E-24    7.796906187718D-06 5125  6   5   676    6
 -1.58865-24 -1.5887E-24   -3.147326346272D-05 5125  6   5   677    6
 -1.09066-15 -1.0907E-15   -3.667504080107D-05 5125  6   5   679    6
 -3.60247-15 -3.6025E-15   -8.327619660988D-06 5125  6   5   680    6
 -5.29257-17 -5.2926E-17   -5.668323706658D-06 5125  6   5   683    6
 -6.02061-24 -6.0206E-24    1.660961264742D-06 5125  6   5   796    6
 -9.83337-24 -9.8334E-24   -3.050836081590D-06 5125  6   5   796    6
 -3.50705-24 -3.5071E-24   -1.425699662105D-05 5125  6   5   797    6
 -9.50704-17 -9.5070E-17    4.207408404610D-06 5125  6   5   799    6
 -1.17141-16 -1.1714E-16    8.536720704045D-06 5125  6   5   800    6
 -1.80361-33 -1.8036E-33    5.544435881254D-06 5125  6   5   917    6
 -6.20656-35 -6.2066E-35   -6.444793895548D-06 5125  6   5   918    6
 -2.37934-24 -2.3793E-24    1.681138466974D-05 5125  6   5   921    6
 -2.68959-24 -2.6896E-24   -3.718038808797D-06 5125  6   5   921    6
 -1.66574-24 -1.6657E-24    2.401335142346D-05 5125  6   5   922    6
 -1.48989-17 -1.4899E-17   -6.711904905764D-06 5125  6   5   923    6
 -1.92026-16 -1.9203E-16   -2.083051253473D-05 5125  6   5   925    6
 -9.47123-35 -9.4712E-35    3.167487221744D-06 5125  6   5  1046    6
 -1.39648-34 -1.3965E-34   -1.432172318971D-05 5125  6   5  1046    6
 -4.52205-35 -4.5221E-35   -1.105693214370D-05 5125  6   5  1047    6
 -3.55279-24 -3.5528E-24   -2.814689300555D-06 5125  6   5  1050    6
 -1.05429-24 -1.0543E-24   -9.485056293748D-06 5125  6   5  1050    6
 -3.69001-24 -3.6900E-24    2.710019756076D-06 5125  6   5  1051    6
 -1.99329-16 -1.9933E-16   -5.016831469667D-06 5125  6   5  1054    6
 -5.18644-24 -5.1864E-24    7.712419308905D-06 5125  6   5  1183    6
 -3.84039-24 -3.8404E-24   -2.603902207688D-06 5125  6   5  1184    6
 -2.27727-24 -2.2773E-24   -1.317366847146D-05 5125  6   5  1184    6
 -1.44279-17 -1.4428E-17   -6.931015601750D-06 5125  6   5  1185    6
 -3.09668-16 -3.0967E-16   -6.458529780233D-06 5125  6   5  1187    6
 -6.33975-16 -6.3398E-16   -7.886746322940D-06 5125  6   5  1188    6
 -3.48777-16 -3.4878E-16   -8.601484616251D-06 5125  6   5  1189    6
 -1.77463-16 -1.7746E-16    1.690493229562D-05 5125  6   5  1191    6
 -7.53758-17 -7.5376E-17   -2.653371506518D-06 5125  6   5  1192    6
 -1.97935-16 -1.9794E-16   -2.526081794522D-05 5125  6   5  1192    6
 -6.96888-17 -6.9689E-17   -2.869901619963D-06 5125  6   5  1195    6
 -4.64691-17 -4.6469E-17    2.151967651500D-06 5125  6   5  1196    6
 -1.34211-17 -1.3421E-17    7.450954094593D-06 5125  6   5  1197    6
 -2.07243-24 -2.0724E-24    1.447576033931D-05 5125  6   5  1340    6
 -2.34266-24 -2.3427E-24   -1.707460749751D-05 5125  6   5  1341    6
 -1.45088-24 -1.4509E-24   -1.378473753851D-05 5125  6   5  1341    6
 -4.93676-16 -4.9368E-16   -8.102480169119D-06 5125  6   5  1342    6
 -1.08307-15 -1.0831E-15   -2.769904069000D-05 5125  6   5  1344    6
 -6.11259-16 -6.1126E-16   -1.635967732201D-06 5125  6   5  1344    6
 -4.05065-16 -4.0507E-16   -1.234369792499D-05 5125  6   5  1346    6
 -6.55576-17 -6.5558E-17   -6.101504631072D-06 5125  6   5  1349    6
 -1.43049-16 -1.4305E-16   -6.990611608557D-06 5125  6   5  1352    6
 -5.12453-16 -5.1245E-16    5.854195409048D-06 5125  6   5  1353    6
 -7.73027-16 -7.7303E-16   -3.880847628806D-06 5125  6   5  1357    6
 -2.90415-17 -2.9042E-17   -1.721674155958D-05 5125  6   5  1358    6
 -5.83134-24 -5.8313E-24    6.859486841871D-06 5125  6   5  1501    6
 -2.26085-24 -2.2609E-24   -2.211557600012D-05 5125  6   5  1502    6
 -5.34539-24 -5.3454E-24   -1.870770888445D-06 5125  6   5  1502    6
 -2.33043-24 -2.3304E-24    1.287316074715D-05 5125  6   5  1502    6
 -2.21712-24 -2.2171E-24    9.020711553669D-06 5125  6   5  1502    6
 -2.01768-16 -2.0177E-16   -9.912374608509D-06 5125  6   5  1503    6
 -5.91866-16 -5.9187E-16   -6.758286504156D-06 5125  6   5  1506    6
 -2.39282-16 -2.3928E-16    8.358338696538D-06 5125  6   5  1507    6
 -4.13884-16 -4.1388E-16    9.664543688617D-06 5125  6   5  1511    6
 -1.36403-16 -1.3640E-16    2.199365116605D-05 5125  6   5  1513    6
 -5.53727-16 -5.5373E-16   -5.417832252993D-06 5125  6   5  1514    6
 -1.76751-16 -1.7675E-16    5.657676618478D-06 5125  6   5  1517    6
 -1.43181-24 -1.4318E-24    6.984166893607D-06 5125  6   5  1666    6
 -2.83811-24 -2.8381E-24    3.523471606146D-06 5125  6   5  1666    6
 -3.29704-24 -3.2970E-24    1.213209424214D-05 5125  6   5  1667    6
 -2.12893-16 -2.1289E-16    1.409158591406D-05 5125  6   5  1668    6
 -6.22814-17 -6.2281E-17    6.422463207345D-06 5125  6   5  1670    6
 -4.05922-16 -4.0592E-16    4.927054951407D-06 5125  6   5  1670    6
 -3.95802-16 -3.9580E-16    5.053031566250D-06 5125  6   5  1671    6
 -1.95923-16 -1.9592E-16    1.531213793175D-05 5125  6   5  1672    6
 -5.99674-16 -5.9967E-16    6.670290857983D-06 5125  6   5  1674    6
 -7.20677-16 -7.2068E-16   -4.162752523046D-06 5125  6   5  1675    6
 -4.04438-16 -4.0444E-16   -4.945133741105D-06 5125  6   5  1678    6
 -3.93559-16 -3.9356E-16   -2.540915085077D-06 5125  6   5  1680    6
 -3.76198-25 -3.7620E-25   -5.316349369230D-06 5125  6   5  1834    6
 -3.98179-24 -3.9818E-24   -2.511433300129D-06 5125  6   5  1834    6
 -1.38125-23 -1.3813E-23   -3.619909502274D-05 5125  6   5  1834    6
 -1.07675-15 -1.0768E-15   -4.643603436255D-05 5125  6   5  1835    6
 -8.36697-16 -8.3670E-16   -3.585527377238D-06 5125  6   5  1837    6
 -3.10552-16 -3.1055E-16    6.440145289630D-06 5125  6   5  1837    6
 -5.24757-16 -5.2476E-16   -5.716931837120D-06 5125  6   5  1839    6
 -1.86621-16 -1.8662E-16    5.358453764542D-06 5125  6   5  1842    6
 -2.71691-16 -2.7169E-16    3.680651917131D-06 5125  6   5  1843    6
 -2.98867-16 -2.9887E-16   -1.003790983950D-05 5125  6   5  1845    6
 -6.22249-17 -6.2225E-17   -1.607073695487D-06 5125  6   5  1849    6
 -2.37182-24 -2.3718E-24    8.432343095277D-06 5125  6   5  2001    6
 -2.68108-24 -2.6811E-24   -7.459680427243D-06 5125  6   5  2002    6
 -1.66047-24 -1.6605E-24   -1.806717375178D-05 5125  6   5  2002    6
 -1.36896-16 -1.3690E-16   -2.921926133703D-05 5125  6   5  2003    6
 -2.96302-16 -2.9630E-16    6.749870064951D-06 5125  6   5  2007    6
 -9.07765-17 -9.0777E-17   -5.508033466770D-06 5125  6   5  2014    6
 -1.67403-16 -1.6740E-16    1.792082579167D-05 5125  6   5  2015    6
 -6.70513-24 -6.7051E-24    4.474186182762D-06 5125  6   5  2172    6
 -1.09514-23 -1.0951E-23    3.652501050084D-05 5125  6   5  2172    6
