

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  K - 40                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -2.32173-27 -2.3217E-27    1.292139912918D-05 1928  6   5   117    6
 -5.92235-28 -5.9224E-28   -8.442594578116D-06 1928  6   5   119    6
 -1.93999-27 -1.9400E-27   -5.154665745485D-06 1928  6   5   119    6
 -1.37828-27 -1.3783E-27   -1.451083959722D-05 1928  6   5   119    6
 -1.77832-27 -1.7783E-27    1.124656979635D-05 1928  6   5   119    6
 -2.40507-27 -2.4051E-27   -1.247364941554D-05 1928  6   5   120    6
 -6.83941-27 -6.8394E-27    1.462114422037D-06 1928  6   5   120    6
 -1.91524-27 -1.9152E-27    2.088511100443D-05 1928  6   5   122    6
 -2.82392-27 -2.8239E-27    7.082353607709D-06 1928  6   5   122    6
 -1.41651-27 -1.4165E-27    7.059604238672D-06 1928  6   5   123    6
 -1.29847-27 -1.2985E-27   -2.310411484286D-05 1928  6   5   123    6
 -2.06997-27 -2.0700E-27   -1.449296366606D-05 1928  6   5   124    6
 -2.70214-27 -2.7021E-27    1.480308200172D-05 1928  6   5   125    6
 -2.61569-27 -2.6157E-27   -3.823083010579D-06 1928  6   5   125    6
 -1.71025-27 -1.7103E-27   -2.923549188719D-05 1928  6   5   126    6
 -5.39523-29 -5.3952E-29    5.560467301623D-06 1928  6   5   126    6
 -8.90757-28 -8.9076E-28   -3.367921890975D-06 1928  6   5   126    6
 -6.87549-29 -6.8755E-29   -1.454441792445D-06 1928  6   5   128    6
 -4.38364-28 -4.3836E-28    9.124836893528D-06 1928  6   5   130    6
 -1.79945-28 -1.7995E-28   -2.778626802630D-05 1928  6   5   130    6
 -3.77066-28 -3.7707E-28   -1.060822243319D-05 1928  6   5   131    6
 -1.54783-28 -1.5478E-28    1.938197347266D-05 1928  6   5   131    6
 -5.42958-28 -5.4296E-28   -3.683526166006D-06 1928  6   5   133    6
 -1.71284-29 -1.7128E-29    2.335302771995D-05 1928  6   5   133    6
 -2.82791-28 -2.8279E-28    3.536180430145D-06 1928  6   5   133    6
 -1.84454-28 -1.8445E-28    2.168562351586D-05 1928  6   5   134    6
 -3.88803-28 -3.8880E-28    7.715989845804D-06 1928  6   5   134    6
 -4.60907-29 -4.6091E-29   -6.508905267287D-06 1928  6   5   135    6
 -9.13601-29 -9.1360E-29    1.094569730061D-06 1928  6   5   135    6
 -1.20399-28 -1.2040E-28   -8.305716824879D-06 1928  6   5   136    6
 -2.53785-28 -2.5379E-28   -1.970171601953D-05 1928  6   5   136    6
 -2.36462-28 -2.3646E-28    8.458018624545D-06 1928  6   5   137    6
 -1.86134-30 -1.8613E-30    2.148989437727D-05 1928  6   5   137    6
 -2.82938-28 -2.8294E-28   -7.068686425992D-06 1928  6   5   138    6
 -1.02998-29 -1.0300E-29   -1.941785277390D-05 1928  6   5   138    6
 -2.28619-28 -2.2862E-28   -4.374089642489D-06 1928  6   5   139    6
 -8.32239-30 -8.3224E-30   -1.201577912025D-06 1928  6   5   139    6
 -1.88635-29 -1.8864E-29   -2.650621570755D-05 1928  6   5   140    6
 -6.17912-29 -6.1791E-29    3.236706845019D-06 1928  6   5   140    6
 -4.39002-29 -4.3900E-29    4.555787900783D-06 1928  6   5   140    6
 -5.36473-29 -5.3647E-29    5.592080123275D-06 1928  6   5   141    6
 -8.76213-29 -8.7621E-29    3.423825028815D-06 1928  6   5   141    6
 -1.70316-29 -1.7032E-29   -2.348575588912D-05 1928  6   5   142    6
 -3.12812-29 -3.1281E-29    6.393616613057D-06 1928  6   5   143    6
 -4.20033-29 -4.2003E-29    7.142295962397D-06 1928  6   5   144    6
 -1.32505-30 -1.3251E-30   -3.773442511588D-05 1928  6   5   144    6
 -2.18767-29 -2.1877E-29   -1.371322000120D-05 1928  6   5   144    6
 -1.37321-29 -1.3732E-29    7.282207382773D-06 1928  6   5   145    6
 -5.63695-30 -5.6370E-30   -8.870044971091D-06 1928  6   5   145    6
 -2.84423-30 -2.8442E-30    1.054767019553D-05 1928  6   5   146    6
 -5.63777-30 -5.6378E-30   -5.321252906588D-06 1928  6   5   146    6
 -1.55108-29 -1.5511E-29   -1.289424143172D-05 1928  6   5   147    6
 -1.98354-30 -1.9835E-30    2.016596589944D-05 1928  6   5   147    6
 -4.72109-30 -4.7211E-30   -2.118154917606D-06 1928  6   5   148    6
 -1.93798-30 -1.9380E-30   -1.032002394241D-05 1928  6   5   148    6
 -1.99432-30 -1.9943E-30    1.002848088567D-05 1928  6   5   149    6
 -5.91815-31 -5.9182E-31   -8.448586129076D-06 1928  6   5   149    6
