#    [ 6646 :  3 :   5 ]    66 - 163
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP            88  lin-lin  interpolation
  1.000000e+06  3.047719e-05
  1.500000e+06  8.712089e-05
  2.000000e+06  1.906835e-04
  2.500000e+06  3.597966e-04
  3.000000e+06  6.184103e-04
  3.500000e+06  9.983369e-04
  4.000000e+06  1.543000e-03
  4.500000e+06  2.312902e-03
  5.000000e+06  3.393084e-03
  5.500000e+06  4.901441e-03
  6.000000e+06  6.992923e-03
  6.500000e+06  9.852531e-03
  7.000000e+06  1.369497e-02
  7.500000e+06  1.884190e-02
  8.000000e+06  2.579837e-02
  8.500000e+06  3.484775e-02
  9.000000e+06  4.521760e-02
  9.500000e+06  5.600171e-02
  1.000000e+07  6.944621e-02
  1.050000e+07  9.188887e-02
  1.100000e+07  1.337048e-01
  1.150000e+07  2.081881e-01
  1.200000e+07  2.960496e-01
  1.250000e+07  3.058463e-01
  1.300000e+07  2.603804e-01
  1.350000e+07  2.364338e-01
  1.400000e+07  2.415869e-01
  1.450000e+07  2.643185e-01
  1.500000e+07  2.912471e-01
  1.550000e+07  3.086215e-01
  1.600000e+07  3.074049e-01
  1.650000e+07  2.881011e-01
  1.700000e+07  2.581478e-01
  1.750000e+07  2.254240e-01
  1.800000e+07  1.947868e-01
  1.850000e+07  1.681896e-01
  1.900000e+07  1.459084e-01
  1.950000e+07  1.275081e-01
  2.000000e+07  1.123555e-01
  2.100000e+07  8.916846e-02
  2.200000e+07  7.285256e-02
  2.300000e+07  6.098617e-02
  2.400000e+07  5.208200e-02
  2.500000e+07  4.521521e-02
  2.600000e+07  3.979516e-02
  2.700000e+07  3.543323e-02
  2.800000e+07  3.186622e-02
  2.900000e+07  2.891093e-02
  3.000000e+07  2.643661e-02
  3.200000e+07  2.257265e-02
  3.400000e+07  1.975818e-02
  3.600000e+07  1.768246e-02
  3.800000e+07  1.614388e-02
  4.000000e+07  1.500340e-02
  4.200000e+07  1.416077e-02
  4.400000e+07  1.354162e-02
  4.600000e+07  1.308979e-02
  4.800000e+07  1.276260e-02
  5.000000e+07  1.252742e-02
  5.200000e+07  1.235937e-02
  5.400000e+07  1.223944e-02
  5.600000e+07  1.215317e-02
  5.800000e+07  1.208956e-02
  6.000000e+07  1.204029e-02
  6.200000e+07  1.199910e-02
  6.400000e+07  1.196129e-02
  6.600000e+07  1.192338e-02
  6.800000e+07  1.188284e-02
  7.000000e+07  1.183783e-02
  7.200000e+07  1.178709e-02
  7.400000e+07  1.172978e-02
  7.600000e+07  1.166540e-02
  7.800000e+07  1.159369e-02
  8.000000e+07  1.151461e-02
  8.500000e+07  1.128555e-02
  9.000000e+07  1.101559e-02
  9.500000e+07  1.071141e-02
  1.000000e+08  1.038091e-02
  1.100000e+08  9.674186e-03
  1.200000e+08  8.961505e-03
  1.300000e+08  8.305346e-03
  1.400000e+08  7.763213e-03
  1.500000e+08  7.089642e-03
  1.600000e+08  6.507926e-03
  1.700000e+08  6.001441e-03
  1.800000e+08  5.557249e-03
  1.900000e+08  5.165141e-03
  2.000000e+08  4.816964e-03


