#    [ 6725 :  3 :   5 ]    67 - 165
# Cross section
#           QM -2.430000e+05  mass difference Q-value
#           QI -2.430000e+05  reaction Q-value
#           NR             1  number of interpolation range
#           NP           141  lin-lin  interpolation
  5.000000e+06  0.000000e+00
  6.000000e+06  0.000000e+00
  6.219030e+06  0.000000e+00
  6.292422e+06  0.000000e+00
  6.461261e+06  0.000000e+00
  6.669000e+06  0.000000e+00
  6.720352e+06  0.000000e+00
  6.980850e+06  0.000000e+00
  7.000000e+06  0.000000e+00
  7.047220e+06  0.000000e+00
  7.062710e+06  0.000000e+00
  7.135030e+06  0.000000e+00
  7.195920e+06  0.000000e+00
  7.243670e+06  0.000000e+00
  7.258330e+06  0.000000e+00
  7.341800e+06  0.000000e+00
  7.374780e+06  0.000000e+00
  7.385030e+06  0.000000e+00
  7.444170e+06  0.000000e+00
  7.480330e+06  0.000000e+00
  7.521600e+06  0.000000e+00
  7.521630e+06  0.000000e+00
  7.557000e+06  0.000000e+00
  7.988430e+06  0.000000e+00
  8.000000e+06  0.000000e+00
  8.025770e+06  1.288500e-17
  8.082410e+06  4.120500e-17
  8.128200e+06  6.410000e-17
  8.154430e+06  7.721500e-17
  8.177030e+06  8.851500e-17
  8.179430e+06  8.971500e-17
  8.192230e+06  9.611500e-17
  8.222930e+06  1.114700e-16
  8.249430e+06  1.247200e-16
  8.263430e+06  1.317200e-16
  8.282430e+06  1.412200e-16
  8.285730e+06  1.428700e-16
  8.306430e+06  1.532200e-16
  8.331230e+06  1.656200e-16
  8.355430e+06  1.777200e-16
  8.382430e+06  1.912200e-16
  8.400000e+06  2.000000e-16
  8.409430e+06  1.968600e-16
  8.418330e+06  1.938900e-16
  8.441030e+06  1.863200e-16
  8.474430e+06  1.751900e-16
  8.487430e+06  1.708600e-16
  8.546430e+06  1.511900e-16
  8.569000e+06  1.436700e-16
  8.569430e+06  1.435200e-16
  9.000000e+06  2.005900e-24
  9.400000e+06  8.973400e-24
  1.000000e+07  4.478900e-23
  1.040000e+07  2.223000e-14
  1.100000e+07  5.423000e-22
  1.140000e+07  1.837700e-21
  1.165300e+07  6.657100e-21
  1.166700e+07  6.923700e-21
  1.200000e+07  1.326700e-20
  1.240000e+07  2.593000e-13
  1.310000e+07  2.621000e-13
  1.340000e+07  4.405500e-19
  1.387700e+07  3.428900e-13
  1.400000e+07  4.313000e-13
  1.415400e+07  2.151900e-12
  1.440000e+07  4.900500e-12
  1.466200e+07  2.760600e-12
  1.488000e+07  9.801100e-13
  1.500000e+07  1.773900e-17
  1.520000e+07  2.639600e-17
  1.541000e+07  4.328500e-17
  1.561000e+07  6.484200e-17
  1.580000e+07  7.115800e-17
  1.600000e+07  4.245800e-11
  1.620000e+07  1.531300e-11
  1.640000e+07  1.923300e-16
  1.660000e+07  4.983600e-11
  1.680000e+07  1.620100e-11
  1.700000e+07  5.762600e-11
  1.720000e+07  4.996000e-16
  1.740000e+07  2.608000e-11
  1.760000e+07  4.421500e-11
  1.780000e+07  1.829300e-11
  1.792400e+07  2.017100e-11
  1.800000e+07  2.132300e-11
  1.900000e+07  1.481200e-12
  1.964800e+07  9.540800e-12
  1.967400e+07  9.864100e-12
  1.986300e+07  1.221500e-11
  1.986337e+07  1.221900e-11
  2.000000e+07  1.391900e-11
  2.014800e+07  2.344700e-11
  2.043700e+07  4.205200e-11
  2.100000e+07  7.829700e-11
  2.187200e+07  6.544600e-10
  2.200000e+07  7.390300e-10
  2.300000e+07  7.166440e-09
  2.307000e+07  8.549910e-09
  2.340000e+07  1.507200e-08
  2.400000e+07  3.860270e-08
  2.440000e+07  6.452820e-08
  2.510000e+07  1.251310e-07
  2.541000e+07  1.766690e-07
  2.610000e+07  3.327250e-07
  2.640000e+07  4.094460e-07
  2.700000e+07  6.753420e-07
  2.740000e+07  8.784480e-07
  2.800000e+07  1.435150e-06
  2.834400e+07  1.954670e-06
  2.900000e+07  2.945410e-06
  3.000000e+07  6.056630e-06
  3.040000e+07  7.546040e-06
  3.100000e+07  1.853820e-05
  3.200000e+07  4.692050e-04
  3.240000e+07  1.038196e-03
  3.300000e+07  2.399584e-03
  3.340000e+07  3.470846e-03
  3.400000e+07  5.212216e-03
  3.500000e+07  7.855601e-03
  3.600000e+07  9.974816e-03
  3.700000e+07  1.141694e-02
  3.800000e+07  1.227042e-02
  3.900000e+07  1.269028e-02
  4.000000e+07  1.265311e-02
  4.100000e+07  1.235788e-02
  4.200000e+07  1.187777e-02
  4.300000e+07  1.129694e-02
  4.400000e+07  1.063951e-02
  4.500000e+07  1.007084e-02
  5.010000e+07  9.602796e-03
  5.500000e+07  1.088024e-02
  6.000000e+07  1.154689e-02
  7.000000e+07  1.128918e-02
  8.000000e+07  1.076476e-02
  9.000000e+07  1.010124e-02
  1.001000e+08  9.356827e-03
  1.200000e+08  7.970619e-03
  1.400000e+08  6.909485e-03
  1.600000e+08  5.936721e-03
  1.800000e+08  5.225680e-03
  2.001000e+08  4.601401e-03


