#    [  325 :  3 :   5 ]     3 -   6
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP           171  lin-lin  interpolation
  1.000000e+06  0.000000e+00
  1.500000e+06  4.761600e-07
  2.000000e+06  8.143500e-05
  2.500000e+06  1.649500e-04
  3.000000e+06  2.510700e-04
  3.500000e+06  3.627500e-04
  4.000000e+06  4.789200e-04
  4.500000e+06  6.290100e-04
  5.000000e+06  8.177800e-04
  5.500000e+06  1.034900e-03
  6.000000e+06  1.230400e-03
  6.500000e+06  1.386400e-03
  7.000000e+06  1.501700e-03
  7.500000e+06  1.601200e-03
  8.000000e+06  1.687400e-03
  8.500000e+06  1.759200e-03
  9.000000e+06  1.815000e-03
  9.500000e+06  1.868200e-03
  1.000000e+07  1.932300e-03
  1.050000e+07  2.015100e-03
  1.100000e+07  2.099600e-03
  1.150000e+07  2.153700e-03
  1.200000e+07  2.148600e-03
  1.250000e+07  2.084700e-03
  1.300000e+07  1.987900e-03
  1.350000e+07  1.896900e-03
  1.400000e+07  1.846400e-03
  1.450000e+07  1.858200e-03
  1.500000e+07  1.943800e-03
  1.550000e+07  2.070200e-03
  1.600000e+07  2.154800e-03
  1.650000e+07  2.179100e-03
  1.700000e+07  2.231400e-03
  1.750000e+07  2.388900e-03
  1.800000e+07  2.661000e-03
  1.850000e+07  2.996100e-03
  1.900000e+07  3.270700e-03
  1.950000e+07  3.345200e-03
  2.000000e+07  3.212800e-03
  2.050000e+07  3.014100e-03
  2.100000e+07  2.909800e-03
  2.150000e+07  3.024500e-03
  2.200000e+07  3.485400e-03
  2.250000e+07  4.330200e-03
  2.300000e+07  4.804900e-03
  2.350000e+07  4.084600e-03
  2.400000e+07  3.183500e-03
  2.450000e+07  2.638600e-03
  2.500000e+07  2.353900e-03
  2.550000e+07  2.208400e-03
  2.600000e+07  2.134800e-03
  2.650000e+07  2.196300e-03
  2.700000e+07  2.174700e-03
  2.750000e+07  2.157700e-03
  2.800000e+07  2.137500e-03
  2.850000e+07  2.109800e-03
  2.900000e+07  2.072400e-03
  2.950000e+07  2.024500e-03
  3.000000e+07  1.967400e-03
  3.050000e+07  1.902900e-03
  3.100000e+07  1.833300e-03
  3.150000e+07  1.761000e-03
  3.200000e+07  1.688200e-03
  3.250000e+07  1.617200e-03
  3.300000e+07  1.549800e-03
  3.350000e+07  1.487600e-03
  3.400000e+07  1.431500e-03
  3.450000e+07  1.382200e-03
  3.500000e+07  1.340400e-03
  3.550000e+07  1.306400e-03
  3.600000e+07  1.280300e-03
  3.650000e+07  1.261800e-03
  3.700000e+07  1.249800e-03
  3.750000e+07  1.243600e-03
  3.800000e+07  1.241300e-03
  3.850000e+07  1.240500e-03
  3.900000e+07  1.238200e-03
  3.950000e+07  1.231100e-03
  4.000000e+07  1.216300e-03
  4.050000e+07  1.191900e-03
  4.100000e+07  1.157300e-03
  4.150000e+07  1.113200e-03
  4.200000e+07  1.061500e-03
  4.250000e+07  1.005100e-03
  4.300000e+07  9.467500e-04
  4.350000e+07  8.887700e-04
  4.400000e+07  8.329300e-04
  4.450000e+07  7.803400e-04
  4.500000e+07  7.316200e-04
  4.550000e+07  6.870100e-04
  4.600000e+07  6.464500e-04
  4.650000e+07  6.097600e-04
  4.700000e+07  5.766300e-04
  4.750000e+07  5.467600e-04
  4.800000e+07  5.198100e-04
  4.850000e+07  4.954800e-04
  4.900000e+07  4.734600e-04
  4.950000e+07  4.535100e-04
  5.000000e+07  4.353900e-04
  5.050000e+07  4.188900e-04
  5.100000e+07  4.038400e-04
  5.150000e+07  3.900500e-04
  5.200000e+07  3.772300e-04
  5.250000e+07  3.654400e-04
  5.300000e+07  3.545900e-04
  5.350000e+07  3.445700e-04
  5.400000e+07  3.353000e-04
  5.450000e+07  3.267000e-04
  5.500000e+07  3.187200e-04
  5.550000e+07  3.112900e-04
  5.600000e+07  3.043600e-04
  5.650000e+07  2.978900e-04
  5.700000e+07  2.918300e-04
  5.750000e+07  2.861500e-04
  5.800000e+07  2.808300e-04
  5.850000e+07  2.758200e-04
  5.900000e+07  2.711000e-04
  5.950000e+07  2.666500e-04
  6.000000e+07  2.624500e-04
  6.050000e+07  2.584800e-04
  6.100000e+07  2.547200e-04
  6.150000e+07  2.511500e-04
  6.200000e+07  2.477000e-04
  6.250000e+07  2.444200e-04
  6.300000e+07  2.413000e-04
  6.350000e+07  2.383300e-04
  6.400000e+07  2.355000e-04
  6.450000e+07  2.327900e-04
  6.500000e+07  2.302100e-04
  6.550000e+07  2.277400e-04
  6.600000e+07  2.253700e-04
  6.650000e+07  2.230900e-04
  6.700000e+07  2.209100e-04
  6.750000e+07  2.188200e-04
  6.800000e+07  2.168000e-04
  6.850000e+07  2.148600e-04
  6.900000e+07  2.129800e-04
  6.950000e+07  2.111800e-04
  7.000000e+07  2.094300e-04
  7.050000e+07  2.077500e-04
  7.100000e+07  2.061100e-04
  7.150000e+07  2.045300e-04
  7.200000e+07  2.029700e-04
  7.250000e+07  2.014600e-04
  7.300000e+07  1.999900e-04
  7.350000e+07  1.985600e-04
  7.400000e+07  1.971800e-04
  7.450000e+07  1.958300e-04
  7.500000e+07  1.945100e-04
  7.550000e+07  1.932300e-04
  7.600000e+07  1.919800e-04
  7.650000e+07  1.907500e-04
  7.700000e+07  1.895600e-04
  7.750000e+07  1.883900e-04
  7.800000e+07  1.872500e-04
  7.850000e+07  1.861300e-04
  7.900000e+07  1.850300e-04
  7.950000e+07  1.839500e-04
  8.000000e+07  1.829000e-04
  8.500000e+07  1.731500e-04
  9.000000e+07  1.645800e-04
  9.500000e+07  1.611000e-04
  1.000000e+08  1.571900e-04
  1.050000e+08  1.529600e-04
  1.100000e+08  1.485700e-04
  1.150000e+08  1.441100e-04
  1.200000e+08  1.397100e-04
  1.250000e+08  1.354700e-04
  1.300000e+08  1.314900e-04
  1.350000e+08  1.278600e-04
  1.400000e+08  1.246800e-04


