#    [ 5728 :  3 :   5 ]    57 - 139
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP            88  lin-lin  interpolation
  1.000000e+06  1.704669e-05
  1.500000e+06  4.875950e-05
  2.000000e+06  1.064111e-04
  2.500000e+06  1.996093e-04
  3.000000e+06  3.401180e-04
  3.500000e+06  5.427639e-04
  4.000000e+06  8.267139e-04
  4.500000e+06  1.217283e-03
  5.000000e+06  1.748393e-03
  5.500000e+06  2.465447e-03
  6.000000e+06  3.427132e-03
  6.500000e+06  4.702084e-03
  7.000000e+06  6.356750e-03
  7.500000e+06  8.454178e-03
  8.000000e+06  1.112859e-02
  8.500000e+06  1.474083e-02
  9.000000e+06  1.999156e-02
  9.500000e+06  2.794117e-02
  1.000000e+07  3.946752e-02
  1.050000e+07  5.261028e-02
  1.100000e+07  6.271181e-02
  1.150000e+07  7.222733e-02
  1.200000e+07  8.744133e-02
  1.250000e+07  1.122111e-01
  1.300000e+07  1.499518e-01
  1.350000e+07  2.041545e-01
  1.400000e+07  2.747999e-01
  1.450000e+07  3.500267e-01
  1.500000e+07  4.014361e-01
  1.550000e+07  4.038134e-01
  1.600000e+07  3.632363e-01
  1.650000e+07  3.059169e-01
  1.700000e+07  2.512830e-01
  1.750000e+07  2.062802e-01
  1.800000e+07  1.711772e-01
  1.850000e+07  1.441902e-01
  1.900000e+07  1.233755e-01
  1.950000e+07  1.071482e-01
  2.000000e+07  9.432559e-02
  2.100000e+07  7.548352e-02
  2.200000e+07  6.271832e-02
  2.300000e+07  5.367637e-02
  2.400000e+07  4.703318e-02
  2.500000e+07  4.200408e-02
  2.600000e+07  3.810184e-02
  2.700000e+07  3.501118e-02
  2.800000e+07  3.252063e-02
  2.900000e+07  3.048390e-02
  3.000000e+07  2.879702e-02
  3.200000e+07  2.618972e-02
  3.400000e+07  2.429439e-02
  3.600000e+07  2.287404e-02
  3.800000e+07  2.178169e-02
  4.000000e+07  2.092204e-02
  4.200000e+07  2.023092e-02
  4.400000e+07  1.966388e-02
  4.600000e+07  1.918931e-02
  4.800000e+07  1.878430e-02
  5.000000e+07  1.843193e-02
  5.200000e+07  1.811955e-02
  5.400000e+07  1.783757e-02
  5.600000e+07  1.757866e-02
  5.800000e+07  1.733718e-02
  6.000000e+07  1.710876e-02
  6.200000e+07  1.689001e-02
  6.400000e+07  1.667829e-02
  6.600000e+07  1.647154e-02
  6.800000e+07  1.626817e-02
  7.000000e+07  1.606697e-02
  7.200000e+07  1.586700e-02
  7.400000e+07  1.566756e-02
  7.600000e+07  1.546816e-02
  7.800000e+07  1.526845e-02
  8.000000e+07  1.506819e-02
  8.500000e+07  1.456455e-02
  9.000000e+07  1.405704e-02
  9.500000e+07  1.354775e-02
  1.000000e+08  1.304005e-02
  1.100000e+08  1.204630e-02
  1.200000e+08  1.111270e-02
  1.300000e+08  1.027816e-02
  1.400000e+08  9.581146e-03
  1.500000e+08  8.803469e-03
  1.600000e+08  8.130238e-03
  1.700000e+08  7.542579e-03
  1.800000e+08  7.025811e-03
  1.900000e+08  6.568355e-03
  2.000000e+08  6.160973e-03


