#    [ 2837 :  3 :   5 ]    28 -  62
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP            88  lin-lin  interpolation
  1.000000e+06  7.213513e-06
  1.500000e+06  1.936120e-05
  2.000000e+06  4.029846e-05
  2.500000e+06  7.275416e-05
  3.000000e+06  1.199218e-04
  3.500000e+06  1.856164e-04
  4.000000e+06  2.744862e-04
  4.500000e+06  3.923079e-04
  5.000000e+06  5.464115e-04
  5.500000e+06  7.462900e-04
  6.000000e+06  1.004460e-03
  6.500000e+06  1.337654e-03
  7.000000e+06  1.768398e-03
  7.500000e+06  2.326784e-03
  8.000000e+06  3.051294e-03
  8.500000e+06  3.984566e-03
  9.000000e+06  5.154130e-03
  9.500000e+06  6.528139e-03
  1.000000e+07  7.981092e-03
  1.050000e+07  9.385251e-03
  1.100000e+07  1.079995e-02
  1.150000e+07  1.247038e-02
  1.200000e+07  1.465968e-02
  1.250000e+07  1.757936e-02
  1.300000e+07  2.142106e-02
  1.350000e+07  2.639348e-02
  1.400000e+07  3.273024e-02
  1.450000e+07  4.066227e-02
  1.500000e+07  5.034304e-02
  1.550000e+07  6.171213e-02
  1.600000e+07  7.429726e-02
  1.650000e+07  8.701207e-02
  1.700000e+07  9.813385e-02
  1.750000e+07  1.057237e-01
  1.800000e+07  1.084593e-01
  1.850000e+07  1.062914e-01
  1.900000e+07  1.003433e-01
  1.950000e+07  9.221403e-02
  2.000000e+07  8.331888e-02
  2.100000e+07  6.648256e-02
  2.200000e+07  5.302738e-02
  2.300000e+07  4.291535e-02
  2.400000e+07  3.537628e-02
  2.500000e+07  2.968831e-02
  2.600000e+07  2.531755e-02
  2.700000e+07  2.189359e-02
  2.800000e+07  1.916262e-02
  2.900000e+07  1.694946e-02
  3.000000e+07  1.513142e-02
  3.200000e+07  1.235432e-02
  3.400000e+07  1.037484e-02
  3.600000e+07  8.933285e-03
  3.800000e+07  7.870103e-03
  4.000000e+07  7.080522e-03
  4.200000e+07  6.492107e-03
  4.400000e+07  6.052953e-03
  4.600000e+07  5.725005e-03
  4.800000e+07  5.479978e-03
  5.000000e+07  5.296684e-03
  5.200000e+07  5.159176e-03
  5.400000e+07  5.055420e-03
  5.600000e+07  4.976319e-03
  5.800000e+07  4.914992e-03
  6.000000e+07  4.866230e-03
  6.200000e+07  4.826094e-03
  6.400000e+07  4.791608e-03
  6.600000e+07  4.760531e-03
  6.800000e+07  4.731185e-03
  7.000000e+07  4.702324e-03
  7.200000e+07  4.673031e-03
  7.400000e+07  4.642645e-03
  7.600000e+07  4.610705e-03
  7.800000e+07  4.576901e-03
  8.000000e+07  4.541040e-03
  8.500000e+07  4.441921e-03
  9.000000e+07  4.329644e-03
  9.500000e+07  4.205877e-03
  1.000000e+08  4.073095e-03
  1.100000e+08  3.792082e-03
  1.200000e+08  3.510627e-03
  1.300000e+08  3.252301e-03
  1.400000e+08  3.039153e-03
  1.500000e+08  2.774987e-03
  1.600000e+08  2.546965e-03
  1.700000e+08  2.348509e-03
  1.800000e+08  2.174512e-03
  1.900000e+08  2.020953e-03
  2.000000e+08  1.884622e-03


