#    [ 2325 :  3 :   5 ]    23 -  50
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP            88  lin-lin  interpolation
  1.000000e+06  5.967855e-06
  1.500000e+06  1.563208e-05
  2.000000e+06  3.193472e-05
  2.500000e+06  5.680004e-05
  3.000000e+06  9.247126e-05
  3.500000e+06  1.416122e-04
  4.000000e+06  2.074430e-04
  4.500000e+06  2.939294e-04
  5.000000e+06  4.060530e-04
  5.500000e+06  5.501977e-04
  6.000000e+06  7.346926e-04
  6.500000e+06  9.705723e-04
  7.000000e+06  1.272646e-03
  7.500000e+06  1.660980e-03
  8.000000e+06  2.162789e-03
  8.500000e+06  2.814113e-03
  9.000000e+06  3.658643e-03
  9.500000e+06  4.735711e-03
  1.000000e+07  6.042389e-03
  1.050000e+07  7.471305e-03
  1.100000e+07  8.817824e-03
  1.150000e+07  9.977737e-03
  1.200000e+07  1.111540e-02
  1.250000e+07  1.252468e-02
  1.300000e+07  1.444327e-02
  1.350000e+07  1.703243e-02
  1.400000e+07  2.042255e-02
  1.450000e+07  2.473550e-02
  1.500000e+07  3.006771e-02
  1.550000e+07  3.643413e-02
  1.600000e+07  4.368060e-02
  1.650000e+07  5.140368e-02
  1.700000e+07  5.895899e-02
  1.750000e+07  6.561351e-02
  1.800000e+07  7.075744e-02
  1.850000e+07  7.401162e-02
  1.900000e+07  7.521097e-02
  1.950000e+07  7.438704e-02
  2.000000e+07  7.178655e-02
  2.100000e+07  6.300581e-02
  2.200000e+07  5.278394e-02
  2.300000e+07  4.353228e-02
  2.400000e+07  3.598512e-02
  2.500000e+07  3.005463e-02
  2.600000e+07  2.542615e-02
  2.700000e+07  2.178977e-02
  2.800000e+07  1.889866e-02
  2.900000e+07  1.656939e-02
  3.000000e+07  1.466857e-02
  3.200000e+07  1.179077e-02
  3.400000e+07  9.758130e-03
  3.600000e+07  8.284632e-03
  3.800000e+07  7.198213e-03
  4.000000e+07  6.388657e-03
  4.200000e+07  5.781474e-03
  4.400000e+07  5.324210e-03
  4.600000e+07  4.978851e-03
  4.800000e+07  4.717332e-03
  5.000000e+07  4.518688e-03
  5.200000e+07  4.367145e-03
  5.400000e+07  4.250780e-03
  5.600000e+07  4.160558e-03
  5.800000e+07  4.089613e-03
  6.000000e+07  4.032725e-03
  6.200000e+07  3.985922e-03
  6.400000e+07  3.946183e-03
  6.600000e+07  3.911212e-03
  6.800000e+07  3.879269e-03
  7.000000e+07  3.849042e-03
  7.200000e+07  3.819550e-03
  7.400000e+07  3.790065e-03
  7.600000e+07  3.760058e-03
  7.800000e+07  3.729152e-03
  8.000000e+07  3.697091e-03
  8.500000e+07  3.610993e-03
  9.000000e+07  3.516006e-03
  9.500000e+07  3.412896e-03
  1.000000e+08  3.303292e-03
  1.100000e+08  3.073094e-03
  1.200000e+08  2.843713e-03
  1.300000e+08  2.633680e-03
  1.400000e+08  2.460561e-03
  1.500000e+08  2.246397e-03
  1.600000e+08  2.061610e-03
  1.700000e+08  1.900831e-03
  1.800000e+08  1.759900e-03
  1.900000e+08  1.635543e-03
  2.000000e+08  1.525153e-03


