#    [ 2725 :  3 :   5 ]    27 -  59
# Cross section
#           QM -7.320000e+06  mass difference Q-value
#           QI -7.320000e+06  reaction Q-value
#           NR             1  number of interpolation range
#           NP            87  lin-lin  interpolation
  7.320000e+06  0.000000e+00
  1.025000e+07  3.576461e-08
  1.050000e+07  2.886242e-08
  1.075000e+07  2.162350e-09
  1.100000e+07  2.836057e-09
  1.125000e+07  4.743518e-09
  1.150000e+07  7.093184e-09
  1.175000e+07  1.023041e-08
  1.200000e+07  1.416480e-08
  1.225000e+07  1.746449e-08
  1.250000e+07  2.271200e-08
  1.275000e+07  2.946521e-08
  1.300000e+07  3.676670e-08
  1.325000e+07  2.894011e-07
  1.350000e+07  1.519908e-06
  1.375000e+07  5.684668e-06
  1.400000e+07  1.707325e-05
  1.425000e+07  4.379718e-05
  1.450000e+07  9.915660e-05
  1.475000e+07  2.028211e-04
  1.500000e+07  3.786585e-04
  1.525000e+07  6.551374e-04
  1.550000e+07  1.059644e-03
  1.575000e+07  1.613842e-03
  1.600000e+07  2.330009e-03
  1.625000e+07  3.204072e-03
  1.650000e+07  4.225430e-03
  1.675000e+07  5.360665e-03
  1.700000e+07  6.567470e-03
  1.725000e+07  7.796951e-03
  1.750000e+07  8.999759e-03
  1.775000e+07  1.015618e-02
  1.800000e+07  1.124411e-02
  1.825000e+07  1.226676e-02
  1.850000e+07  1.323478e-02
  1.875000e+07  1.414796e-02
  1.900000e+07  1.503450e-02
  1.925000e+07  1.575337e-02
  1.950000e+07  1.637209e-02
  1.975000e+07  1.674413e-02
  2.000000e+07  1.682348e-02
  2.050000e+07  1.622749e-02
  2.100000e+07  1.489900e-02
  2.150000e+07  1.326370e-02
  2.200000e+07  1.164870e-02
  2.250000e+07  1.033714e-02
  2.300000e+07  9.125810e-03
  2.350000e+07  8.138441e-03
  2.400000e+07  7.166101e-03
  2.450000e+07  6.267372e-03
  2.500000e+07  5.306398e-03
  2.550000e+07  4.476810e-03
  2.600000e+07  3.660402e-03
  2.650000e+07  3.036550e-03
  2.700000e+07  2.425715e-03
  2.750000e+07  2.033177e-03
  2.800000e+07  1.640346e-03
  2.850000e+07  1.376570e-03
  2.900000e+07  1.124987e-03
  3.000000e+07  8.268044e-04
  3.100000e+07  6.289799e-04
  3.200000e+07  4.957539e-04
  3.300000e+07  4.431081e-04
  3.400000e+07  4.163415e-04
  3.500000e+07  4.482434e-04
  3.600000e+07  6.612578e-04
  3.700000e+07  8.150382e-04
  3.800000e+07  1.159078e-03
  3.900000e+07  1.371865e-03
  4.000000e+07  1.606380e-03
  4.100000e+07  1.914022e-03
  4.200000e+07  2.020416e-03
  4.300000e+07  2.177266e-03
  4.400000e+07  2.360202e-03
  4.500000e+07  2.501476e-03
  5.000000e+07  3.703128e-03
  5.500000e+07  4.860440e-03
  6.000000e+07  5.492261e-03
  7.000000e+07  5.829200e-03
  8.000000e+07  6.527364e-03
  9.000000e+07  6.876423e-03
  1.000000e+08  6.816390e-03
  1.200000e+08  6.141169e-03
  1.400000e+08  5.399392e-03
  1.600000e+08  4.557247e-03
  1.800000e+08  3.937841e-03
  2.000000e+08  3.439884e-03


