#    [ 6525 :  3 :   5 ]    65 - 159
# Cross section
#           QM -9.928600e+05  mass difference Q-value
#           QI -9.928600e+05  reaction Q-value
#           NR             1  number of interpolation range
#           NP           180  lin-lin  interpolation
  4.000000e+06  0.000000e+00
  5.000000e+06  0.000000e+00
  5.500000e+06  0.000000e+00
  6.000000e+06  0.000000e+00
  6.131030e+06  0.000000e+00
  6.210543e+06  0.000000e+00
  6.392487e+06  0.000000e+00
  6.500000e+06  0.000000e+00
  6.670051e+06  8.795500e-17
  6.791000e+06  1.505100e-16
  7.000000e+06  2.586100e-16
  7.035150e+06  2.492200e-16
  7.108175e+06  2.297000e-16
  7.154727e+06  2.172600e-16
  7.172668e+06  2.124600e-16
  7.289998e+06  1.811000e-16
  7.307509e+06  1.764200e-16
  7.318173e+06  1.735700e-16
  7.327195e+06  1.711600e-16
  7.390899e+06  1.541300e-16
  7.394544e+06  1.531600e-16
  7.396548e+06  1.526200e-16
  7.481030e+06  1.300400e-16
  7.489497e+06  1.277800e-16
  7.500000e+06  1.249700e-16
  7.502968e+06  1.242300e-16
  7.511656e+06  1.220600e-16
  7.522030e+06  1.194600e-16
  7.533966e+06  1.164800e-16
  7.537730e+06  1.155400e-16
  7.545030e+06  1.137200e-16
  7.571030e+06  1.072200e-16
  7.583382e+06  1.041300e-16
  7.612451e+06  9.686400e-17
  7.630096e+06  9.245400e-17
  7.630126e+06  9.244600e-17
  8.000000e+06  0.000000e+00
  8.133430e+06  2.552100e-27
  8.188470e+06  3.604900e-27
  8.213330e+06  4.080400e-27
  8.243730e+06  4.661800e-27
  8.248930e+06  4.761300e-27
  8.261730e+06  5.006100e-27
  8.290001e+06  5.546900e-27
  8.300830e+06  5.754000e-27
  8.312330e+06  5.974000e-27
  8.341230e+06  6.526700e-27
  8.350730e+06  6.708400e-27
  8.375430e+06  7.180900e-27
  8.414030e+06  7.919200e-27
  8.431930e+06  8.261600e-27
  8.456030e+06  8.722500e-27
  8.457430e+06  8.749300e-27
  8.471530e+06  9.019000e-27
  8.493230e+06  9.434100e-27
  8.504630e+06  9.652100e-27
  8.514530e+06  9.841500e-27
  8.521830e+06  9.981100e-27
  8.539430e+06  1.031800e-26
  8.541530e+06  1.035800e-26
  8.552730e+06  1.057200e-26
  8.572430e+06  1.094900e-26
  8.577830e+06  1.105200e-26
  8.594330e+06  1.136800e-26
