#    [ 2434 :  3 :   5 ]    24 -  53
# Cross section
#           QM 0.0000000e+00  mass difference Q-value
#           QI 0.0000000e+00  reaction Q-value
#           NR             1  number of interpolation range
#           NP           102  lin-lin  interpolation
  1.000000e-05  0.000000e+00
  2.530000e-02  0.000000e+00
  9.990000e+05  0.000000e+00
  1.000000e+06  7.588660e-08
  2.000000e+06  1.232890e-06
  3.000000e+06  6.404210e-06
  4.000000e+06  2.100060e-05
  5.000000e+06  5.389230e-05
  6.000000e+06  1.194710e-04
  7.000000e+06  2.412500e-04
  8.000000e+06  4.567620e-04
  9.000000e+06  8.247470e-04
  1.100000e+07  2.450000e-03
  1.130000e+07  2.957000e-03
  1.160000e+07  3.464000e-03
  1.200000e+07  4.140000e-03
  1.240000e+07  5.296000e-03
  1.280000e+07  6.452000e-03
  1.320000e+07  8.050000e-03
  1.360000e+07  1.009000e-02
  1.400000e+07  1.213000e-02
  1.440000e+07  1.592600e-02
  1.480000e+07  1.972200e-02
  1.520000e+07  2.467600e-02
  1.560000e+07  3.137400e-02
  1.600000e+07  3.983000e-02
  1.640000e+07  5.114200e-02
  1.680000e+07  6.436200e-02
  1.720000e+07  7.834600e-02
  1.760000e+07  9.149000e-02
  1.800000e+07  1.017300e-01
  1.840000e+07  1.055300e-01
  1.880000e+07  1.054960e-01
  1.920000e+07  1.030240e-01
  1.960000e+07  9.921400e-02
  2.000000e+07  9.487000e-02
  2.040000e+07  9.018200e-02
  2.120000e+07  8.024600e-02
  2.140000e+07  7.768200e-02
  2.160000e+07  7.512800e-02
  2.200000e+07  7.004000e-02
  2.240000e+07  6.520000e-02
  2.280000e+07  6.064200e-02
  2.320000e+07  5.641000e-02
  2.360000e+07  5.252600e-02
  2.400000e+07  4.899000e-02
  2.440000e+07  4.588600e-02
  2.480000e+07  4.308200e-02
  2.520000e+07  4.055000e-02
  2.560000e+07  3.826600e-02
  2.600000e+07  3.621000e-02
  2.640000e+07  3.440200e-02
  2.680000e+07  3.276200e-02
  2.720000e+07  3.127400e-02
  2.760000e+07  2.992200e-02
  2.800000e+07  2.869000e-02
  2.840000e+07  2.759400e-02
  2.890000e+07  2.633600e-02
  2.920000e+07  2.565000e-02
  2.960000e+07  2.479400e-02
  3.000000e+07  2.401000e-02
  3.050000e+07  2.312000e-02
  3.100000e+07  2.231000e-02
  3.200000e+07  2.090000e-02
  3.300000e+07  1.973000e-02
  3.400000e+07  1.873000e-02
  3.500000e+07  1.787000e-02
  3.600000e+07  1.713000e-02
  3.700000e+07  1.648000e-02
  3.800000e+07  1.591000e-02
  3.900000e+07  1.541000e-02
  4.000000e+07  1.495000e-02
  4.100000e+07  1.454000e-02
  4.200000e+07  1.417000e-02
  4.300000e+07  1.384000e-02
  4.400000e+07  1.353000e-02
  4.500000e+07  1.324000e-02
  4.600000e+07  1.298000e-02
  4.720000e+07  1.268200e-02
  4.820000e+07  1.245600e-02
  4.900000e+07  1.228000e-02
  5.000000e+07  1.208000e-02
  5.100000e+07  1.189000e-02
  5.200000e+07  1.171000e-02
  5.300000e+07  1.153000e-02
  5.400000e+07  1.137000e-02
  5.520000e+07  1.117800e-02
  5.600000e+07  1.105000e-02
  5.700000e+07  1.091000e-02
  5.820000e+07  1.073600e-02
  5.900000e+07  1.063000e-02
  6.000000e+07  1.050000e-02
  7.000000e+07  9.340000e-03
  8.000000e+07  8.380000e-03
  9.000000e+07  7.540000e-03
  1.000000e+08  6.780000e-03
  1.100000e+08  6.110000e-03
  1.200000e+08  5.500000e-03
  1.400000e+08  4.550000e-03
  1.600000e+08  3.730000e-03
  1.800000e+08  3.120000e-03
  2.000000e+08  2.660000e-03


