  Merge ENDF/B Data into MAT/MF/MT Order (MERGER 2019-1)
 ************************************************************************
 Interpretation of Input Parameters
 ************************************************************************
 Output Filename
 ------------------------------------------------------------------------
 MERGER.OUT                                                              
 ------------------------------------------------------------------------
 Merged File Label
 ------------------------------------------------------------------------
                                                                      0
 ------------------------------------------------------------------------
 Retrieval Criteria-----------        MAT
 ------------------------------------------------------------------------
 Input Filenames
 ------------------------------------------------------------------------
 MERGER.IN                                                               
 ------------------------------------------------------------------------
 Retrieval Criteria
 ------------------------------------------------------------------------
 Request *   Lower Limit *   Upper Limit  
  Number *    MAT MF  MT *    MAT MF  MT  
 ------------------------------------------------------------------------
       1 *      0  1   1 * 999999  3 999
       2 *      0 10   1 * 999999 10 999
       3 *      0 33   1 * 999999 33 999
       4 *      0 40   1 * 999999 40 999
 ------------------------------------------------------------------------
 ************************************************************************
 Retrieved Data
 ************************************************************************
     ZA  MAT MF  MT  Lines  Unit Request Message
                                  Number
 ------------------------------------------------------------------------
  27059 2725  1 451    961    11       1
  27059 2725  3   1     87    11       1
  27059 2725  3   4     62    11       1
  27059 2725  3   5     83    11       1
  27059 2725  3  11     16    11       1
  27059 2725  3  16     25    11       1
  27059 2725  3  17     14    11       1
  27059 2725  3  22     29    11       1
  27059 2725  3  28     28    11       1
  27059 2725  3  32     21    11       1
  27059 2725  3  33     16    11       1
  27059 2725  3  34     17    11       1
  27059 2725  3  41     19    11       1
  27059 2725  3  42     12    11       1
  27059 2725  3  44     16    11       1
  27059 2725  3  50     62    11       1
  27059 2725  3  51     62    11       1
  27059 2725  3  52     61    11       1
  27059 2725  3  53     60    11       1
  27059 2725  3  54     58    11       1
  27059 2725  3  55     58    11       1
  27059 2725  3  56     57    11       1
  27059 2725  3  57     53    11       1
  27059 2725  3  58     52    11       1
  27059 2725  3  59     51    11       1
  27059 2725  3  60     50    11       1
  27059 2725  3  61     50    11       1
  27059 2725  3  62     49    11       1
  27059 2725  3  63     48    11       1
  27059 2725  3  64     47    11       1
  27059 2725  3  65     45    11       1
