

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Ni- 58                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -1.11138-28 -1.1114E-28   -1.799564505387D-05 2825  6   5   107    6
 -2.85312-28 -2.8531E-28    7.009869896962D-06 2825  6   5   107    6
 -3.34153-28 -3.3415E-28    8.977923286693D-06 2825  6   5   110    6
 -3.23463-28 -3.2346E-28    9.274631101605D-06 2825  6   5   110    6
 -5.80243-30 -5.8024E-30    5.170247637606D-06 2825  6   5   111    6
 -6.33161-29 -6.3316E-29    1.579377125176D-06 2825  6   5   112    6
 -1.33462-28 -1.3346E-28    1.498553895489D-05 2825  6   5   112    6
 -1.69923-28 -1.6992E-28    1.765505552526D-05 2825  6   5   113    6
 -1.64487-28 -1.6449E-28   -1.823852340912D-05 2825  6   5   113    6
 -1.05118-29 -1.0512E-29   -1.902623718113D-05 2825  6   5   114    6
 -3.79629-29 -3.7963E-29   -2.634150710325D-06 2825  6   5   115    6
 -3.60137-29 -3.6014E-29   -8.330163243359D-06 2825  6   5   116    6
 -2.67649-29 -2.6765E-29   -3.736236638320D-06 2825  6   5   117    6
 -3.72687-30 -3.7269E-30   -8.049650242663D-06 2825  6   5   118    6
 -7.38733-30 -7.3873E-30    4.061007156736D-06 2825  6   5   118    6
 -1.36704-29 -1.3670E-29    2.926029962535D-05 2825  6   5   119    6
 -3.49422-30 -3.4942E-30    5.723738058828D-06 2825  6   5   119    6
 -5.12231-23 -5.1223E-23    1.952244202317D-06 2825  6   5   120    6
 -2.66787-23 -2.6679E-23   -1.124492572745D-05 2825  6   5   120    6
 -4.24836-30 -4.2484E-30   -9.415397941755D-06 2825  6   5   121    6
 -1.74392-30 -1.7439E-30    1.146841598234D-05 2825  6   5   121    6
 -4.19685-30 -4.1969E-30   -1.191369717760D-05 2825  6   5   122    6
 -3.23437-30 -3.2344E-30   -9.275376657548D-06 2825  6   5   122    6
 -2.72436-23 -2.7244E-23   -1.468234741388D-05 2825  6   5   123    6
 -1.05625-23 -1.0563E-23   -4.733727810666D-05 2825  6   5   123    6
 -2.49733-23 -2.4973E-23    1.201282970209D-05 2825  6   5   123    6
 -1.05035-30 -1.0504E-30   -4.760317989238D-05 2825  6   5   124    6
 -4.07225-31 -4.0723E-31   -1.227822456868D-05 2825  6   5   124    6
 -9.62817-31 -9.6282E-31   -3.115856907302D-06 2825  6   5   124    6
 -6.79731-31 -6.7973E-31    1.471170212968D-06 2825  6   5   125    6
 -2.59143-31 -2.5914E-31    1.157661985855D-05 2825  6   5   125    6
 -4.21221-31 -4.2122E-31    2.374050676559D-06 2825  6   5   126    6
 -2.19386-31 -2.1939E-31   -1.823270400113D-05 2825  6   5   126    6
 -1.78641-31 -1.7864E-31    5.597819089733D-06 2825  6   5   127    6
 -6.50306-33 -6.5031E-33   -6.150950475703D-06 2825  6   5   127    6
 -1.98947-32 -1.9895E-32   -1.507939300419D-05 2825  6   5   128    6
 -1.92582-32 -1.9258E-32    1.038518656994D-05 2825  6   5   128    6
 -5.12467-23 -5.1247E-23   -5.854035479456D-06 2825  6   5   129    6
 -3.94941-23 -3.9494E-23    2.532023770632D-06 2825  6   5   129    6
 -3.57511-25 -3.5751E-25    2.797116732080D-06 2825  6   5   132    6
 -7.08652-25 -7.0865E-25    2.822259726926D-06 2825  6   5   132    6
 -8.23245-25 -8.2325E-25   -6.073526107013D-06 2825  6   5   133    6
 -3.19784-16 -3.1978E-16    1.250844319907D-05 2825  6   5   134    6
 -2.68996-28 -2.6900E-28   -1.487010959252D-05 2825  6   5   169    6
 -1.28433-28 -1.2843E-28    2.335848263294D-05 2825  6   5   170    6
 -7.72933-30 -7.7293E-30    3.881319596986D-06 2825  6   5   173    6
 -8.18096-29 -8.1810E-29   -4.889401732852D-06 2825  6   5   174    6
 -7.32909-29 -7.3291E-29   -1.364425869997D-06 2825  6   5   175    6
 -1.54487-28 -1.5449E-28   -1.941910969852D-05 2825  6   5   176    6
 -1.48882-28 -1.4888E-28    1.343345736890D-05 2825  6   5   177    6
 -4.69668-30 -4.6967E-30   -4.258327158741D-06 2825  6   5   177    6
 -7.75426-29 -7.7543E-29   -5.158454836489D-06 2825  6   5   177    6
 -4.64229-29 -4.6423E-29   -2.154109286602D-06 2825  6   5   177    6
 -1.29975-29 -1.2998E-29   -3.846893633386D-05 2825  6   5   180    6
 -1.97168-29 -1.9717E-29   -1.014363385549D-05 2825  6   5   180    6
 -5.06168-29 -5.0617E-29   -3.951257290109D-06 2825  6   5   180    6
 -1.02511-29 -1.0251E-29    9.755050677448D-06 2825  6   5   181    6
 -2.57556-29 -2.5756E-29   -1.553060305347D-05 2825  6   5   181    6
 -1.55505-29 -1.5551E-29   -3.215330696776D-05 2825  6   5   181    6
 -3.99211-29 -3.9921E-29    2.504940995999D-06 2825  6   5   182    6
 -9.80002-30 -9.8000E-30    2.040812161599D-06 2825  6   5   182    6
 -1.10779-29 -1.1078E-29   -9.026981648235D-06 2825  6   5   183    6
 -6.86084-30 -6.8608E-30    5.830189889260D-06 2825  6   5   183    6
 -3.67976-29 -3.6798E-29   -1.087027414842D-05 2825  6   5   184    6
 -1.16083-30 -1.1608E-30    2.584357744032D-05 2825  6   5   184    6
 -1.91654-29 -1.9165E-29    2.087094451451D-05 2825  6   5   184    6
 -1.14739-29 -1.1474E-29   -8.715432416265D-06 2825  6   5   184    6
 -8.20479-31 -8.2048E-31   -1.218800237460D-06 2825  6   5   185    6
 -1.37881-29 -1.3788E-29    7.252630891724D-06 2825  6   5   186    6
 -1.43736-29 -1.4374E-29   -2.782879723946D-05 2825  6   5   187    6
 -1.83812-30 -1.8381E-30    1.088068243636D-05 2825  6   5   187    6
 -1.73084-29 -1.7308E-29    2.311016616200D-05 2825  6   5   188    6
 -1.11906-29 -1.1191E-29   -3.574428538248D-05 2825  6   5   188    6
 -5.95617-31 -5.9562E-31   -5.036793778414D-06 2825  6   5   189    6
 -7.63138-30 -7.6314E-30   -2.620757975611D-06 2825  6   5   189    6
 -7.71848-31 -7.7185E-31   -2.591183756354D-06 2825  6   5   190    6
 -1.22465-23 -1.2247E-23   -4.082799167122D-05 2825  6   5   191    6
 -3.86333-25 -3.8633E-25    7.765321626701D-06 2825  6   5   191    6
 -6.37839-24 -6.3784E-24   -1.567793753500D-06 2825  6   5   191    6
 -3.81859-24 -3.8186E-24   -2.618767660153D-06 2825  6   5   191    6
 -4.02587-30 -4.0259E-30   -7.451805448232D-06 2825  6   5   192    6
 -3.89708-30 -3.8971E-30   -5.132047584324D-06 2825  6   5   192    6
 -7.35064-32 -7.3506E-32    5.441703035490D-06 2825  6   5   192    6
 -1.16291-30 -1.1629E-30    8.599117730636D-06 2825  6   5   193    6
 -3.30703-30 -3.3070E-30    9.071583868267D-06 2825  6   5   193    6
 -1.99767-23 -1.9977E-23   -1.501749538208D-05 2825  6   5   194    6
 -1.93376-23 -1.9338E-23   -2.068509018694D-05 2825  6   5   194    6
 -3.64745-25 -3.6475E-25   -1.370820710350D-05 2825  6   5   195    6
 -7.07162-31 -7.0716E-31    2.828206266827D-06 2825  6   5   195    6
 -2.57427-32 -2.5743E-32   -1.165378922937D-05 2825  6   5   195    6
 -1.49074-31 -1.4907E-31    2.683231146942D-05 2825  6   5   196    6
 -3.21014-32 -3.2101E-32    1.246051574082D-05 2825  6   5   196    6
 -4.02718-32 -4.0272E-32   -4.966254301981D-06 2825  6   5   197    6
 -3.64984-32 -3.6498E-32    1.095938452103D-05 2825  6   5   198    6
 -1.03792-31 -1.0379E-31    1.926930784663D-05 2825  6   5   198    6
 -1.76775-23 -1.7678E-23   -2.828454249745D-05 2825  6   5   200    6
 -2.26062-24 -2.2606E-24    8.847130433350D-06 2825  6   5   200    6
 -1.45123-24 -1.4512E-24    2.067211951241D-05 2825  6   5   200    6
 -1.54347-24 -1.5435E-24   -1.943672374584D-05 2825  6   5   203    6
 -2.52092-24 -2.5209E-24    7.933611538594D-06 2825  6   5   203    6
 -8.99079-25 -8.9908E-25   -1.112249312962D-06 2825  6   5   204    6
 -1.53927-29 -1.5393E-29   -1.948975813211D-05 2825  6   5   252    6
 -4.73884-29 -4.7388E-29    8.440884267001D-06 2825  6   5   253    6
 -7.14715-29 -7.1472E-29   -6.995795526879D-06 2825  6   5   253    6
 -1.16733-28 -1.1673E-28    2.569967361430D-05 2825  6   5   253    6
 -4.16326-29 -4.1633E-29   -9.607855382521D-06 2825  6   5   254    6
 -9.95071-29 -9.9507E-29    1.004953415338D-06 2825  6   5   258    6
 -6.43351-29 -6.4335E-29    1.554361460468D-06 2825  6   5   258    6
