Retrieved by E4-util: 2019/11/11,14:57:21                            1 0  0    0
 3.006800+4 6.734134+1         -1          0          6          13037 1451    1
 0.000000+0 0.000000+0          0          0          0          63037 1451    2
 0.000000+0 2.000000+8          0          0          0          03037 1451    3
 0.000000+0 0.000000+0          0          0         54          33037 1451    4
 30-Zn- 68 JAEA       EVAL-Apr19 N.Iwamoto                        3037 1451    5
                      DIST-Jun19                       20190429   3037 1451    6
----JENDL/PD-2016.1   MATERIAL 3037                               3037 1451    7
-----PHOTONUCLEAR DATA                                            3037 1451    8
------ENDF-6 FORMAT                                               3037 1451    9
                                                                  3037 1451   10
History                                                           3037 1451   11
2016-12 Evaluated with CCONE code by N.Iwamoto                    3037 1451   12
2019-04 Incident energy was extended up to 200MeV with CCONE code 3037 1451   13
        by N.Iwamoto                                              3037 1451   14
                                                                  3037 1451   15
MF= 1 General information                                         3037 1451   16
  MT=451 Descriptive data and directory                           3037 1451   17
                                                                  3037 1451   18
MF= 3 Neutron cross sections                                      3037 1451   19
  MT=  5 Total reaction cross section                             3037 1451   20
    Calculated with CCONE code /1/.                               3037 1451   21
                                                                  3037 1451   22
MF= 6 Energy-angle distributions of emitted particles             3037 1451   23
  MT=  5 Total reaction                                           3037 1451   24
    Calculated with CCONE code /1/.                               3037 1451   25
                                                                  3037 1451   26
------------------------------------------------------------------3037 1451   27
          nuclear model calculation with CCONE code /1/           3037 1451   28
------------------------------------------------------------------3037 1451   29
* Optical model potentials                                        3037 1451   30
  neutron : A.J.Koning and J.P.Delaroche/2/                       3037 1451   31
  proton  : A.J.Koning and J.P.Delaroche/2/                       3037 1451   32
  deuteron: Y.Han et al./3/                                       3037 1451   33
  triton  : A.J.Koning and J.P.Delaroche/2/                       3037 1451   34
  He-3    : Y.Xu et al./4/                                        3037 1451   35
  alpha   : M.Avrigeanu and V.Avrigeanu/5/                        3037 1451   36
                                                                  3037 1451   37
* Level density parameters (Gilbert-Cameron model/6/)             3037 1451   38
  Energy dependent parameters of Mengoni-Nakajima/7/ were used.   3037 1451   39
                                                                  3037 1451   40
* Gamma-ray strength functions                                    3037 1451   41
  E1: modified Lorentzian model(MLO1)/8/                          3037 1451   42
  M1: standard Lorentzian model(SLO)                              3037 1451   43
  E2: standard Lorentzian model(SLO)                              3037 1451   44
                                                                  3037 1451   45
References                                                        3037 1451   46
 1) O.Iwamoto et al., Nucl. Data Sheets, 131, 259 (2016)          3037 1451   47
 2) A.J.Koning and J.P.Delaroche, Nucl. Phys. A713, 231 (2003)    3037 1451   48
 3) Y.Han et al., Phys. Rev. C 74,044615 (2006)                   3037 1451   49
 4) Y.Xu et al.,Sci. China, Phys. Mech. & Astron., 54, 2005       3037 1451   50
    (2011)                                                        3037 1451   51
 5) M.Avrigeanu and V.Avrigeanu, Phys. Rev. C82, 014606 (2010)    3037 1451   52
 6) A.Gilbert and A.G.W.Cameron, Can. J. Phys, 43, 1446 (1965)    3037 1451   53
 7) A.Mengoni and Y.Nakajima, J. Nucl. Sci. Technol., 31, 151     3037 1451   54
    (1994)                                                        3037 1451   55
 8) V.A.Plujko et al., J. Nucl. Sci. Technol.(supp. 2), 811       3037 1451   56
    (2002)                                                        3037 1451   57
                                                                  3037 1451   58
                                1        451         61          13037 1451   59
                                3          5         33          13037 1451   60
                                6          5      29467          13037 1451   61
                                                                  3037 1  099999
                                                                  3037 0  0    0
 3.006800+4 6.734134+1          0          0          0          03037 3  5    1
 0.000000+0 0.000000+0          0          0          1         883037 3  5    2
         88          2                                            3037 3  5    3
 1.000000+6 6.978314-6 1.500000+6 1.882287-5 2.000000+6 3.934830-53037 3  5    4
 2.500000+6 7.133354-5 3.000000+6 1.180756-4 3.500000+6 1.835745-43037 3  5    5
 4.000000+6 2.727847-4 4.500000+6 3.919719-4 5.000000+6 5.492286-43037 3  5    6
 5.500000+6 7.552196-4 6.000000+6 1.024239-3 6.500000+6 1.375664-33037 3  5    7
 7.000000+6 1.835801-3 7.500000+6 2.439681-3 8.000000+6 3.230748-33037 3  5    8
 8.500000+6 4.252526-3 9.000000+6 5.522699-3 9.500000+6 6.999075-33037 3  5    9
 1.000000+7 8.616148-3 1.050000+7 1.045150-2 1.100000+7 1.282876-23037 3  5   10
 1.150000+7 1.613065-2 1.200000+7 2.023320-2 1.250000+7 2.502099-23037 3  5   11
 1.300000+7 3.169694-2 1.350000+7 4.133648-2 1.400000+7 5.461494-23037 3  5   12
 1.450000+7 7.157800-2 1.500000+7 9.042505-2 1.550000+7 1.065975-13037 3  5   13
 1.600000+7 1.152613-1 1.650000+7 1.163223-1 1.700000+7 1.144205-13037 3  5   14
 1.750000+7 1.140715-1 1.800000+7 1.167942-1 1.850000+7 1.210033-13037 3  5   15
 1.900000+7 1.231161-1 1.950000+7 1.199333-1 2.000000+7 1.110585-13037 3  5   16
 2.100000+7 8.558535-2 2.200000+7 6.314430-2 2.300000+7 4.745647-23037 3  5   17
 2.400000+7 3.689121-2 2.500000+7 2.962743-2 2.600000+7 2.446175-23037 3  5   18
 2.700000+7 2.066373-2 2.800000+7 1.778874-2 2.900000+7 1.555871-23037 3  5   19
 3.000000+7 1.379391-2 3.200000+7 1.121716-2 3.400000+7 9.471919-33037 3  5   20
 3.600000+7 8.252386-3 3.800000+7 7.383630-3 4.000000+7 6.757803-33037 3  5   21
 4.200000+7 6.304423-3 4.400000+7 5.975361-3 4.600000+7 5.736687-33037 3  5   22
 4.800000+7 5.563944-3 5.000000+7 5.439229-3 5.200000+7 5.349297-33037 3  5   23
 5.400000+7 5.284289-3 5.600000+7 5.236829-3 5.800000+7 5.201392-33037 3  5   24
 6.000000+7 5.173832-3 6.200000+7 5.151048-3 6.400000+7 5.130727-33037 3  5   25
 6.600000+7 5.111152-3 6.800000+7 5.091066-3 7.000000+7 5.069559-33037 3  5   26
 7.200000+7 5.045992-3 7.400000+7 5.019930-3 7.600000+7 4.991096-33037 3  5   27
