Retrieved by E4-util: 2019/11/11,14:57:20                            1 0  0    0
 3.006600+4 6.535970+1         -1          0          6          13031 1451    1
 0.000000+0 0.000000+0          0          0          0          63031 1451    2
 0.000000+0 2.000000+8          0          0          0          03031 1451    3
 0.000000+0 0.000000+0          0          0         54          33031 1451    4
 30-Zn- 66 JAEA       EVAL-Apr19 N.Iwamoto                        3031 1451    5
                      DIST-Jun19                       20190429   3031 1451    6
----JENDL/PD-2016.1   MATERIAL 3031                               3031 1451    7
-----PHOTONUCLEAR DATA                                            3031 1451    8
------ENDF-6 FORMAT                                               3031 1451    9
                                                                  3031 1451   10
History                                                           3031 1451   11
2016-12 Evaluated with CCONE code by N.Iwamoto                    3031 1451   12
2019-04 Incident energy was extended up to 200MeV with CCONE code 3031 1451   13
        by N.Iwamoto                                              3031 1451   14
                                                                  3031 1451   15
MF= 1 General information                                         3031 1451   16
  MT=451 Descriptive data and directory                           3031 1451   17
                                                                  3031 1451   18
MF= 3 Neutron cross sections                                      3031 1451   19
  MT=  5 Total reaction cross section                             3031 1451   20
    Calculated with CCONE code /1/.                               3031 1451   21
                                                                  3031 1451   22
MF= 6 Energy-angle distributions of emitted particles             3031 1451   23
  MT=  5 Total reaction                                           3031 1451   24
    Calculated with CCONE code /1/.                               3031 1451   25
                                                                  3031 1451   26
------------------------------------------------------------------3031 1451   27
          nuclear model calculation with CCONE code /1/           3031 1451   28
------------------------------------------------------------------3031 1451   29
* Optical model potentials                                        3031 1451   30
  neutron : A.J.Koning and J.P.Delaroche/2/                       3031 1451   31
  proton  : A.J.Koning and J.P.Delaroche/2/                       3031 1451   32
  deuteron: Y.Han et al./3/                                       3031 1451   33
  triton  : A.J.Koning and J.P.Delaroche/2/                       3031 1451   34
  He-3    : Y.Xu et al./4/                                        3031 1451   35
  alpha   : M.Avrigeanu and V.Avrigeanu/5/                        3031 1451   36
                                                                  3031 1451   37
* Level density parameters (Gilbert-Cameron model/6/)             3031 1451   38
  Energy dependent parameters of Mengoni-Nakajima/7/ were used.   3031 1451   39
                                                                  3031 1451   40
* Gamma-ray strength functions                                    3031 1451   41
  E1: modified Lorentzian model(MLO1)/8/                          3031 1451   42
  M1: standard Lorentzian model(SLO)                              3031 1451   43
  E2: standard Lorentzian model(SLO)                              3031 1451   44
                                                                  3031 1451   45
References                                                        3031 1451   46
 1) O.Iwamoto et al., Nucl. Data Sheets, 131, 259 (2016)          3031 1451   47
 2) A.J.Koning and J.P.Delaroche, Nucl. Phys. A713, 231 (2003)    3031 1451   48
 3) Y.Han et al., Phys. Rev. C 74,044615 (2006)                   3031 1451   49
 4) Y.Xu et al.,Sci. China, Phys. Mech. & Astron., 54, 2005       3031 1451   50
    (2011)                                                        3031 1451   51
 5) M.Avrigeanu and V.Avrigeanu, Phys. Rev. C82, 014606 (2010)    3031 1451   52
 6) A.Gilbert and A.G.W.Cameron, Can. J. Phys, 43, 1446 (1965)    3031 1451   53
 7) A.Mengoni and Y.Nakajima, J. Nucl. Sci. Technol., 31, 151     3031 1451   54
    (1994)                                                        3031 1451   55
 8) V.A.Plujko et al., J. Nucl. Sci. Technol.(supp. 2), 811       3031 1451   56
    (2002)                                                        3031 1451   57
                                                                  3031 1451   58
                                1        451         61          13031 1451   59
                                3          5         33          13031 1451   60
                                6          5      29635          13031 1451   61
                                                                  3031 1  099999
                                                                  3031 0  0    0
 3.006600+4 6.535970+1          0          0          0          03031 3  5    1
 0.000000+0 0.000000+0          0          0          1         883031 3  5    2
         88          2                                            3031 3  5    3
 1.000000+6 5.814650-6 1.500000+6 1.553996-5 2.000000+6 3.227246-53031 3  5    4
 2.500000+6 5.822700-5 3.000000+6 9.604612-5 3.500000+6 1.489522-43031 3  5    5
 4.000000+6 2.209549-4 4.500000+6 3.171458-4 5.000000+6 4.441256-43031 3  5    6
 5.500000+6 6.106218-4 6.000000+6 8.283651-4 6.500000+6 1.113296-33031 3  5    7
 7.000000+6 1.487135-3 7.500000+6 1.979059-3 8.000000+6 2.626114-33031 3  5    8
 8.500000+6 3.468094-3 9.000000+6 4.528623-3 9.500000+6 5.783761-33031 3  5    9
 1.000000+7 7.172511-3 1.050000+7 8.722426-3 1.100000+7 1.067391-23031 3  5   10
 1.150000+7 1.345325-2 1.200000+7 1.759642-2 1.250000+7 2.331013-23031 3  5   11
 1.300000+7 2.966669-2 1.350000+7 3.736592-2 1.400000+7 4.870608-23031 3  5   12
 1.450000+7 6.466325-2 1.500000+7 8.449093-2 1.550000+7 1.042821-13031 3  5   13
 1.600000+7 1.173375-1 1.650000+7 1.200440-1 1.700000+7 1.159202-13031 3  5   14
 1.750000+7 1.102658-1 1.800000+7 1.042731-1 1.850000+7 9.581850-23031 3  5   15
 1.900000+7 8.411618-2 1.950000+7 7.121130-2 2.000000+7 5.938577-23031 3  5   16
 2.100000+7 4.173548-2 2.200000+7 3.078221-2 2.300000+7 2.383443-23031 3  5   17
 2.400000+7 1.919698-2 2.500000+7 1.594930-2 2.600000+7 1.358319-23031 3  5   18
 2.700000+7 1.180441-2 2.800000+7 1.043390-2 2.900000+7 9.357530-33031 3  5   19
 3.000000+7 8.499607-3 3.200000+7 7.245933-3 3.400000+7 6.408800-33031 3  5   20
 3.600000+7 5.842238-3 3.800000+7 5.458296-3 4.000000+7 5.200476-33031 3  5   21
 4.200000+7 5.030790-3 4.400000+7 4.922886-3 4.600000+7 4.858105-33031 3  5   22
 4.800000+7 4.823051-3 5.000000+7 4.808031-3 5.200000+7 4.805996-33031 3  5   23
 5.400000+7 4.811806-3 5.600000+7 4.821722-3 5.800000+7 4.833027-33031 3  5   24
 6.000000+7 4.843766-3 6.200000+7 4.852547-3 6.400000+7 4.858397-33031 3  5   25
 6.600000+7 4.860658-3 6.800000+7 4.858910-3 7.000000+7 4.852908-33031 3  5   26
 7.200000+7 4.842542-3 7.400000+7 4.827800-3 7.600000+7 4.808748-33031 3  5   27
 7.800000+7 4.785508-3 8.000000+7 4.758241-3 8.500000+7 4.673785-33031 3  5   28
 9.000000+7 4.568954-3 9.500000+7 4.447643-3 1.000000+8 4.313838-33031 3  5   29
 1.100000+8 4.024332-3 1.200000+8 3.730147-3 1.300000+8 3.458348-33031 3  5   30
 1.400000+8 3.233412-3 1.500000+8 2.953345-3 1.600000+8 2.711328-33031 3  5   31
 1.700000+8 2.500520-3 1.800000+8 2.315583-3 1.900000+8 2.152294-33031 3  5   32
 2.000000+8 2.007274-3                                            3031 3  5   33
                                                                  3031 3  099999
                                                                  3031 0  0    0
 3.006600+4 6.535970+1          0          2        298          03031 6  5    1
 1.000000+0 1.000000+0          0          1          1         693031 6  5    2
         69          2                                            3031 6  5    3
 1.000000+6 0.000000+0 1.105846+7 0.000000+0 1.150000+7 9.679081-13031 6  5    4
 1.200000+7 9.475177-1 1.250000+7 9.190863-1 1.300000+7 9.000977-13031 6  5    5
 1.350000+7 8.854569-1 1.400000+7 8.770889-1 1.450000+7 8.669844-13031 6  5    6
 1.500000+7 8.561848-1 1.550000+7 8.490362-1 1.600000+7 8.449160-13031 6  5    7
 1.650000+7 8.437040-1 1.700000+7 8.458470-1 1.750000+7 8.508672-13031 6  5    8
 1.800000+7 8.572465-1 1.850000+7 8.625323-1 1.900000+7 8.679829-13031 6  5    9
 1.950000+7 9.302486-1 2.000000+7 1.052180+0 2.100000+7 1.277607+03031 6  5   10
 2.200000+7 1.439347+0 2.300000+7 1.514409+0 2.400000+7 1.551794+03031 6  5   11
 2.500000+7 1.561926+0 2.600000+7 1.552402+0 2.700000+7 1.539176+03031 6  5   12
 2.800000+7 1.517097+0 2.900000+7 1.503647+0 3.000000+7 1.487210+03031 6  5   13
 3.200000+7 1.477603+0 3.400000+7 1.527984+0 3.600000+7 1.608044+03031 6  5   14
 3.800000+7 1.668992+0 4.000000+7 1.711230+0 4.200000+7 1.740133+03031 6  5   15
 4.400000+7 1.765816+0 4.600000+7 1.798971+0 4.800000+7 1.843203+03031 6  5   16
 5.000000+7 1.895598+0 5.200000+7 1.943544+0 5.400000+7 1.987642+03031 6  5   17
 5.600000+7 1.996052+0 5.800000+7 2.027704+0 6.000000+7 2.060644+03031 6  5   18
 6.200000+7 2.103184+0 6.400000+7 2.140161+0 6.600000+7 2.177263+03031 6  5   19
 6.800000+7 2.210796+0 7.000000+7 2.252973+0 7.200000+7 2.288040+03031 6  5   20
 7.400000+7 2.315864+0 7.600000+7 2.353841+0 7.800000+7 2.391631+03031 6  5   21
 8.000000+7 2.426184+0 8.500000+7 2.514865+0 9.000000+7 2.603484+03031 6  5   22
 9.500000+7 2.684809+0 1.000000+8 2.773080+0 1.100000+8 2.932159+03031 6  5   23
 1.200000+8 3.084535+0 1.300000+8 3.241377+0 1.400000+8 3.397538+03031 6  5   24
 1.500000+8 3.722129+0 1.600000+8 3.866223+0 1.700000+8 4.004527+03031 6  5   25
 1.800000+8 4.144763+0 1.900000+8 4.273294+0 2.000000+8 4.403427+03031 6  5   26
 0.000000+0 0.000000+0          1          2          1         303031 6  5   27
         30         22                                            3031 6  5   28
 0.000000+0 1.000000+6          0          0          6          33031 6  5   29
 0.000000+0 0.000000+0 5.000000-1 2.000000+0 1.000000+0 0.000000+03031 6  5   30
 0.000000+0 1.105846+7          0          0          6          33031 6  5   31
 0.000000+0 0.000000+0 5.000000-1 2.000000+0 1.000000+0 0.000000+03031 6  5   32
 0.000000+0 1.200000+7          0          0         22         113031 6  5   33
 0.000000+0 0.000000+0 2.500000+4 3.934650-7 1.000000+5 1.573751-63031 6  5   34
 2.000000+5 7.772304-8 3.000000+5 5.26241-12 4.000000+5 2.86760-123031 6  5   35
 5.000000+5 1.37213-12 6.000000+5 5.30001-13 7.000000+5 2.985505-63031 6  5   36
 8.000000+5 3.232204-6 9.000000+5 4.261586-6                      3031 6  5   37
 0.000000+0 1.400000+7          0          3        155         313031 6  5   38
 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 2.500000+43031 6  5   39
 3.473095-8-2.55642-24-3.76930-24 1.92336-24 1.000000+5 1.377840-73031 6  5   40
 8.70800-11 2.46161-12 5.03643-14 2.000000+5 1.931800-7 1.27239-103031 6  5   41
 3.63326-12 7.42100-14 3.000000+5 2.384308-7 1.62699-10 4.69272-123031 6  5   42
 9.69253-14 4.000000+5 2.767931-7 1.94045-10 5.65310-12 1.17878-133031 6  5   43
 5.000000+5 3.082300-7 2.19816-10 6.46832-12 1.36089-13 6.000000+53031 6  5   44
 1.686885-7 2.38483-10 7.08697-12 1.50542-13 7.000000+5 4.276013-73031 6  5   45
 1.77057-10 5.32500-12 1.14738-13 8.000000+5 2.416861-7 1.39835-103031 6  5   46
 4.23973-12 9.20721-14 9.000000+5 5.050590-7 2.09910-10 6.40765-123031 6  5   47
 1.39252-13 1.000000+6 7.976014-7 3.34632-10 1.03401-11 2.28379-133031 6  5   48
 1.100000+6 2.401788-7 1.08132-10 3.38739-12 7.62776-14 1.200000+63031 6  5   49
 1.765703-7 1.57036-10 4.92558-12 1.10492-13 1.300000+6 2.552895-83031 6  5   50
 9.41798-11 3.00281-12 6.83732-14 1.400000+6 7.079957-7 6.31912-113031 6  5   51
 2.01874-12 4.98742-14 1.500000+6 5.888021-7 3.47433-11 1.11753-123031 6  5   52
 2.43618-14 1.600000+6 5.561125-7 3.49746-12 1.11598-13-2.36821-153031 6  5   53
 1.700000+6 1.758207-7 6.41384-25 1.73469-24-6.17154-25 1.800000+63031 6  5   54
 9.08276-12-6.03532-28-9.85739-28 4.71325-28 1.900000+6 4.615618-73031 6  5   55
