  Merge ENDF/B Data into MAT/MF/MT Order (MERGER 2019-1)
 ************************************************************************
 Interpretation of Input Parameters
 ************************************************************************
 Output Filename
 ------------------------------------------------------------------------
 MERGER.OUT                                                              
 ------------------------------------------------------------------------
 Merged File Label
 ------------------------------------------------------------------------
                                                                      0
 ------------------------------------------------------------------------
 Retrieval Criteria-----------        MAT
 ------------------------------------------------------------------------
 Input Filenames
 ------------------------------------------------------------------------
 MERGER.IN                                                               
 ------------------------------------------------------------------------
 Retrieval Criteria
 ------------------------------------------------------------------------
 Request *   Lower Limit *   Upper Limit  
  Number *    MAT MF  MT *    MAT MF  MT  
 ------------------------------------------------------------------------
       1 *      0  1   1 * 999999  3 999
       2 *      0 10   1 * 999999 10 999
       3 *      0 33   1 * 999999 33 999
       4 *      0 40   1 * 999999 40 999
 ------------------------------------------------------------------------
 ************************************************************************
 Retrieved Data
 ************************************************************************
     ZA  MAT MF  MT  Lines  Unit Request Message
                                  Number
 ------------------------------------------------------------------------
  69169 6925  1 451    888    11       1
  69169 6925  3   1     35    11       1
  69169 6925  3   4     34    11       1
  69169 6925  3   5     35    11       1
  69169 6925  3  11     14    11       1
  69169 6925  3  16     27    11       1
  69169 6925  3  17     18    11       1
  69169 6925  3  22     31    11       1
  69169 6925  3  28     26    11       1
  69169 6925  3  32     21    11       1
  69169 6925  3  33     20    11       1
  69169 6925  3  34     19    11       1
  69169 6925  3  41     20    11       1
  69169 6925  3  42     13    11       1
  69169 6925  3  44     15    11       1
  69169 6925  3  50     34    11       1
  69169 6925  3  51     34    11       1
  69169 6925  3  52     34    11       1
  69169 6925  3  53     34    11       1
  69169 6925  3  54     34    11       1
  69169 6925  3  55     34    11       1
  69169 6925  3  56     34    11       1
  69169 6925  3  57     34    11       1
  69169 6925  3  58     34    11       1
  69169 6925  3  59     34    11       1
  69169 6925  3  60     33    11       1
  69169 6925  3  61     33    11       1
  69169 6925  3  62     33    11       1
  69169 6925  3  63     33    11       1
  69169 6925  3  64     33    11       1
  69169 6925  3  65     33    11       1
