  Linearize ENDF/B Cross Sections (LINEAR 2019-1)
  ------------------------------------------------------------------------------
  Retrieval Criteria-----------        MAT
  Monitor Mode-----------------        Off
  Minimum Cross Section-------- 1.0000E-10
  Keep Evaluated Data Points---        Yes
  ------------------------------------------------------------------------------
  ENDF/B Input and Output Data Filenames
  LINEAR.IN                                                               
  LINEAR.OUT                                                              
  ------------------------------------------------------------------------------
  Requested Ranges
  ------------------------------------------------------------------------------
       Minimum       Maximum   
     MAT MF  MT    MAT MF  MT
  ------------------------------------------------------------------------------
       0  0   0 999999 99 999
  ------------------------------------------------------------------------------
  Allowable Uncertainty
  ------------------------------------------------------------------------------
      Energy Uncertainty   per-cent
  ------------------------------------------------------------------------------
  0.0         1.0000E-10     0.0000
  ------------------------------------------------------------------------------
  ENDF/B Tape Label
  ------------------------------------------------------------------------------
   EMPEND Processing file : tm169-g.out                                1
  ------------------------------------------------------------------------------
    Material  MAT  MF  MT  ENDF/B      Kelvin     Q-Value   Points   Points
                           Format                      eV       In      Out
  ------------------------------------------------------------------------------
   69-Tm-169 6925   3   1   VI     0.0         0.0             187      187
   69-Tm-169 6925   3   4   VI     0.0        -8033430.00      143      143
   69-Tm-169 6925   3   5   VI     0.0         1340140.00      187      187
   69-Tm-169 6925   3  11   VI     0.0        -19772370.0       52       52
   69-Tm-169 6925   3  16   VI     0.0        -14873000.0       76       76
   69-Tm-169 6925   3  17   VI     0.0        -23600000.0       43       43
   69-Tm-169 6925   3  22   VI     0.0        -6788000.00      174      174
   69-Tm-169 6925   3  28   VI     0.0        -13343000.0       85       85
   69-Tm-169 6925   3  32   VI     0.0        -17555000.0       62       62
   69-Tm-169 6925   3  33   VI     0.0        -19772000.0       53       53
   69-Tm-169 6925   3  34   VI     0.0        -19377000.0       54       54
   69-Tm-169 6925   3  41   VI     0.0        -19779000.0       51       51
   69-Tm-169 6925   3  42   VI     0.0        -28253000.0       28       28
   69-Tm-169 6925   3  44   VI     0.0        -20851000.0       49       49
   69-Tm-169 6925   3  50   VI     0.0        -8033430.00      143      143
   69-Tm-169 6925   3  51   VI     0.0        -8036430.00      142      142
   69-Tm-169 6925   3  52   VI     0.0        -8050430.00      141      141
   69-Tm-169 6925   3  53   VI     0.0        -8074430.00      140      140
   69-Tm-169 6925   3  54   VI     0.0        -8080430.00      139      139
   69-Tm-169 6925   3  55   VI     0.0        -8097740.00      138      138
   69-Tm-169 6925   3  56   VI     0.0        -8113430.00      137      137
   69-Tm-169 6925   3  57   VI     0.0        -8145430.00      136      136
   69-Tm-169 6925   3  58   VI     0.0        -8178180.00      135      135
   69-Tm-169 6925   3  59   VI     0.0        -8181880.00      134      134
   69-Tm-169 6925   3  60   VI     0.0        -8200430.00      132      132
   69-Tm-169 6925   3  61   VI     0.0        -8212160.00      131      131
   69-Tm-169 6925   3  62   VI     0.0        -8218430.00      130      130
   69-Tm-169 6925   3  63   VI     0.0        -8226710.00      129      129
   69-Tm-169 6925   3  64   VI     0.0        -8232630.00      128      128
   69-Tm-169 6925   3  65   VI     0.0        -8237080.00      127      127
   69-Tm-169 6925   3  66   VI     0.0        -8237430.00      126      126
   69-Tm-169 6925   3  67   VI     0.0        -8262500.00      125      125
   69-Tm-169 6925   3  68   VI     0.0        -8263430.00      124      124
   69-Tm-169 6925   3  69   VI     0.0        -8268430.00      123      123
   69-Tm-169 6925   3  70   VI     0.0        -8275390.00      122      122
   69-Tm-169 6925   3  71   VI     0.0        -8275530.00      121      121
   69-Tm-169 6925   3  72   VI     0.0        -8280430.00      120      120
   69-Tm-169 6925   3  73   VI     0.0        -8341130.00      119      119
   69-Tm-169 6925   3  74   VI     0.0        -8346430.00      118      118
   69-Tm-169 6925   3  75   VI     0.0        -8347490.00      117      117
   69-Tm-169 6925   3  76   VI     0.0        -8358430.00      116      116
   69-Tm-169 6925   3  77   VI     0.0        -8361190.00      115      115
   69-Tm-169 6925   3  78   VI     0.0        -8371280.00      114      114
   69-Tm-169 6925   3  79   VI     0.0        -8380430.00      113      113
   69-Tm-169 6925   3  80   VI     0.0        -8382390.00      112      112
   69-Tm-169 6925   3  81   VI     0.0        -8391430.00      111      111
   69-Tm-169 6925   3  82   VI     0.0        -8399430.00      110      110
   69-Tm-169 6925   3  83   VI     0.0        -8416430.00      108      108
   69-Tm-169 6925   3  84   VI     0.0        -8425080.00      107      107
   69-Tm-169 6925   3  85   VI     0.0        -8425480.00      106      106
   69-Tm-169 6925   3  86   VI     0.0        -8426230.00      105      105
   69-Tm-169 6925   3  87   VI     0.0        -8472430.00      104      104
   69-Tm-169 6925   3  88   VI     0.0        -8475700.00      103      103
   69-Tm-169 6925   3  89   VI     0.0        -8479770.00      101      101
   69-Tm-169 6925   3  91   VI     0.0        -8479340.00      102      102
   69-Tm-169 6925   3 102   VI     0.0         0.0             187      187
   69-Tm-169 6925   3 104   VI     0.0        -11119000.0       94       94
   69-Tm-169 6925   3 105   VI     0.0        -11298000.0       93       93
   69-Tm-169 6925   3 106   VI     0.0        -13133000.0       87       87
   69-Tm-169 6925   3 111   VI     0.0        -13567000.0       82       82
   69-Tm-169 6925   3 112   VI     0.0        -5019000.00      186      186
   69-Tm-169 6925   3 115   VI     0.0        -18627000.0       56       56
   69-Tm-169 6925   3 116   VI     0.0        -18614000.0       57       57
   69-Tm-169 6925   3 600   VI     0.0        -5572030.00      185      185
   69-Tm-169 6925   3 601   VI     0.0        -5651834.00      184      184
   69-Tm-169 6925   3 602   VI     0.0        -5836119.00      183      183
   69-Tm-169 6925   3 603   VI     0.0        -6120777.00      181      181
   69-Tm-169 6925   3 604   VI     0.0        -6393199.00      180      180
   69-Tm-169 6925   3 605   VI     0.0        -6467825.00      179      179
   69-Tm-169 6925   3 607   VI     0.0        -6566777.00      178      178
   69-Tm-169 6925   3 608   VI     0.0        -6666068.00      177      177
   69-Tm-169 6925   3 609   VI     0.0        -6689600.00      176      176
   69-Tm-169 6925   3 610   VI     0.0        -6765055.00      175      175
   69-Tm-169 6925   3 611   VI     0.0        -6789199.00      173      173
   69-Tm-169 6925   3 612   VI     0.0        -6835935.00      172      172
   69-Tm-169 6925   3 613   VI     0.0        -6838100.00      171      171
   69-Tm-169 6925   3 614   VI     0.0        -6848302.00      170      170
   69-Tm-169 6925   3 615   VI     0.0        -6883491.00      169      169
   69-Tm-169 6925   3 616   VI     0.0        -6930929.00      168      168
   69-Tm-169 6925   3 618   VI     0.0        -6975766.00      167      167
   69-Tm-169 6925   3 619   VI     0.0        -6983126.00      166      166
   69-Tm-169 6925   3 620   VI     0.0        -6994150.00      165      165
   69-Tm-169 6925   3 621   VI     0.0        -7003496.00      164      164
   69-Tm-169 6925   3 622   VI     0.0        -7004981.00      163      163
   69-Tm-169 6925   3 623   VI     0.0        -7020986.00      162      162
   69-Tm-169 6925   3 624   VI     0.0        -7065163.00      161      161
   69-Tm-169 6925   3 625   VI     0.0        -7113586.00      159      159
   69-Tm-169 6925   3 626   VI     0.0        -7113739.00      158      158
   69-Tm-169 6925   3 627   VI     0.0        -7141483.00      157      157
   69-Tm-169 6925   3 628   VI     0.0        -7146147.00      156      156
   69-Tm-169 6925   3 629   VI     0.0        -7177880.00      155      155
   69-Tm-169 6925   3 630   VI     0.0        -7187372.00      154      154
   69-Tm-169 6925   3 631   VI     0.0        -7188836.00      153      153
   69-Tm-169 6925   3 633   VI     0.0        -7201728.00      152      152
   69-Tm-169 6925   3 634   VI     0.0        -7205493.00      151      151
   69-Tm-169 6925   3 635   VI     0.0        -7225579.00      150      150
   69-Tm-169 6925   3 636   VI     0.0        -7228304.00      149      149
   69-Tm-169 6925   3 637   VI     0.0        -7280023.00      148      148
   69-Tm-169 6925   3 638   VI     0.0        -7291209.00      147      147
   69-Tm-169 6925   3 639   VI     0.0        -7308718.00      145      145
   69-Tm-169 6925   3 649   VI     0.0        -7308688.00      146      146
   69-Tm-169 6925   3 800   VI     0.0         1200070.00      187      187
   69-Tm-169 6925   3 801   VI     0.0         1105370.00      187      187
   69-Tm-169 6925   3 802   VI     0.0         990266.000      187      187
   69-Tm-169 6925   3 803   VI     0.0         855170.000      187      187
   69-Tm-169 6925   3 804   VI     0.0         838395.000      187      187
   69-Tm-169 6925   3 805   VI     0.0         780526.000      187      187
   69-Tm-169 6925   3 806   VI     0.0         770682.000      187      187
   69-Tm-169 6925   3 807   VI     0.0         750811.000      187      187
   69-Tm-169 6925   3 808   VI     0.0         709023.000      187      187
   69-Tm-169 6925   3 809   VI     0.0         700670.000      187      187
   69-Tm-169 6925   3 810   VI     0.0         684594.000      187      187
   69-Tm-169 6925   3 811   VI     0.0         661059.000      187      187
   69-Tm-169 6925   3 812   VI     0.0         633270.000      187      187
   69-Tm-169 6925   3 813   VI     0.0         610270.000      187      187
   69-Tm-169 6925   3 814   VI     0.0         598470.000      187      187
   69-Tm-169 6925   3 815   VI     0.0         561570.000      187      187
   69-Tm-169 6925   3 817   VI     0.0         518870.000      187      187
   69-Tm-169 6925   3 818   VI     0.0         511270.000      187      187
   69-Tm-169 6925   3 819   VI     0.0         498070.000      187      187
   69-Tm-169 6925   3 820   VI     0.0         496270.000      187      187
   69-Tm-169 6925   3 821   VI     0.0         484740.000      187      187
   69-Tm-169 6925   3 822   VI     0.0         469170.000      187      187
   69-Tm-169 6925   3 823   VI     0.0         456070.000      187      187
   69-Tm-169 6925   3 824   VI     0.0         409270.000      187      187
   69-Tm-169 6925   3 825   VI     0.0         397770.000      187      187
   69-Tm-169 6925   3 826   VI     0.0         380270.000      187      187
   69-Tm-169 6925   3 827   VI     0.0         379960.000      187      187
   69-Tm-169 6925   3 828   VI     0.0         372870.000      187      187
   69-Tm-169 6925   3 829   VI     0.0         358270.000      187      187
   69-Tm-169 6925   3 831   VI     0.0         329170.000      187      187
   69-Tm-169 6925   3 832   VI     0.0         254370.000      187      187
   69-Tm-169 6925   3 833   VI     0.0         244470.000      187      187
   69-Tm-169 6925   3 834   VI     0.0         231370.000      187      187
   69-Tm-169 6925   3 835   VI     0.0         228170.000      187      187
   69-Tm-169 6925   3 836   VI     0.0         213970.000      187      187
   69-Tm-169 6925   3 837   VI     0.0         204980.000      187      187
   69-Tm-169 6925   3 849   VI     0.0         202200.000      187      187
