 Process ENDF/B Double Differential Data - MF=6 (SIXPAK 2019-1)
 ==============================================================================
 ENDF/B Input Data Filename
 SIXPAK.IN                                                               
 ------------------------------------------------------------------------------
 Requested Ranges
 ------------------------------------------------------------------------------
    Minimum    Maximum   
    MAT  MT    MAT  MT
 ------------------------------------------------------------------------------
      1   1   9999 999
 ==============================================================================
 Terminology
 ------------------------------------------------------------------------------
 LCT  = Reference System (Lab or Center-of-Mass)
 LIP  = Product Modifier, e.g., for Isomeric States
 LAW  = Representation of Data - see, List at End of Output
 LANG = 1     = Legendre     (LAW 1)
      = 2     = Kalbach-Mann (LAW 1)
      = 11-15 = Tabulated    (LAW 1)
      = 0     = Legendre     (LAW 2)
      = 11-15 = Tabulated    (LAW 2)
 LTP  = 1-2   = Legendre     (LAW 5)
      = 11-15 = Tabulated    (LAW 5)
 LEP  = Secondary Energy Interpolation Type(1 to 5)
 ==============================================================================
 Tape Label
 ------------------------------------------------------------------------------
  JENDL/PD-2016.1  Zr- 93                                             1
 ------------------------------------------------------------------------------
 WARNING: MT=5 is ALLOWED in MF=6, but NOT in MF=4 or 5.
          see ENDF-102 - Strictly for diagnostic purposes
          this code will Translate MF=6 Data - but be
          WARNED - the results should not be used in ANY          APPLICATIONS.
 ------------------------------------------------------------------------------
 ==============================================================================
 Projectile   Target    Emitted    MAT  MT LCT LIP LAW LANG  LEP  ENDF/B
                                                        LTP       Output
 ==============================================================================
  Photon     40-Zr-93   Neutron   4034   5 cm    0   1    1    2      
  Photon     40-Zr-93    1-H -1   4034   5 cm    0   1    1    2      
  Photon     40-Zr-93    1-H -2   4034   5 cm    0   1    1    2      
  Photon     40-Zr-93    1-H -3   4034   5 cm    0   1    1    2      
  Photon     40-Zr-93    2-He-3   4034   5 cm    0   1    1    2      
  Photon     40-Zr-93    2-He-4   4034   5 cm    0   1    1    2      
  Photon     40-Zr-93   21-Sc-56  4034   5 cm    0   0                
  Photon     40-Zr-93   21-Sc-57  4034   5 cm    0   0                
  Photon     40-Zr-93   22-Ti-57  4034   5 cm    0   0                
  Photon     40-Zr-93   22-Ti-58  4034   5 cm    0   0                
  Photon     40-Zr-93   22-Ti-59  4034   5 cm    0   0                
  Photon     40-Zr-93   22-Ti-60  4034   5 cm    0   0                
  Photon     40-Zr-93   23-V -58  4034   5 cm    0   0                
  Photon     40-Zr-93   23-V -59  4034   5 cm    0   0                
  Photon     40-Zr-93   23-V -60  4034   5 cm    0   0                
  Photon     40-Zr-93   23-V -60  4034   5 cm    1   0                
  Photon     40-Zr-93   23-V -61  4034   5 cm    0   0                
  Photon     40-Zr-93   23-V -62  4034   5 cm    0   0                
  Photon     40-Zr-93   23-V -63  4034   5 cm    0   0                
  Photon     40-Zr-93   24-Cr-59  4034   5 cm    0   0                
  Photon     40-Zr-93   24-Cr-60  4034   5 cm    0   0                
  Photon     40-Zr-93   24-Cr-61  4034   5 cm    0   0                
  Photon     40-Zr-93   24-Cr-62  4034   5 cm    0   0                
  Photon     40-Zr-93   24-Cr-63  4034   5 cm    0   0                
  Photon     40-Zr-93   24-Cr-64  4034   5 cm    0   0                
  Photon     40-Zr-93   24-Cr-65  4034   5 cm    0   0                
  Photon     40-Zr-93   24-Cr-66  4034   5 cm    0   0                
  Photon     40-Zr-93   25-Mn-60  4034   5 cm    0   0                
  Photon     40-Zr-93   25-Mn-60  4034   5 cm    1   0                
  Photon     40-Zr-93   25-Mn-61  4034   5 cm    0   0                
  Photon     40-Zr-93   25-Mn-62  4034   5 cm    0   0                
  Photon     40-Zr-93   25-Mn-63  4034   5 cm    0   0                
  Photon     40-Zr-93   25-Mn-64  4034   5 cm    0   0                
  Photon     40-Zr-93   25-Mn-65  4034   5 cm    0   0                
  Photon     40-Zr-93   25-Mn-66  4034   5 cm    0   0                
  Photon     40-Zr-93   25-Mn-67  4034   5 cm    0   0                
  Photon     40-Zr-93   25-Mn-68  4034   5 cm    0   0                
  Photon     40-Zr-93   25-Mn-69  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-61  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-62  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-63  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-64  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-65  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-66  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-67  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-68  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-69  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-70  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-71  4034   5 cm    0   0                
  Photon     40-Zr-93   26-Fe-72  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-62  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-62  4034   5 cm    1   0                
  Photon     40-Zr-93   27-Co-63  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-64  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-65  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-66  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-67  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-68  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-68  4034   5 cm    1   0                
  Photon     40-Zr-93   27-Co-69  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-70  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-70  4034   5 cm    1   0                
  Photon     40-Zr-93   27-Co-71  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-72  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-73  4034   5 cm    0   0                
  Photon     40-Zr-93   27-Co-74  4034   5 cm    0   0                
  Photon     40-Zr-93   28-Ni-63  4034   5 cm    0   0                
  Photon     40-Zr-93   28-Ni-64  4034   5 cm    0   0                
  Photon     40-Zr-93   28-Ni-65  4034   5 cm    0   0                
  Photon     40-Zr-93   28-Ni-66  4034   5 cm    0   0                
  Photon     40-Zr-93   28-Ni-67  4034   5 cm    0   0                
  Photon     40-Zr-93   28-Ni-68  4034   5 cm    0   0                
  Photon     40-Zr-93   28-Ni-69  4034   5 cm    0   0                
  Photon     40-Zr-93   28-Ni-70  4034   5 cm    0   0                
