25-Feb-2020 16:29

--- Errors of CHECKR ---------------------------------------
7-N-14    	CNDC      	  2 errors	  0 warnings
13-Al-27  	CNDC      	  1 errors	  6 warnings
24-Cr-50  	CNDC      	  0 errors	  6 warnings
24-Cr-53  	CNDC      	  0 errors	  6 warnings
24-Cr-54  	CNDC      	  0 errors	  6 warnings
27-Co-59  	IFIN-HH,UB	  1 errors	  0 warnings
39-Y-89   	IFIN-HH,UB	  2 errors	  0 warnings
40-Zr-90  	CNDC      	  0 errors	  6 warnings
45-Rh-103 	IFIN-HH,UB	  1 errors	  0 warnings
50-Sn-118 	CNDC      	  0 errors	  6 warnings
65-Tb-159 	IFIN-HH,UB	  1 errors	  0 warnings
67-Ho-165 	IFIN-HH,UB	  1 errors	  0 warnings
69-Tm-169 	IFIN-HH,UB	  1 errors	  0 warnings
73-Ta-181 	IFIN-HH,UB	  1 errors	  0 warnings
74-W-180  	CNDC      	  0 errors	  5 warnings
74-W-182  	CNDC      	  0 errors	  5 warnings
74-W-183  	CNDC      	  0 errors	  5 warnings
74-W-184  	CNDC      	  0 errors	  5 warnings
74-W-186  	CNDC      	  0 errors	  5 warnings
75-Re-185 	JAEA      	  1 errors	  0 warnings
75-Re-187 	JAEA      	  1 errors	  0 warnings
78-Pt-194 	JAEA      	  1 errors	  0 warnings
79-Au-197 	JAEA      	  1 errors	  0 warnings
82-Pb-206 	JAEA      	  1 errors	  0 warnings
82-Pb-207 	JAEA      	  1 errors	  0 warnings
82-Pb-208 	JAEA      	  1 errors	  0 warnings
88-Ra-226 	JAEA      	  1 errors	  0 warnings
90-Th-232 	JAEA      	  1 errors	  0 warnings
92-U-233  	JAEA      	  2 errors	  0 warnings
92-U-234  	JAEA      	  2 errors	  0 warnings
92-U-235  	JAEA      	  2 errors	  0 warnings
92-U-236  	JAEA      	  2 errors	  0 warnings
92-U-238  	JAEA      	  2 errors	  0 warnings
93-Np-237 	JAEA      	  2 errors	  0 warnings
94-Pu-238 	JAEA      	  1 errors	  0 warnings
94-Pu-239 	JAEA      	  2 errors	  0 warnings
94-Pu-241 	JAEA      	  2 errors	  0 warnings
------------------------------------------------------------
Errors in 37 files


--- Errors of FIZCON ---------------------------------------
1-H-2     	NFD       	  1 errors	  1 warnings
7-N-14    	CNDC      	  1 errors	  0 warnings
13-Al-27  	CNDC      	  6 errors	  1 warnings
24-Cr-50  	CNDC      	  1 errors	  1 warnings
24-Cr-53  	CNDC      	  1 errors	  1 warnings
24-Cr-54  	CNDC      	  1 errors	  1 warnings
27-Co-59  	IFIN-HH,UB	121 errors	  0 warnings
39-Y-89   	IFIN-HH,UB	107 errors	  0 warnings
40-Zr-90  	CNDC      	  0 errors	  1 warnings
45-Rh-103 	IFIN-HH,UB	108 errors	  0 warnings
50-Sn-118 	CNDC      	  1 errors	  1 warnings
65-Tb-159 	IFIN-HH,UB	108 errors	  0 warnings
67-Ho-165 	IFIN-HH,UB	 59 errors	  0 warnings
69-Tm-169 	IFIN-HH,UB	119 errors	  0 warnings
73-Ta-181 	IFIN-HH,UB	121 errors	  0 warnings
74-W-180  	CNDC      	  0 errors	  1 warnings
74-W-182  	CNDC      	  0 errors	  1 warnings
74-W-183  	CNDC      	  0 errors	  1 warnings
74-W-184  	CNDC      	  0 errors	  1 warnings
74-W-186  	CNDC      	  0 errors	  1 warnings
75-Re-185 	JAEA      	  0 errors	  1 warnings
75-Re-187 	JAEA      	  0 errors	  1 warnings
78-Pt-194 	JAEA      	  0 errors	  1 warnings
79-Au-197 	JAEA      	  0 errors	  1 warnings
82-Pb-206 	JAEA      	  0 errors	  1 warnings
82-Pb-207 	JAEA      	  0 errors	  1 warnings
82-Pb-208 	JAEA      	  0 errors	  1 warnings
92-U-233  	JAEA      	  1 errors	  0 warnings
92-U-234  	JAEA      	  1 errors	  0 warnings
92-U-235  	JAEA      	  1 errors	  0 warnings
92-U-236  	JAEA      	  1 errors	  0 warnings
92-U-238  	JAEA      	  1 errors	  0 warnings
93-Np-237 	JAEA      	  1 errors	  0 warnings
94-Pu-239 	JAEA      	  1 errors	  0 warnings
94-Pu-241 	JAEA      	  1 errors	  0 warnings
------------------------------------------------------------
Errors in 35 files

