  Merge ENDF/B Data into MAT/MF/MT Order (MERGER 2019-1)
 ************************************************************************
 Interpretation of Input Parameters
 ************************************************************************
 Output Filename
 ------------------------------------------------------------------------
 MERGER.OUT                                                              
 ------------------------------------------------------------------------
 Merged File Label
 ------------------------------------------------------------------------
                                                                      0
 ------------------------------------------------------------------------
 Retrieval Criteria-----------        MAT
 ------------------------------------------------------------------------
 Input Filenames
 ------------------------------------------------------------------------
 MERGER.IN                                                               
 ------------------------------------------------------------------------
 Retrieval Criteria
 ------------------------------------------------------------------------
 Request *   Lower Limit *   Upper Limit  
  Number *    MAT MF  MT *    MAT MF  MT  
 ------------------------------------------------------------------------
       1 *      0  1   1 * 999999  3 999
       2 *      0 10   1 * 999999 10 999
       3 *      0 33   1 * 999999 33 999
       4 *      0 40   1 * 999999 40 999
 ------------------------------------------------------------------------
 ************************************************************************
 Retrieved Data
 ************************************************************************
     ZA  MAT MF  MT  Lines  Unit Request Message
                                  Number
 ------------------------------------------------------------------------
  39089 3925  1 451    906    11       1
  39089 3925  3   1     79    11       1
  39089 3925  3   4     55    11       1
  39089 3925  3   5     78    11       1
  39089 3925  3  11     17    11       1
  39089 3925  3  16     26    11       1
  39089 3925  3  17     15    11       1
  39089 3925  3  22     30    11       1
  39089 3925  3  28     30    11       1
  39089 3925  3  32     22    11       1
  39089 3925  3  33     18    11       1
  39089 3925  3  34     18    11       1
  39089 3925  3  41     20    11       1
  39089 3925  3  42     11    11       1
  39089 3925  3  44     19    11       1
  39089 3925  3  50     55    11       1
  39089 3925  3  51     51    11       1
  39089 3925  3  52     49    11       1
  39089 3925  3  53     47    11       1
  39089 3925  3  54     47    11       1
  39089 3925  3  55     47    11       1
  39089 3925  3  56     46    11       1
  39089 3925  3  57     46    11       1
  39089 3925  3  58     46    11       1
  39089 3925  3  59     45    11       1
  39089 3925  3  60     45    11       1
  39089 3925  3  61     44    11       1
  39089 3925  3  62     44    11       1
  39089 3925  3  63     44    11       1
  39089 3925  3  64     43    11       1
  39089 3925  3  65     43    11       1
