

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Cs-135                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -----------------------------------------------------------------------
 -1.67818-24 -1.6782E-24   -1.191767271680D-05 5531  6   5    39    6
 -1.17081-24 -1.1708E-24    8.541095481008D-06 5531  6   5    50    6
 -3.83522-24 -3.8352E-24    5.214824703730D-06 5531  6   5    50    6
 -2.72477-24 -2.7248E-24   -1.101010360494D-05 5531  6   5    50    6
 -4.69313-24 -4.6931E-24    6.392322394725D-06 5531  6   5    80    6
 -1.19959-24 -1.1996E-24   -8.336181528635D-06 5531  6   5    80    6
 -6.04366-15 -6.0437E-15   -6.618506004623D-06 5531  6   5    86    6
 -1.03549-15 -1.0355E-15   -9.657263710876D-06 5531  6   5    89    6
 -2.07931-23 -2.0793E-23    4.809287696386D-06 5531  6   5   135    6
 -2.15471-16 -2.1547E-16    4.640995772018D-06 5531  6   5   136    6
 -2.03089-15 -2.0309E-15   -4.923949598536D-06 5531  6   5   143    6
 -3.68149-15 -3.6815E-15   -2.716291501478D-06 5531  6   5   144    6
 -3.63666-26 -3.6367E-26   -1.099910357299D-05 5531  6   5   203    6
 -2.80265-26 -2.8027E-26   -1.784025832678D-05 5531  6   5   203    6
 -1.28851-23 -1.2885E-23    7.760902127242D-06 5531  6   5   206    6
 -3.66419-23 -3.6642E-23   -2.729116121154D-06 5531  6   5   206    6
 -1.03761-16 -1.0376E-16    9.637532406249D-06 5531  6   5   210    6
 -2.95543-16 -2.9554E-16    1.015080715836D-05 5531  6   5   212    6
 -1.68708-27 -1.6871E-27   -1.185480238037D-05 5531  6   5   283    6
 -5.16332-28 -5.1633E-28    3.873476755348D-06 5531  6   5   283    6
 -1.84832-27 -1.8483E-27    1.082063711924D-05 5531  6   5   283    6
 -4.79664-24 -4.7966E-24    8.339170752960D-06 5531  6   5   286    6
 -1.46802-24 -1.4680E-24    1.362379259142D-05 5531  6   5   286    6
 -5.25507-24 -5.2551E-24   -5.708772670892D-06 5531  6   5   286    6
 -6.74689-16 -6.7469E-16   -1.482164374873D-06 5531  6   5   288    6
 -3.81792-24 -3.8179E-24    5.238454446463D-06 5531  6   5   373    6
 -1.48023-24 -1.4802E-24    2.026712065029D-05 5531  6   5   373    6
 -3.49976-24 -3.4998E-24   -1.142935515592D-05 5531  6   5   373    6
 -1.04834-23 -1.0483E-23    3.815556021905D-05 5531  6   5   466    6
 -3.81625-25 -3.8163E-25   -1.310186701609D-05 5531  6   5   466    6
 -2.20995-24 -2.2100E-24   -2.262494626569D-05 5531  6   5   467    6
 -1.75566-15 -1.7557E-15   -2.278345465517D-05 5531  6   5   468    6
 -4.91478-16 -4.9148E-16   -4.069358140210D-06 5531  6   5   468    6
 -6.21831-16 -6.2183E-16    1.608153983988D-06 5531  6   5   470    6
 -7.53437-17 -7.5344E-17   -3.981752953403D-06 5531  6   5   470    6
 -2.61162-15 -2.6116E-15    7.658081956925D-06 5531  6   5   471    6
 -2.21183-15 -2.2118E-15    1.356342937754D-05 5531  6   5   472    6
 -5.26244-16 -5.2624E-16    7.601036781360D-06 5531  6   5   474    6
 -6.91508-16 -6.9151E-16   -2.892229735642D-06 5531  6   5   474    6
 -8.09014-16 -8.0901E-16    4.944290210021D-06 5531  6   5   476    6
 -1.18747-15 -1.1875E-15   -2.526379613794D-05 5531  6   5   478    6
 -7.77398-16 -7.7740E-16   -2.572684776697D-06 5531  6   5   480    6
 -3.33966-16 -3.3397E-16   -1.197726714701D-05 5531  6   5   482    6
 -1.27485-15 -1.2749E-15   -3.922030042740D-05 5531  6   5   485    6
 -9.63683-24 -9.6368E-24    3.113056886925D-06 5531  6   5   581    6
 -3.04007-25 -3.0401E-25   -9.868193824511D-06 5531  6   5   581    6
 -5.01918-24 -5.0192E-24   -3.984714634709D-06 5531  6   5   582    6
 -3.00487-24 -3.0049E-24   -9.983792976066D-06 5531  6   5   582    6
 -5.09039-17 -5.0904E-17   -1.964486021709D-06 5531  6   5   583    6
 -2.70642-15 -2.7064E-15    7.389836019520D-06 5531  6   5   585    6
 -2.43828-15 -2.4383E-15   -8.202503404018D-06 5531  6   5   586    6
 -2.14168-16 -2.1417E-16   -9.338463262416D-06 5531  6   5   586    6
 -2.40987-15 -2.4099E-15   -1.244880429240D-05 5531  6   5   589    6
