

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  U -235                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -----------------------------------------------------------------------
 -7.85746-24 -7.8575E-24   -5.090703611660D-06 9228  6   5    85    6
 -4.40434-25 -4.4043E-25    9.081950984736D-06 9228  6   5   114    6
 -4.70687-27 -4.7069E-27   -6.373662327582D-06 9228  6   5   114    6
 -3.57545-25 -3.5755E-25   -1.398425373034D-05 9228  6   5   115    6
 -6.75436-25 -6.7544E-25   -5.922100687436D-06 9228  6   5   116    6
 -2.13076-26 -2.1308E-26   -1.877264450232D-05 9228  6   5   116    6
 -1.36763-25 -1.3676E-25    2.193575747833D-05 9228  6   5   116    6
 -4.09851-26 -4.0985E-26    2.439911089731D-06 9228  6   5   118    6
 -1.09782-27 -1.0978E-27    1.821792279250D-05 9228  6   5   118    6
 -1.94399-28 -1.9440E-28   -5.144059382899D-06 9228  6   5   119    6
 -1.83436-26 -1.8344E-26   -2.180597047474D-05 9228  6   5   120    6
 -1.94812-29 -1.9481E-29    1.026630803026D-05 9228  6   5   121    6
 -2.43087-26 -2.4309E-26   -1.234126053634D-05 9228  6   5   121    6
 -3.15132-30 -3.1513E-30    6.346546843947D-06 9228  6   5   122    6
 -1.69174-26 -1.6917E-26    2.364429522270D-05 9228  6   5   123    6
 -4.25044-26 -4.2504E-26    9.410790412367D-06 9228  6   5   123    6
 -2.01355-26 -2.0136E-26   -2.483176479345D-05 9228  6   5   124    6
 -3.76173-24 -3.7617E-24    7.975054031086D-06 9228  6   5   167    6
 -1.15128-24 -1.1513E-24   -1.737196859137D-05 9228  6   5   167    6
 -4.12125-24 -4.1213E-24   -1.213224143157D-05 9228  6   5   167    6
 -4.09369-27 -4.0937E-27   -2.442783894048D-06 9228  6   5   222    6
 -6.68616-27 -6.6862E-27   -5.982507149061D-06 9228  6   5   222    6
 -6.91797-27 -6.9180E-27   -4.336532248493D-06 9228  6   5   223    6
 -1.76827-27 -1.7683E-27   -1.696573487071D-05 9228  6   5   223    6
 -4.66587-27 -4.6659E-27   -6.429669064896D-06 9228  6   5   224    6
 -7.62069-27 -7.6207E-27   -1.312217135092D-06 9228  6   5   224    6
 -2.63208-28 -2.6321E-28   -7.598553235283D-06 9228  6   5   225    6
 -8.10319-28 -8.1032E-28   -1.234081886129D-06 9228  6   5   225    6
 -8.00135-28 -8.0014E-28   -6.248945490300D-06 9228  6   5   226    6
 -6.45212-29 -6.4521E-29    3.099756359007D-06 9228  6   5   227    6
 -2.64855-29 -2.6486E-29   -1.887825413924D-05 9228  6   5   227    6
 -3.96955-31 -3.9696E-31   -1.259588618374D-05 9228  6   5   228    6
 -5.85288-31 -5.8529E-31   -3.417121143735D-06 9228  6   5   228    6
 -4.23245-28 -4.2325E-28   -1.181348864126D-05 9228  6   5   229    6
 -1.08184-28 -1.0818E-28    3.697404422111D-05 9228  6   5   229    6
 -1.22754-31 -1.2275E-31    3.258549619558D-05 9228  6   5   230    6
 -5.26786-28 -5.2679E-28   -7.593216220448D-06 9228  6   5   231    6
 -1.11039-27 -1.1104E-27   -9.005844793218D-06 9228  6   5   231    6
 -1.18329-33 -1.1833E-33   -8.451013699059D-06 9228  6   5   232    6
 -1.21776-27 -1.2178E-27   -3.284719484951D-05 9228  6   5   233    6
 -3.46301-27 -3.4630E-27    2.887661311963D-06 9228  6   5   233    6
 -1.08697-27 -1.0870E-27   -2.759965776408D-05 9228  6   5   234    6
 -1.60268-27 -1.6027E-27   -1.247909751159D-05 9228  6   5   234    6
 -6.77475-24 -6.7748E-24   -7.380346138214D-06 9228  6   5   285    6
 -2.13719-25 -2.1372E-25   -4.679041170896D-06 9228  6   5   285    6
 -3.52852-24 -3.5285E-24    5.668098806366D-06 9228  6   5   285    6
 -7.37591-30 -7.3759E-30    1.355764915686D-06 9228  6   5   360    6
 -1.20163-28 -1.2016E-28    2.496608773098D-05 9228  6   5   361    6
 -1.77173-28 -1.7717E-28    1.693260259744D-05 9228  6   5   361    6
 -5.39725-29 -5.3973E-29   -9.263977025324D-06 9228  6   5   362    6
 -7.21294-30 -7.2129E-30    5.545588899926D-06 9228  6   5   362    6
 -1.88476-29 -1.8848E-29   -2.122286126622D-05 9228  6   5   363    6
 -9.92363-30 -9.9236E-30    3.023087317904D-06 9228  6   5   363    6
 -9.13529-30 -9.1353E-30   -1.094655998798D-06 9228  6   5   364    6
 -1.81078-29 -1.8108E-29   -1.104496404875D-05 9228  6   5   364    6
 -3.96781-30 -3.9678E-30    2.520281969136D-06 9228  6   5   365    6
 -1.51271-30 -1.5127E-30    6.610652405374D-06 9228  6   5   365    6
 -1.81896-33 -1.8190E-33   -2.199058802824D-05 9228  6   5   366    6
 -5.56695-34 -5.5670E-34   -8.981578781882D-06 9228  6   5   366    6
 -6.53633-34 -6.5363E-34    4.589731546609D-06 9228  6   5   368    6
 -8.35876-35 -8.3588E-35   -4.785398791250D-06 9228  6   5   368    6
 -8.32821-31 -8.3282E-31    1.200738213891D-06 9228  6   5   369    6
 -2.70581-35 -2.7058E-35    3.695750995113D-06 9228  6   5   370    6
 -1.48935-29 -1.4894E-29   -3.357169234915D-05 9228  6   5   371    6
 -1.18285-29 -1.1829E-29   -4.227078665940D-05 9228  6   5   371    6
 -4.73307-29 -4.7331E-29   -6.338380797304D-06 9228  6   5   372    6
 -1.72298-30 -1.7230E-30   -1.160779579561D-05 9228  6   5   372    6
 -6.91005-24 -6.9101E-24   -7.235837656726D-06 9228  6   5   423    6
 -6.68899-24 -6.6890E-24   -1.494994012677D-06 9228  6   5   423    6
 -6.27064-30 -6.2706E-30    6.378934207758D-06 9228  6   5   512    6
 -6.07003-30 -6.0700E-30    4.942314947467D-06 9228  6   5   512    6
 -7.84058-31 -7.8406E-31   -2.550831698642D-06 9228  6   5   513    6
 -2.56835-30 -2.5684E-30   -1.946775166928D-05 9228  6   5   513    6
 -1.82471-30 -1.8247E-30    5.480322900602D-06 9228  6   5   513    6
 -2.35432-30 -2.3543E-30    8.495021917270D-06 9228  6   5   513    6
 -4.06123-30 -4.0612E-30    7.386924651048D-06 9228  6   5   514    6
 -2.66745-30 -2.6675E-30   -1.874449380500D-05 9228  6   5   514    6
 -5.84731-32 -5.8473E-32    1.710188103717D-06 9228  6   5   515    6
 -6.57766-31 -6.5777E-31   -6.081189967174D-06 9228  6   5   516    6
 -2.07501-32 -2.0750E-32    4.819253883210D-06 9228  6   5   516    6
 -3.42586-31 -3.4259E-31   -1.167590035784D-05 9228  6   5   516    6
 -3.50541-35 -3.5054E-35    2.852733346328D-06 9228  6   5   517    6
