 Process ENDF/B Double Differential Data - MF=6 (SIXPAK 2019-1)
 ==============================================================================
 ENDF/B Input Data Filename
 SIXPAK.IN                                                               
 ------------------------------------------------------------------------------
 Requested Ranges
 ------------------------------------------------------------------------------
    Minimum    Maximum   
    MAT  MT    MAT  MT
 ------------------------------------------------------------------------------
      1   1   9999 999
 ==============================================================================
 Terminology
 ------------------------------------------------------------------------------
 LCT  = Reference System (Lab or Center-of-Mass)
 LIP  = Product Modifier, e.g., for Isomeric States
 LAW  = Representation of Data - see, List at End of Output
 LANG = 1     = Legendre     (LAW 1)
      = 2     = Kalbach-Mann (LAW 1)
      = 11-15 = Tabulated    (LAW 1)
      = 0     = Legendre     (LAW 2)
      = 11-15 = Tabulated    (LAW 2)
 LTP  = 1-2   = Legendre     (LAW 5)
      = 11-15 = Tabulated    (LAW 5)
 LEP  = Secondary Energy Interpolation Type(1 to 5)
 ==============================================================================
 Tape Label
 ------------------------------------------------------------------------------
  JENDL/PD-2016.1  Mo- 92                                             1
 ------------------------------------------------------------------------------
 WARNING: MT=5 is ALLOWED in MF=6, but NOT in MF=4 or 5.
          see ENDF-102 - Strictly for diagnostic purposes
          this code will Translate MF=6 Data - but be
          WARNED - the results should not be used in ANY          APPLICATIONS.
 ------------------------------------------------------------------------------
 ==============================================================================
 Projectile   Target    Emitted    MAT  MT LCT LIP LAW LANG  LEP  ENDF/B
                                                        LTP       Output
 ==============================================================================
  Photon     42-Mo-92   Neutron   4225   5 cm    0   1    1    2      
  Photon     42-Mo-92    1-H -1   4225   5 cm    0   1    1    2      
  Photon     42-Mo-92    1-H -2   4225   5 cm    0   1    1    2      
  Photon     42-Mo-92    1-H -3   4225   5 cm    0   1    1    2      
  Photon     42-Mo-92    2-He-3   4225   5 cm    0   1    1    2      
  Photon     42-Mo-92    2-He-4   4225   5 cm    0   1    1    2      
  Photon     42-Mo-92   22-Ti-54  4225   5 cm    0   0                
  Photon     42-Mo-92   23-V -55  4225   5 cm    0   0                
  Photon     42-Mo-92   23-V -56  4225   5 cm    0   0                
  Photon     42-Mo-92   23-V -57  4225   5 cm    0   0                
  Photon     42-Mo-92   24-Cr-56  4225   5 cm    0   0                
  Photon     42-Mo-92   24-Cr-57  4225   5 cm    0   0                
  Photon     42-Mo-92   24-Cr-58  4225   5 cm    0   0                
  Photon     42-Mo-92   24-Cr-59  4225   5 cm    0   0                
  Photon     42-Mo-92   24-Cr-60  4225   5 cm    0   0                
  Photon     42-Mo-92   25-Mn-57  4225   5 cm    0   0                
  Photon     42-Mo-92   25-Mn-58  4225   5 cm    0   0                
  Photon     42-Mo-92   25-Mn-58  4225   5 cm    1   0                
  Photon     42-Mo-92   25-Mn-59  4225   5 cm    0   0                
  Photon     42-Mo-92   25-Mn-60  4225   5 cm    0   0                
  Photon     42-Mo-92   25-Mn-60  4225   5 cm    1   0                
  Photon     42-Mo-92   25-Mn-61  4225   5 cm    0   0                
  Photon     42-Mo-92   25-Mn-62  4225   5 cm    0   0                
  Photon     42-Mo-92   25-Mn-63  4225   5 cm    0   0                
  Photon     42-Mo-92   26-Fe-58  4225   5 cm    0   0                
  Photon     42-Mo-92   26-Fe-59  4225   5 cm    0   0                
  Photon     42-Mo-92   26-Fe-60  4225   5 cm    0   0                
  Photon     42-Mo-92   26-Fe-61  4225   5 cm    0   0                
  Photon     42-Mo-92   26-Fe-62  4225   5 cm    0   0                
  Photon     42-Mo-92   26-Fe-63  4225   5 cm    0   0                
  Photon     42-Mo-92   26-Fe-64  4225   5 cm    0   0                
  Photon     42-Mo-92   26-Fe-65  4225   5 cm    0   0                
  Photon     42-Mo-92   26-Fe-66  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-59  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-60  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-60  4225   5 cm    1   0                
  Photon     42-Mo-92   27-Co-61  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-62  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-62  4225   5 cm    1   0                
  Photon     42-Mo-92   27-Co-63  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-64  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-65  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-66  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-67  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-68  4225   5 cm    0   0                
  Photon     42-Mo-92   27-Co-68  4225   5 cm    1   0                
  Photon     42-Mo-92   27-Co-69  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-60  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-61  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-62  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-63  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-64  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-65  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-66  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-67  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-68  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-69  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-70  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-71  4225   5 cm    0   0                
  Photon     42-Mo-92   28-Ni-72  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-61  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-62  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-63  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-64  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-65  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-66  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-67  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-68  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-68  4225   5 cm    1   0                
  Photon     42-Mo-92   29-Cu-69  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-70  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-70  4225   5 cm    1   0                
  Photon     42-Mo-92   29-Cu-71  4225   5 cm    0   0                
  Photon     42-Mo-92   29-Cu-72  4225   5 cm    0   0                
