

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Mo- 92                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -----------------------------------------------------------------------
 -3.20482-27 -3.2048E-27    6.240600096181D-06 4225  6   5    36    6
 -8.16249-27 -8.1625E-27   -1.225116355507D-06 4225  6   5    36    6
 -2.43566-26 -2.4357E-26   -1.642265340813D-05 4225  6   5    38    6
 -1.57474-26 -1.5747E-26    2.540101858088D-05 4225  6   5    38    6
 -1.37083-26 -1.3708E-26    2.188455169494D-05 4225  6   5    38    6
 -5.70726-28 -5.7073E-28   -7.008617094551D-06 4225  6   5    39    6
 -1.19978-27 -1.1998E-27   -1.666972278241D-05 4225  6   5    40    6
 -1.15643-21 -1.1564E-21    2.594190742195D-05 4225  6   5    40    6
 -7.47675-22 -7.4768E-22   -6.687397599174D-06 4225  6   5    40    6
 -5.72203-28 -5.7220E-28    5.242894567327D-06 4225  6   5    42    6
 -2.50341-28 -2.5034E-28    3.994551431931D-06 4225  6   5    42    6
 -1.56955-30 -1.5696E-30   -3.185626453440D-05 4225  6   5    44    6
 -5.14141-30 -5.1414E-30    1.944991743502D-06 4225  6   5    44    6
 -1.99385-22 -1.9939E-22   -2.507711211982D-05 4225  6   5    44    6
 -5.09638-23 -5.0964E-23   -3.924354149405D-06 4225  6   5    44    6
 -8.30719-24 -8.3072E-24   -1.203776487523D-06 4225  6   5    47    6
 -1.06234-24 -1.0623E-24    3.765272888163D-05 4225  6   5    47    6
 -9.27419-27 -9.2742E-27   -1.078261282034D-06 4225  6   5    62    6
 -1.23964-28 -1.2396E-28    3.226743248053D-05 4225  6   5    66    6
 -4.15068-28 -4.1507E-28   -4.818487573006D-06 4225  6   5    68    6
 -3.35671-29 -3.3567E-29    2.979107518832D-06 4225  6   5    69    6
 -4.63679-28 -4.6368E-28   -2.156664416495D-06 4225  6   5    70    6
 -1.76775-28 -1.7678E-28   -2.828454249749D-05 4225  6   5    70    6
 -6.05426-28 -6.0543E-28   -6.606918103938D-06 4225  6   5    71    6
 -5.86058-28 -5.8606E-28   -3.412631514206D-06 4225  6   5    71    6
 -1.01307-28 -1.0131E-28   -2.961295863066D-05 4225  6   5    73    6
