#    [ 5728 :  6 :   5 ]    57 - 139
# Energy and angle distribution
#           NK           363  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            74  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 1.7046690e-05 0.0000000e+00 0.0000000e+00
 8.7783490e+06 1.7663901e-02 0.0000000e+00 0.0000000e+00
 9.0000000e+06 1.9991560e-02 9.0177050e-01 1.8027799e-02
 9.5000000e+06 2.7941170e-02 9.7412170e-01 2.7218100e-02
 1.0000000e+07 3.9467520e-02 9.8641570e-01 3.8931381e-02
 1.0500000e+07 5.2610280e-02 9.8966970e-01 5.2066800e-02
 1.1000000e+07 6.2711810e-02 9.9126860e-01 6.2164248e-02
 1.1500000e+07 7.2227330e-02 9.9250600e-01 7.1686058e-02
 1.2000000e+07 8.7441330e-02 9.9396400e-01 8.6913534e-02
 1.2500000e+07 1.1221110e-01 9.9545860e-01 1.1170150e-01
 1.3000000e+07 1.4995180e-01 9.9669630e-01 1.4945640e-01
 1.3500000e+07 2.0415450e-01 9.9760280e-01 2.0366510e-01
 1.4000000e+07 2.7479990e-01 9.9822740e-01 2.7431279e-01
 1.4500000e+07 3.5002670e-01 9.9864010e-01 3.4955070e-01
 1.5000000e+07 4.0143610e-01 9.9889100e-01 4.0099091e-01
 1.5500000e+07 4.0381340e-01 9.9901240e-01 4.0341459e-01
 1.6000000e+07 3.6323630e-01 9.9900400e-01 3.6287452e-01
 1.6500000e+07 3.0591690e-01 1.0253430e+00 3.1366975e-01
 1.7000000e+07 2.5128300e-01 1.1406520e+00 2.8662646e-01
 1.7500000e+07 2.0628020e-01 1.2883430e+00 2.6575965e-01
 1.8000000e+07 1.7117720e-01 1.4329350e+00 2.4528580e-01
 1.8500000e+07 1.4419020e-01 1.5546460e+00 2.2416472e-01
 1.9000000e+07 1.2337550e-01 1.6434440e+00 2.0276073e-01
 1.9500000e+07 1.0714820e-01 1.7104300e+00 1.8326950e-01
 2.0000000e+07 9.4325590e-02 1.7555660e+00 1.6559480e-01
 2.1000000e+07 7.5483520e-02 1.8089210e+00 1.3654372e-01
 2.2000000e+07 6.2718320e-02 1.8393030e+00 1.1535799e-01
 2.3000000e+07 5.3676370e-02 1.8545800e+00 9.9547122e-02
 2.4000000e+07 4.7033180e-02 1.8626030e+00 8.7604142e-02
 2.5000000e+07 4.2004080e-02 1.8660780e+00 7.8382890e-02
 2.6000000e+07 3.8101840e-02 1.8676750e+00 7.1161854e-02
 2.7000000e+07 3.5011180e-02 1.9034030e+00 6.6640385e-02
 2.8000000e+07 3.2520630e-02 2.0177250e+00 6.5617688e-02
 2.9000000e+07 3.0483900e-02 2.1667150e+00 6.6049923e-02
 3.0000000e+07 2.8797020e-02 2.2933590e+00 6.6041905e-02
 3.2000000e+07 2.6189720e-02 2.4473670e+00 6.4095856e-02
 3.4000000e+07 2.4294390e-02 2.5073770e+00 6.0915195e-02
 3.6000000e+07 2.2874040e-02 2.5525940e+00 5.8388137e-02
