#    [ 5231 :  6 :   5 ]    52 - 122
# Energy and angle distribution
#           NK           356  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            72  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
#           NA             0  number of angular parameters
# Energy       Spectrum
 0.0000000e+00 0.0000000e+00
 1.0000000e+05 2.5477600e-11
 2.0000000e+05 1.9999950e-05


#           E1 1.2000000e+07  incident energy
#          NEP            24  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             2  number of angular parameters
# Energy       PL( 0)        PL( 1)        PL( 2)       
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 2.5000000e+04 7.4586280e-08 8.8058800e-25 -5.887090e-24
 1.0000000e+05 2.8158430e-07 2.1553700e-11 4.6738500e-13
 2.0000000e+05 4.3188640e-07 3.5302100e-11 7.7637000e-13
 3.0000000e+05 5.1415830e-07 4.4153000e-11 9.8132200e-13
 4.0000000e+05 5.5607350e-07 4.9386100e-11 1.1104500e-12
 5.0000000e+05 5.7416420e-07 5.1745100e-11 1.1796900e-12
 6.0000000e+05 5.7726980e-07 5.1497500e-11 1.1808900e-12
 7.0000000e+05 5.7057680e-07 4.8617800e-11 1.1294700e-12
 8.0000000e+05 5.5690690e-07 4.2884900e-11 1.0072500e-12
 9.0000000e+05 2.7009860e-07 3.3963000e-11 8.1129300e-13
 1.0000000e+06 4.2527320e-07 1.2035300e-11 2.9069100e-13
 1.1000000e+06 7.8668970e-07 7.3145500e-12 1.7724700e-13
 1.2000000e+06 1.0109840e-06 5.9342700e-13 1.0204200e-14
 1.3000000e+06 3.9953570e-07 -7.033950e-23 3.9419100e-24
 1.4000000e+06 5.6117820e-07 -2.916010e-23 5.5367200e-24
 1.5000000e+06 1.0779050e-06 1.8775500e-23 -5.317440e-23
 1.6000000e+06 6.2796470e-07 -4.847830e-23 -1.239130e-23
 1.7000000e+06 2.8100280e-07 -2.068360e-23 -3.049680e-23
 1.8000000e+06 7.5055100e-12 -9.521900e-29 -8.886140e-28
 1.9000000e+06 3.4329740e-07 -5.126250e-24 -1.016120e-23
 2.0000000e+06 7.8357100e-13 -1.416040e-29 -4.638540e-29
 2.1000000e+06 9.0379300e-14 -1.591160e-29 8.9170400e-31
 2.2000000e+06 3.0269240e-07 -5.470150e-24 -1.791860e-23


#           E1 1.4000000e+07  incident energy
#          NEP            44  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             3  number of angular parameters
# Energy       PL( 0)        PL( 1)        PL( 2)        PL( 3)       
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 2.5000000e+04 7.0820460e-08 -1.246820e-23 6.9873200e-25 -4.538780e-25
 1.0000000e+05 2.6271770e-07 4.1721800e-11 9.7635700e-13 1.6968100e-14
 2.0000000e+05 4.0285040e-07 7.2500700e-11 1.7173500e-12 2.9374000e-14
 3.0000000e+05 4.7941530e-07 9.7247500e-11 2.3339700e-12 4.0579000e-14
 4.0000000e+05 5.1855640e-07 1.1820600e-10 2.8699700e-12 4.9569200e-14
 5.0000000e+05 5.3580270e-07 1.3697200e-10 3.3635000e-12 5.7935000e-14
 6.0000000e+05 5.3929550e-07 1.5445500e-10 3.8369200e-12 6.6591900e-14
 7.0000000e+05 5.3378010e-07 1.7107500e-10 4.2987400e-12 7.7695500e-14
 8.0000000e+05 5.2166150e-07 1.8692900e-10 4.7528700e-12 8.5989500e-14
 9.0000000e+05 5.0509540e-07 2.0190400e-10 5.1913900e-12 9.4912200e-14
 1.0000000e+06 4.8493510e-07 2.1578400e-10 5.6090600e-12 1.0435000e-13
 1.1000000e+06 4.6191220e-07 2.2830300e-10 6.0008400e-12 1.1352400e-13
 1.2000000e+06 4.3674810e-07 2.3919500e-10 6.3551900e-12 1.2113100e-13
 1.3000000e+06 4.1013760e-07 2.4823500e-10 6.6661800e-12 1.2845000e-13
 1.4000000e+06 3.8270190e-07 2.5522900e-10 6.9294000e-12 1.3468600e-13
 1.5000000e+06 3.5499700e-07 2.6005000e-10 7.1338900e-12 1.4018600e-13
 1.6000000e+06 3.2753040e-07 2.6261300e-10 7.2810800e-12 1.4406000e-13
 1.7000000e+06 3.0072440e-07 2.6287300e-10 7.3655500e-12 1.4765500e-13
 1.8000000e+06 2.7491380e-07 2.6081900e-10 7.3821100e-12 1.4928300e-13
 1.9000000e+06 2.5034870e-07 2.5645900e-10 7.3324900e-12 1.4960700e-13
 2.0000000e+06 2.2720030e-07 2.4979600e-10 7.2139600e-12 1.4861800e-13
 2.1000000e+06 2.0557090e-07 2.4084900e-10 7.0272600e-12 1.4631400e-13
 2.2000000e+06 1.8550470e-07 2.2960400e-10 6.7654800e-12 1.4280500e-13
 2.3000000e+06 1.6699860e-07 2.1603600e-10 6.4286700e-12 1.3604200e-13
 2.4000000e+06 1.5001330e-07 2.0009600e-10 6.0131500e-12 1.2838200e-13
 2.5000000e+06 1.3448270e-07 1.8169000e-10 5.5146300e-12 1.1990500e-13
 2.6000000e+06 1.2032200e-07 1.6071000e-10 4.9232200e-12 1.0673400e-13
 2.7000000e+06 1.0743480e-07 1.3699300e-10 4.2382500e-12 9.3954900e-14
 2.8000000e+06 9.5719060e-08 1.1036000e-10 3.4455400e-12 7.5356900e-14
 2.9000000e+06 4.3329090e-08 8.0586700e-11 2.5400700e-12 5.7345200e-14
 3.0000000e+06 7.3183640e-08 2.6941800e-11 8.5798300e-13 1.9735500e-14
 3.1000000e+06 8.1852330e-08 1.5782200e-11 5.0590200e-13 1.1825900e-14
 3.2000000e+06 9.9241070e-08 1.2415700e-12 4.0361900e-14 9.6886900e-16
 3.3000000e+06 4.6273700e-08 1.6880400e-25 4.5654700e-25 -1.624270e-25
 3.4000000e+06 5.7590780e-08 -1.390080e-24 5.6820400e-25 -1.571330e-24
 3.5000000e+06 8.1247350e-08 1.8583700e-24 8.0160600e-24 -1.061890e-24
 3.6000000e+06 6.0953420e-08 7.1963500e-25 -4.811050e-24 4.5427500e-25
 3.7000000e+06 3.9003220e-08 -7.048520e-25 -2.308890e-24 -1.640370e-24
 3.8000000e+06 2.7922800e-13 -5.046110e-30 -1.652960e-29 -1.174360e-29
 3.9000000e+06 2.8712170e-08 8.0959700e-25 -1.133120e-24 -5.966120e-25
 4.0000000e+06 2.8674000e-14 -5.181860e-31 -1.697430e-30 -1.205950e-30
 4.1000000e+06 3.2713000e-15 -2.539750e-31 -9.682630e-32 4.6243400e-32
