#    [ 4625 :  6 :   5 ]    46 - 102
# Energy and angle distribution
#           NK           378  number of subsections
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            70  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 1.2048860e-05 0.0000000e+00 0.0000000e+00
 1.0542360e+07 2.1221333e-02 0.0000000e+00 0.0000000e+00
 1.1000000e+07 2.6695430e-02 9.7413230e-01 2.6004881e-02
 1.1500000e+07 3.4837780e-02 9.8454150e-01 3.4299240e-02
 1.2000000e+07 4.5916250e-02 9.8460390e-01 4.5209319e-02
 1.2500000e+07 6.0903730e-02 9.7929500e-01 5.9642718e-02
 1.3000000e+07 8.0818660e-02 9.7176610e-01 7.8536834e-02
 1.3500000e+07 1.0615310e-01 9.6296390e-01 1.0222160e-01
 1.4000000e+07 1.3552910e-01 9.5387930e-01 1.2927840e-01
 1.4500000e+07 1.6416440e-01 9.4621550e-01 1.5533490e-01
 1.5000000e+07 1.8516790e-01 9.4103350e-01 1.7424920e-01
 1.5500000e+07 1.9498070e-01 9.3810820e-01 1.8291299e-01
 1.6000000e+07 1.9586580e-01 9.3672760e-01 1.8347290e-01
 1.6500000e+07 1.9150270e-01 9.3658370e-01 1.7935831e-01
 1.7000000e+07 1.8326450e-01 9.3789200e-01 1.7188231e-01
 1.7500000e+07 1.7114670e-01 9.3933330e-01 1.6076379e-01
 1.8000000e+07 1.5584010e-01 9.4029520e-01 1.4653570e-01
 1.8500000e+07 1.3903850e-01 9.4106160e-01 1.3084379e-01
 1.9000000e+07 1.2251200e-01 9.5316300e-01 1.1677391e-01
 1.9500000e+07 1.0741780e-01 1.0781030e+00 1.1580745e-01
 2.0000000e+07 9.4237080e-02 1.2424180e+00 1.1708184e-01
 2.1000000e+07 7.3369050e-02 1.4714820e+00 1.0796124e-01
 2.2000000e+07 5.8566320e-02 1.5895730e+00 9.3095441e-02
 2.3000000e+07 4.7947420e-02 1.6432640e+00 7.8790269e-02
 2.4000000e+07 4.0139030e-02 1.6570380e+00 6.6511898e-02
 2.5000000e+07 3.4241730e-02 1.6486040e+00 5.6451053e-02
 2.6000000e+07 2.9676410e-02 1.6329550e+00 4.8460242e-02
 2.7000000e+07 2.6065490e-02 1.6120120e+00 4.2017883e-02
 2.8000000e+07 2.3157280e-02 1.5929910e+00 3.6889339e-02
 2.9000000e+07 2.0779730e-02 1.5788550e+00 3.2808181e-02
 3.0000000e+07 1.8812210e-02 1.5660020e+00 2.9459958e-02
 3.2000000e+07 1.5783550e-02 1.6169050e+00 2.5520501e-02
 3.4000000e+07 1.3612610e-02 1.7587050e+00 2.3940565e-02
 3.6000000e+07 1.2031140e-02 1.8651130e+00 2.2439436e-02
 3.8000000e+07 1.0869660e-02 1.9145940e+00 2.0810986e-02
 4.0000000e+07 1.0014180e-02 1.9360140e+00 1.9387593e-02
 4.2000000e+07 9.3844500e-03 1.9501230e+00 1.8300832e-02
 4.4000000e+07 8.9222110e-03 1.9796760e+00 1.7663087e-02
