#    [ 5055 :  6 :   5 ]    50 - 122
# Energy and angle distribution
#           NK           333  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            74  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 1.5356790e-05 0.0000000e+00 0.0000000e+00
 8.8153850e+06 1.4520070e-02 0.0000000e+00 0.0000000e+00
 9.0000000e+06 1.5803920e-02 9.8510240e-01 1.5568480e-02
 9.5000000e+06 2.0141720e-02 9.8943040e-01 1.9928830e-02
 1.0000000e+07 2.5271510e-02 9.8979250e-01 2.5013551e-02
 1.0500000e+07 3.1538190e-02 9.9040880e-01 3.1235701e-02
 1.1000000e+07 3.9938640e-02 9.8931840e-01 3.9512031e-02
 1.1500000e+07 5.1592040e-02 9.8834450e-01 5.0990709e-02
 1.2000000e+07 6.7658590e-02 9.8794730e-01 6.6843121e-02
 1.2500000e+07 8.9494630e-02 9.8813950e-01 8.8433179e-02
 1.3000000e+07 1.1854450e-01 9.8875870e-01 1.1721191e-01
 1.3500000e+07 1.5548600e-01 9.8965690e-01 1.5387779e-01
 1.4000000e+07 1.9808760e-01 9.9072280e-01 1.9624990e-01
 1.4500000e+07 2.3856840e-01 9.9185310e-01 2.3662481e-01
 1.5000000e+07 2.6455930e-01 9.9296910e-01 2.6269921e-01
 1.5500000e+07 2.6723510e-01 1.0699260e+00 2.8592178e-01
 1.6000000e+07 2.4888790e-01 1.2128360e+00 3.0186021e-01
 1.6500000e+07 2.1944290e-01 1.3313390e+00 2.9215289e-01
 1.7000000e+07 1.8805700e-01 1.4344060e+00 2.6975009e-01
 1.7500000e+07 1.5962000e-01 1.5152340e+00 2.4186165e-01
 1.8000000e+07 1.3567860e-01 1.5749700e+00 2.1368972e-01
 1.8500000e+07 1.1614120e-01 1.6179830e+00 1.8791449e-01
 1.9000000e+07 1.0035430e-01 1.6534100e+00 1.6592680e-01
 1.9500000e+07 8.7585690e-02 1.6824360e+00 1.4735732e-01
 2.0000000e+07 7.7192500e-02 1.7072160e+00 1.3178427e-01
 2.1000000e+07 6.1386260e-02 1.7459280e+00 1.0717599e-01
 2.2000000e+07 5.0281240e-02 1.7750780e+00 8.9253123e-02
 2.3000000e+07 4.2182380e-02 1.7974040e+00 7.5818779e-02
 2.4000000e+07 3.6080170e-02 1.8103360e+00 6.5317231e-02
 2.5000000e+07 3.1354310e-02 1.8241910e+00 5.7196250e-02
 2.6000000e+07 2.7610320e-02 1.8646480e+00 5.1483528e-02
 2.7000000e+07 2.4588750e-02 1.9307080e+00 4.7473696e-02
 2.8000000e+07 2.2113650e-02 1.9975970e+00 4.4174161e-02
 2.9000000e+07 2.0062160e-02 2.0599810e+00 4.1327668e-02
 3.0000000e+07 1.8346190e-02 2.1130290e+00 3.8766032e-02
 3.2000000e+07 1.5677430e-02 2.1825730e+00 3.4217135e-02
 3.4000000e+07 1.3753050e-02 2.2392380e+00 3.0796352e-02
 3.6000000e+07 1.2354960e-02 2.2955740e+00 2.8361725e-02
 3.8000000e+07 1.1338570e-02 2.3554860e+00 2.6707843e-02
 4.0000000e+07 1.0602590e-02 2.4172980e+00 2.5629620e-02
 4.2000000e+07 1.0073610e-02 2.4772750e+00 2.4955102e-02
 4.4000000e+07 9.6973420e-03 2.5423790e+00 2.4654319e-02
 4.6000000e+07 9.4332220e-03 2.6082110e+00 2.4603833e-02
 4.8000000e+07 9.2508200e-03 2.6774970e+00 2.4769043e-02
 5.0000000e+07 9.1272750e-03 2.7464220e+00 2.5067349e-02
 5.2000000e+07 9.0454090e-03 2.8133850e+00 2.5448218e-02
 5.4000000e+07 8.9923310e-03 2.8864670e+00 2.5956067e-02
 5.6000000e+07 8.9583840e-03 2.9541540e+00 2.6464446e-02
 5.8000000e+07 8.9363490e-03 3.0194700e+00 2.6983038e-02
 6.0000000e+07 8.9208520e-03 3.0808510e+00 2.7483816e-02
 6.2000000e+07 8.9079170e-03 3.1431580e+00 2.7998991e-02
 6.4000000e+07 8.8946270e-03 3.2121490e+00 2.8570867e-02
 6.6000000e+07 8.8788690e-03 3.2685100e+00 2.9020672e-02
 6.8000000e+07 8.8591430e-03 3.3340400e+00 2.9536737e-02
 7.0000000e+07 8.8344170e-03 3.3923620e+00 2.9969541e-02
 7.2000000e+07 8.8040160e-03 3.4537360e+00 3.0406747e-02
 7.4000000e+07 8.7675370e-03 3.5137800e+00 3.0807196e-02
 7.6000000e+07 8.7247870e-03 3.5733260e+00 3.1176508e-02
 7.8000000e+07 8.6757310e-03 3.6290730e+00 3.1484861e-02
 8.0000000e+07 8.6204580e-03 3.6881630e+00 3.1793654e-02
 8.5000000e+07 8.4564280e-03 3.8334310e+00 3.2417133e-02
 9.0000000e+07 8.2592720e-03 3.9704290e+00 3.2792853e-02
 9.5000000e+07 8.0348080e-03 4.1089270e+00 3.3014440e-02
 1.0000000e+08 7.7894490e-03 4.2419690e+00 3.3042601e-02
 1.1000000e+08 7.2622990e-03 4.5149670e+00 3.2789040e-02
 1.2000000e+08 6.7290420e-03 4.7590860e+00 3.2024090e-02
 1.3000000e+08 6.2373740e-03 5.0091910e+00 3.1244198e-02
 1.4000000e+08 5.8308790e-03 5.2608410e+00 3.0675327e-02
 1.5000000e+08 5.3253430e-03 5.4839190e+00 2.9203750e-02
 1.6000000e+08 4.8886400e-03 5.7228530e+00 2.7976968e-02
 1.7000000e+08 4.5083480e-03 5.9554610e+00 2.6849291e-02
