#    [ 5240 :  6 :   5 ]    52 - 125
# Energy and angle distribution
#           NK           353  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            78  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 1.6057410e-05 0.0000000e+00 0.0000000e+00
 6.5689700e+06 4.4212884e-03 0.0000000e+00 0.0000000e+00
 7.0000000e+06 5.6495360e-03 9.6069540e-01 5.4274832e-03
 7.5000000e+06 7.4072940e-03 9.8483940e-01 7.2949950e-03
 8.0000000e+06 9.4954550e-03 9.8211960e-01 9.3256725e-03
 8.5000000e+06 1.1978960e-02 9.7939390e-01 1.1732120e-02
 9.0000000e+06 1.5082340e-02 9.8249140e-01 1.4818269e-02
 9.5000000e+06 1.9156150e-02 9.8611360e-01 1.8890140e-02
 1.0000000e+07 2.4622750e-02 9.8870430e-01 2.4344619e-02
 1.0500000e+07 3.2000750e-02 9.9100960e-01 3.1713050e-02
 1.1000000e+07 4.1969890e-02 9.9296450e-01 4.1674611e-02
 1.1500000e+07 5.5434120e-02 9.9457140e-01 5.5133190e-02
 1.2000000e+07 7.3572290e-02 9.9586720e-01 7.3268230e-02
 1.2500000e+07 9.7851570e-02 9.9688860e-01 9.7547115e-02
 1.3000000e+07 1.2981010e-01 9.9767200e-01 1.2950790e-01
 1.3500000e+07 1.7006070e-01 9.9825470e-01 1.6976389e-01
 1.4000000e+07 2.1598020e-01 9.9866890e-01 2.1569271e-01
 1.4500000e+07 2.5907860e-01 9.9894320e-01 2.5880481e-01
 1.5000000e+07 2.8635930e-01 9.9909450e-01 2.8610000e-01
 1.5500000e+07 2.8889820e-01 9.9912740e-01 2.8864611e-01
 1.6000000e+07 2.6933150e-01 9.9906660e-01 2.6908011e-01
 1.6500000e+07 2.3803870e-01 1.0703930e+00 2.5479496e-01
 1.7000000e+07 2.0457700e-01 1.2189400e+00 2.4936709e-01
 1.7500000e+07 1.7411590e-01 1.3774220e+00 2.3983107e-01
 1.8000000e+07 1.4834850e-01 1.5138360e+00 2.2457530e-01
 1.8500000e+07 1.2723120e-01 1.6140600e+00 2.0535879e-01
 1.9000000e+07 1.1010510e-01 1.6843670e+00 1.8545740e-01
