#    [ 2631 :  6 :   5 ]    26 -  56
# Energy and angle distribution
#           NK           221  number of subsections
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            69  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 5.0000000e+05 1.0874200e-13
 6.0000000e+05 3.0935800e-14
 7.0000000e+05 3.7645100e-15
 8.0000000e+05 9.0022000e-06


#           E1 1.4000000e+07  incident energy
#          NEP            30  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             4  number of angular parameters
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 2.5000000e+04 3.2093200e-11 -6.366700e-27 -4.116310e-27 6.4315000e-28 3.0872300e-27
 1.0000000e+05 2.2210400e-11 -1.450120e-27 2.1913300e-27 -4.438120e-28 -1.588720e-27
 2.0000000e+05 3.8849920e-08 8.8783500e-11 2.6943700e-12 5.8332800e-14 1.0866700e-15
 3.0000000e+05 9.2664620e-07 4.0583100e-10 1.2413400e-11 2.6772600e-13 2.7420000e-15
 4.0000000e+05 1.9273400e-11 2.2754700e-28 -1.521240e-27 1.4364100e-28 -4.326040e-27
 5.0000000e+05 1.5658670e-08 4.1030300e-10 1.2807800e-11 2.8556600e-13 4.9601800e-15
 6.0000000e+05 3.1796540e-09 1.5412700e-10 4.8454800e-12 1.0884800e-13 1.8963400e-15
 7.0000000e+05 3.3314480e-07 2.2140000e-10 7.0065500e-12 1.5858600e-13 2.2431400e-15
 8.0000000e+05 2.5224200e-06 3.4963600e-10 1.1177300e-11 2.6697800e-13 2.7972600e-15
 9.0000000e+05 1.1232010e-06 7.2581200e-10 2.3460200e-11 5.3976900e-13 7.2663400e-15
 1.0000000e+06 6.7248000e-12 -1.096660e-27 -1.061580e-27 4.9138500e-29 5.3078800e-28
 1.1000000e+06 5.4198700e-12 -8.838560e-28 -8.555800e-28 3.9603400e-29 4.2779000e-28
 1.2000000e+06 4.3704300e-12 -5.057770e-28 1.2935900e-28 6.7708600e-29 -6.467960e-29
 1.3000000e+06 3.4982000e-12 -6.158700e-28 3.4514100e-29 -2.241940e-29 3.8828400e-28
 1.4000000e+06 4.9704690e-07 -9.759270e-24 -2.451990e-23 -1.480440e-23 -3.800590e-23
 1.5000000e+06 5.2971620e-07 2.2865800e-23 -6.271570e-23 -1.978450e-24 -3.266440e-23
 1.6000000e+06 1.5994200e-12 1.8883200e-29 -1.262420e-28 1.1920200e-29 -3.590000e-28
 1.7000000e+06 1.1831700e-12 1.3968900e-29 -9.338760e-29 8.8179600e-30 -2.655710e-28
 1.8000000e+06 8.5632400e-13 -1.698790e-28 -1.098330e-28 1.7160800e-29 8.2374800e-29
 1.9000000e+06 1.2828870e-06 -9.959970e-23 -3.797180e-23 1.8135000e-23 1.2024400e-22
 2.0000000e+06 4.0456900e-13 6.6283500e-30 1.1974700e-29 1.1829600e-29 4.0913700e-29
 2.1000000e+06 2.5050800e-13 -4.918590e-30 -1.235780e-29 -7.461320e-30 -1.915470e-29
 2.2000000e+06 1.4499400e-13 -1.742510e-30 0.0000000e+00 6.9549100e-31 -5.364550e-30
 2.3000000e+06 7.8100700e-14 -1.885130e-30 7.7056000e-31 -2.130940e-30 1.3484800e-30
 2.4000000e+06 1.5592840e-06 -3.061580e-23 -7.692130e-23 -4.644300e-23 -1.192280e-22
 2.5000000e+06 1.5251400e-14 -2.994530e-31 -7.523680e-31 -4.542590e-31 -1.166170e-30
 2.6000000e+06 4.2535700e-15 -6.936600e-31 -6.714680e-31 3.1081100e-32 3.3573400e-31
 2.7000000e+06 5.0250300e-16 -3.698750e-32 -5.453600e-32 2.7828000e-32 7.5606700e-32
 2.8000000e+06 2.3357740e-06 -1.213720e-22 2.3045300e-23 -4.982250e-23 1.5555600e-22


#           E1 1.6000000e+07  incident energy
#          NEP            47  number of secondary energy points
#           ND             0  number of discrete lines
#           NA             4  number of angular parameters
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 2.6666670e+04 3.2485820e-08 1.4022900e-24 -3.846150e-24 -1.213320e-25 -2.003210e-24
 1.0666670e+05 1.2965770e-07 3.3300600e-10 1.0685300e-11 2.4523400e-13 4.5257000e-15
 2.1333330e+05 1.5642530e-07 4.1929300e-10 1.3594100e-11 3.1432400e-13 5.7743100e-15
 3.2000000e+05 1.7723700e-07 4.9750100e-10 1.6295300e-11 3.8110300e-13 6.8923600e-15
 4.2666670e+05 1.9731290e-07 5.8026300e-10 1.9200300e-11 4.5384000e-13 7.8595300e-15
