#    [ 1925 :  6 :   5 ]    19 -  39
# Energy and angle distribution
#           NK           174  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            65  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 1.9381160e-06 0.0000000e+00 0.0000000e+00
 1.3077750e+07 4.4542794e-03 0.0000000e+00 0.0000000e+00
 1.3500000e+07 4.8718230e-03 8.1144040e-02 3.9531940e-04
 1.4000000e+07 5.6047300e-03 1.4338750e-01 8.0364822e-04
 1.4500000e+07 6.6846960e-03 1.4677520e-01 9.8114759e-04
 1.5000000e+07 8.2523720e-03 1.4348030e-01 1.1840528e-03
 1.5500000e+07 1.0539300e-02 1.3770490e-01 1.4513133e-03
 1.6000000e+07 1.3960560e-02 1.5316390e-01 2.1382538e-03
 1.6500000e+07 1.9277600e-02 1.6643280e-01 3.2084249e-03
 1.7000000e+07 2.7748920e-02 1.9508180e-01 5.4133093e-03
 1.7500000e+07 4.0142530e-02 2.1849840e-01 8.7710786e-03
 1.8000000e+07 5.1533880e-02 2.4024060e-01 1.2380530e-02
 1.8500000e+07 5.3719250e-02 2.5411000e-01 1.3650599e-02
 1.9000000e+07 5.2564000e-02 2.6980540e-01 1.4182051e-02
 1.9500000e+07 5.4357470e-02 2.7834810e-01 1.5130298e-02
 2.0000000e+07 5.7974930e-02 2.9430810e-01 1.7062491e-02
 2.1000000e+07 5.8323020e-02 3.4825190e-01 2.0311103e-02
 2.2000000e+07 4.5981970e-02 4.3022710e-01 1.9782690e-02
 2.3000000e+07 3.3021950e-02 5.0781770e-01 1.6769131e-02
 2.4000000e+07 2.4368800e-02 5.6922050e-01 1.3871221e-02
 2.5000000e+07 1.9259200e-02 6.1317810e-01 1.1809320e-02
 2.6000000e+07 1.6428400e-02 6.4575250e-01 1.0608680e-02
 2.7000000e+07 1.4951110e-02 6.6763130e-01 9.9818290e-03
 2.8000000e+07 1.4040510e-02 6.8263150e-01 9.5844944e-03
 2.9000000e+07 1.3031470e-02 6.9447540e-01 9.0500353e-03
 3.0000000e+07 1.1685100e-02 7.0804180e-01 8.2735392e-03
 3.2000000e+07 8.8328410e-03 7.4893810e-01 6.6152512e-03
 3.4000000e+07 6.7886970e-03 8.1255860e-01 5.5162141e-03
 3.6000000e+07 5.5130660e-03 8.6333390e-01 4.7596168e-03
 3.8000000e+07 4.7081660e-03 8.9838230e-01 4.2297330e-03
 4.0000000e+07 4.1818410e-03 9.2776320e-01 3.8797582e-03
 4.2000000e+07 3.8268680e-03 9.4863320e-01 3.6302940e-03
 4.4000000e+07 3.5820750e-03 9.7127950e-01 3.4791960e-03
 4.6000000e+07 3.4107210e-03 9.9756530e-01 3.4024169e-03
 4.8000000e+07 3.2895960e-03 1.0300760e+00 3.3885339e-03
 5.0000000e+07 3.2033980e-03 1.0614400e+00 3.4002148e-03
 5.2000000e+07 3.1416920e-03 1.0888260e+00 3.4207559e-03
 5.4000000e+07 3.0971720e-03 1.1215180e+00 3.4735341e-03
 5.6000000e+07 3.0646240e-03 1.1510180e+00 3.5274374e-03
 5.8000000e+07 3.0402660e-03 1.1745050e+00 3.5708076e-03
 6.0000000e+07 3.0213350e-03 1.2018990e+00 3.6313395e-03
 6.2000000e+07 3.0057960e-03 1.2268420e+00 3.6876368e-03
 6.4000000e+07 2.9921460e-03 1.2551510e+00 3.7555950e-03
 6.6000000e+07 2.9792810e-03 1.2784850e+00 3.8089661e-03
 6.8000000e+07 2.9663910e-03 1.3095290e+00 3.8845750e-03
 7.0000000e+07 2.9528890e-03 1.3328230e+00 3.9356784e-03
 7.2000000e+07 2.9383620e-03 1.3603900e+00 3.9973183e-03
 7.4000000e+07 2.9225210e-03 1.3862030e+00 4.0512074e-03
 7.6000000e+07 2.9051820e-03 1.4139760e+00 4.1078576e-03
 7.8000000e+07 2.8862340e-03 1.4397350e+00 4.1554121e-03
 8.0000000e+07 2.8656270e-03 1.4683720e+00 4.2078064e-03
 8.5000000e+07 2.8068990e-03 1.5319610e+00 4.3000598e-03
