#    [ 7640 :  6 :   5 ]    76 - 189
# Energy and angle distribution
#           NK           127  number of subsections

#   Subsection             0
#          ZAP             1
#          LIP             0  product modifier
#          LAW             1  distribution law
#           NP            80  yield energy points
#   Energy[eV]  CrossSec [b]  Multiplicity  CrossSec x M
 1.0000000e+06 1.8864500e-04 0.0000000e+00 0.0000000e+00
 5.5000000e+06 1.1007600e-02 0.0000000e+00 0.0000000e+00
 6.0000000e+06 1.4369900e-02 1.8725500e-01 2.6908356e-03
 6.5000000e+06 1.8335000e-02 7.5469300e-01 1.3837296e-02
 7.0000000e+06 2.2757300e-02 8.0622900e-01 1.8347595e-02
 7.5000000e+06 2.7866900e-02 8.2951300e-01 2.3115956e-02
 8.0000000e+06 3.4168400e-02 8.9357700e-01 3.0532096e-02
 8.5000000e+06 4.2422800e-02 9.3265500e-01 3.9565837e-02
 9.0000000e+06 5.3607500e-02 9.5447200e-01 5.1166858e-02
 9.5000000e+06 6.9079110e-02 9.7096900e-01 6.7073674e-02
 1.0000000e+07 9.0921100e-02 9.8227900e-01 8.9309887e-02
 1.0500000e+07 1.2245500e-01 9.8891800e-01 1.2109795e-01
 1.1000000e+07 1.6878700e-01 9.9359900e-01 1.6770659e-01
 1.1500000e+07 2.3617200e-01 9.9615700e-01 2.3526439e-01
 1.2000000e+07 3.2526500e-01 9.9775900e-01 3.2453608e-01
 1.2500000e+07 4.1385700e-01 9.9852500e-01 4.1324656e-01
 1.3000000e+07 4.6533200e-01 9.9898400e-01 4.6485922e-01
 1.3500000e+07 4.8420200e-01 9.9915600e-01 4.8379333e-01
 1.4000000e+07 4.9371900e-01 1.0062200e+00 4.9678993e-01
 1.4500000e+07 4.8794600e-01 1.1306700e+00 5.5170590e-01
 1.5000000e+07 4.5308700e-01 1.3376700e+00 6.0608089e-01
 1.5500000e+07 3.9419500e-01 1.5502300e+00 6.1109291e-01
 1.6000000e+07 3.2847700e-01 1.6798600e+00 5.5179537e-01
 1.6500000e+07 2.6883600e-01 1.7501300e+00 4.7049795e-01
 1.7000000e+07 2.1989200e-01 1.7900200e+00 3.9361108e-01
 1.7500000e+07 1.8142500e-01 1.8177700e+00 3.2978892e-01
 1.8000000e+07 1.5159200e-01 1.8349400e+00 2.7816222e-01
 1.8500000e+07 1.2842200e-01 1.8477700e+00 2.3729432e-01
 1.9000000e+07 1.1027400e-01 1.8593400e+00 2.0503686e-01
 1.9500000e+07 9.5899400e-02 1.8670300e+00 1.7904706e-01
 2.0000000e+07 8.4374300e-02 1.8771000e+00 1.5837900e-01
 2.1000000e+07 6.7052300e-02 1.9092700e+00 1.2802094e-01
 2.2000000e+07 5.5111000e-02 2.0087800e+00 1.1070587e-01
 2.3000000e+07 4.6570600e-02 2.1752600e+00 1.0130316e-01
 2.4000000e+07 4.0275000e-02 2.3768800e+00 9.5728842e-02
 2.5000000e+07 3.5517800e-02 2.5044700e+00 8.8953265e-02
 2.6000000e+07 3.1849400e-02 2.5860300e+00 8.2363504e-02
 2.7000000e+07 2.8972700e-02 2.6402400e+00 7.6494881e-02
 2.8000000e+07 2.6685300e-02 2.6820100e+00 7.1570241e-02
 2.9000000e+07 2.4845200e-02 2.7026300e+00 6.7147383e-02
 3.0000000e+07 2.3350400e-02 2.7424900e+00 6.4038238e-02
 3.2000000e+07 2.1116500e-02 2.8600400e+00 6.0394035e-02
 3.4000000e+07 1.9580600e-02 3.0039100e+00 5.8818360e-02
 3.6000000e+07 1.8504500e-02 3.1382600e+00 5.8071932e-02
 3.8000000e+07 1.7740000e-02 3.2659000e+00 5.7937066e-02
 4.0000000e+07 1.7190800e-02 3.4327000e+00 5.9010859e-02
 4.2000000e+07 1.6792600e-02 3.5828700e+00 6.0165703e-02
 4.4000000e+07 1.6500800e-02 3.7160100e+00 6.1317138e-02
 4.6000000e+07 1.6284300e-02 3.8371400e+00 6.2485139e-02
 4.8000000e+07 1.6120500e-02 3.9714000e+00 6.4020954e-02
 5.0000000e+07 1.5993200e-02 4.1126300e+00 6.5774114e-02
 5.2000000e+07 1.5890400e-02 4.2145100e+00 6.6970250e-02
 5.4000000e+07 1.5803300e-02 4.3327100e+00 6.8471116e-02
 5.6000000e+07 1.5725200e-02 4.4368900e+00 6.9770983e-02
 5.8000000e+07 1.5651200e-02 4.5582700e+00 7.1342395e-02
 6.0000000e+07 1.5577600e-02 4.6631700e+00 7.2640997e-02
 6.2000000e+07 1.5501900e-02 4.7705000e+00 7.3951814e-02
