

 ***************** Program ENDF2C (Version 2019-1) ***************
      Convert ENDF Data to Standard FORTRAN, C and C++ Format     
 -----------------------------------------------------------------------
 ENDF Tape Label (TPID)
 -----------------------------------------------------------------------
 JENDL/PD-2016.1  Ti- 48                                             1 0  0    0
 -----------------------------------------------------------------------
 Input       Output         Fractional Diff.    MAT MF  MT  Seq# Format
 -3.17814-30 -3.1781E-30    1.258597796190D-05 2231  6   5   140    6
 -1.91888-30 -1.9189E-30   -1.042274660214D-05 2231  6   5   140    6
 -4.92612-30 -4.9261E-30    4.059990418548D-06 2231  6   5   140    6
 -1.69702-23 -1.6970E-23    1.178536493379D-05 2231  6   5   141    6
 -7.63127-31 -7.6313E-31   -3.931193628328D-06 2231  6   5   142    6
 -8.62633-31 -8.6263E-31    3.477724594257D-06 2231  6   5   142    6
 -1.00335-30 -1.0034E-30   -4.983305925147D-05 2231  6   5   143    6
 -2.11493-30 -2.1149E-30    1.418486663872D-05 2231  6   5   143    6
 -1.01367-30 -1.0137E-30   -2.959543046541D-05 2231  6   5   144    6
 -2.59098-31 -2.5910E-31   -7.719086986291D-06 2231  6   5   144    6
 -6.15957-31 -6.1596E-31   -4.870469854093D-06 2231  6   5   145    6
 -4.74696-31 -4.7470E-31   -8.426445556626D-06 2231  6   5   145    6
 -3.77223-32 -3.7722E-32    7.952855472771D-06 2231  6   5   147    6
 -4.24008-32 -4.2401E-32   -4.716892134075D-06 2231  6   5   148    6
 -1.64391-32 -1.6439E-32    6.083058074910D-06 2231  6   5   148    6
 -3.88674-32 -3.8867E-32    1.029140101980D-05 2231  6   5   148    6
 -1.07818-32 -1.0782E-32   -1.854977833014D-05 2231  6   5   149    6
 -4.18018-33 -4.1802E-33   -4.784482964747D-06 2231  6   5   149    6
 -9.88333-33 -9.8833E-33    3.035414177211D-06 2231  6   5   149    6
 -6.01835-24 -6.0184E-24   -8.307924929567D-06 2231  6   5   150    6
 -7.69636-25 -7.6964E-25   -5.197262082230D-06 2231  6   5   150    6
 -1.67668-23 -1.6767E-23   -1.192833456590D-05 2231  6   5   151    6
 -5.08489-24 -5.0849E-24   -1.966610880350D-06 2231  6   5   154    6
 -6.50263-25 -6.5026E-25    4.613517915001D-06 2231  6   5   154    6
 -1.00528-29 -1.0053E-29   -1.989495463956D-05 2231  6   5   202    6
 -9.73119-30 -9.7312E-30   -1.027623548534D-06 2231  6   5   202    6
 -4.14548-25 -4.1455E-25   -4.824531778983D-06 2231  6   5   205    6
 -4.68602-25 -4.6860E-25    4.268014221231D-06 2231  6   5   205    6
 -4.19457-25 -4.1946E-25   -7.152103791240D-06 2231  6   5   206    6
 -1.52695-26 -1.5270E-26   -3.274501457143D-05 2231  6   5   206    6
 -1.05995-24 -1.0600E-24   -4.717203641668D-05 2231  6   5   207    6
 -2.23422-24 -2.2342E-24    8.951669933969D-06 2231  6   5   207    6
 -9.17257-31 -9.1726E-31   -3.270620992718D-06 2231  6   5   208    6
 -2.27919-32 -2.2792E-32   -4.387523637751D-06 2231  6   5   210    6
 -1.64541-31 -1.6454E-31    6.077512595566D-06 2231  6   5   211    6
 -4.20575-32 -4.2058E-32   -1.188848600128D-05 2231  6   5   211    6
 -1.18072-31 -1.1807E-31    1.693881699299D-05 2231  6   5   212    6
 -1.26182-33 -1.2618E-33    1.585012125336D-05 2231  6   5   212    6
 -7.75503-32 -7.7550E-32    3.868456988567D-06 2231  6   5   212    6
 -6.53836-33 -6.5384E-33   -6.117742063630D-06 2231  6   5   213    6
 -6.10181-32 -6.1018E-32    1.638857978329D-06 2231  6   5   213    6
 -4.80312-34 -4.8031E-34    4.163960092376D-06 2231  6   5   213    6
 -3.73333-33 -3.7333E-33    8.035721460296D-06 2231  6   5   214    6
 -5.66332-33 -5.6633E-33    3.531497425464D-06 2231  6   5   214    6
 -1.45388-32 -1.4539E-32   -1.375629350436D-05 2231  6   5   214    6
 -3.66503-33 -3.6650E-33    8.185471878825D-06 2231  6   5   215    6
 -1.26318-24 -1.2632E-24   -1.583305625489D-05 2231  6   5   216    6
 -1.34995-26 -1.3500E-26   -3.703840882985D-05 2231  6   5   216    6
 -8.29665-25 -8.2967E-25   -6.026528779539D-06 2231  6   5   216    6
 -2.18097-25 -2.1810E-25   -1.375534739113D-05 2231  6   5   217    6
 -4.32308-25 -4.3231E-25   -4.626331226823D-06 2231  6   5   217    6
 -2.70701-23 -2.7070E-23    3.694112692592D-06 2231  6   5   220    6
 -6.91925-24 -6.9193E-24   -7.226216714219D-06 2231  6   5   220    6
 -8.68033-24 -8.6803E-24    3.456089803163D-06 2231  6   5   221    6
 -1.73206-16 -1.7321E-16   -2.309388820246D-05 2231  6   5   222    6
 -1.72867-15 -1.7287E-15   -1.735438227083D-05 2231  6   5   224    6
 -2.36683-15 -2.3668E-15    1.267518157203D-05 2231  6   5   227    6
 -1.81008-31 -1.8101E-31   -1.104923539289D-05 2231  6   5   287    6
 -4.54779-31 -4.5478E-31   -2.198870220549D-06 2231  6   5   287    6
 -2.74583-31 -2.7458E-31    1.092565817988D-05 2231  6   5   287    6
 -7.04907-31 -7.0491E-31   -4.255880562975D-06 2231  6   5   287    6
 -4.24324-26 -4.2432E-26    9.426758797603D-06 2231  6   5   290    6
 -1.38996-25 -1.3900E-25   -2.877780655550D-05 2231  6   5   290    6
 -9.87513-26 -9.8751E-26    3.037934690535D-06 2231  6   5   290    6
 -1.27413-25 -1.2741E-25    2.354547809100D-05 2231  6   5   291    6
 -3.97698-26 -3.9770E-26   -5.028941558713D-06 2231  6   5   291    6
 -1.01654-26 -1.0165E-26    3.934916481403D-05 2231  6   5   291    6
 -1.27526-26 -1.2753E-26   -3.136615278457D-05 2231  6   5   292    6
 -1.49684-25 -1.4968E-25    2.672296304222D-05 2231  6   5   292    6
 -2.00039-26 -2.0004E-26   -4.999025190130D-06 2231  6   5   293    6
 -1.18931-25 -1.1893E-25    8.408236708703D-06 2231  6   5   293    6
 -8.29746-32 -8.2975E-32   -4.820752374787D-06 2231  6   5   294    6
 -2.12087-32 -2.1209E-32   -1.414513855153D-05 2231  6   5   294    6
 -2.66067-32 -2.6607E-32   -1.127535545560D-05 2231  6   5   294    6
 -1.16169-31 -1.1617E-31   -8.608148473422D-06 2231  6   5   295    6
 -4.22888-33 -4.2289E-33   -4.729384612374D-06 2231  6   5   295    6
 -2.44891-32 -2.4489E-32    4.083449371434D-06 2231  6   5   295    6
 -1.49201-32 -1.4920E-32    6.702367946729D-06 2231  6   5   296    6
 -7.35842-33 -7.3584E-33    2.717974782572D-06 2231  6   5   298    6
 -1.07382-33 -1.0738E-33    1.862509545370D-05 2231  6   5   298    6
 -3.30589-33 -3.3059E-33   -3.024904034856D-06 2231  6   5   299    6
 -1.44794-33 -1.4479E-33    2.762545409341D-05 2231  6   5   299    6
 -1.93503-34 -1.9350E-34    1.550363560235D-05 2231  6   5   300    6
 -1.15046-33 -1.1505E-33   -3.476870121503D-05 2231  6   5   300    6
 -1.44438-34 -1.4444E-34   -1.384677162532D-05 2231  6   5   301    6
 -4.73136-34 -4.7314E-34   -8.454228805323D-06 2231  6   5   301    6
 -3.36144-34 -3.3614E-34    1.189966204958D-05 2231  6   5   301    6
 -4.33708-34 -4.3371E-34   -4.611397530275D-06 2231  6   5   301    6
 -7.44576-26 -7.4458E-26   -5.372184974965D-06 2231  6   5   302    6
 -3.92034-26 -3.9203E-26    1.020319666145D-05 2231  6   5   302    6
 -4.18236-25 -4.1824E-25   -9.563978232412D-06 2231  6   5   303    6
 -2.70405-25 -2.7041E-25   -1.849078234488D-05 2231  6   5   303    6
 -1.43923-26 -1.4392E-26    2.084447933982D-05 2231  6   5   304    6
 -1.31514-23 -1.3151E-23    3.041501285037D-05 2231  6   5   307    6
 -3.73993-23 -3.7399E-23    8.021540510094D-06 2231  6   5   308    6
 -2.93158-16 -2.9316E-16   -6.822259668796D-06 2231  6   5   309    6
 -8.18755-17 -8.1876E-17   -6.106832935326D-06 2231  6   5   311    6
 -5.95487-32 -5.9549E-32   -5.037893354523D-06 2231  6   5   383    6
 -8.98085-34 -8.9809E-34   -5.567401749350D-06 2231  6   5   384    6
 -2.25654-26 -2.2565E-26    1.772625346772D-05 2231  6   5   386    6
 -9.26296-27 -9.2630E-27   -4.318274072194D-06 2231  6   5   387    6
 -1.67089-26 -1.6709E-26   -5.984834429435D-06 2231  6   5   387    6
 -1.47132-32 -1.4713E-32    1.359323600585D-05 2231  6   5   388    6
 -1.13389-32 -1.1339E-32   -8.819197629334D-06 2231  6   5   388    6
 -4.88867-33 -4.8887E-33   -6.136638390411D-06 2231  6   5   388    6
 -7.71767-27 -7.7177E-27   -3.887183566945D-06 2231  6   5   389    6
 -1.52978-26 -1.5298E-26   -1.307377531402D-05 2231  6   5   389    6
 -1.77716-26 -1.7772E-26   -2.250782146799D-05 2231  6   5   389    6
 -4.22417-33 -4.2242E-33   -7.101986899213D-06 2231  6   5   390    6
 -6.89927-33 -6.8993E-33   -4.348286123032D-06 2231  6   5   390    6
 -2.46061-33 -2.4606E-33    4.064032902463D-06 2231  6   5   391    6
 -3.80203-33 -3.8020E-33    7.890521642579D-06 2231  6   5   391    6
 -4.86209-34 -4.8621E-34   -2.056728690810D-06 2231  6   5   392    6
 -3.12126-34 -3.1213E-34   -1.281533739577D-05 2231  6   5   392    6
 -4.91188-34 -4.9119E-34   -4.071760710715D-06 2231  6   5   392    6
 -5.10161-34 -5.1016E-34    1.960165516435D-06 2231  6   5   393    6
 -3.91945-34 -3.9195E-34   -1.275689191080D-05 2231  6   5   393    6
 -5.77901-34 -5.7790E-34    1.730400189556D-06 2231  6   5   394    6
