   1   1   1   1 Total                                   *Definition of ENDF/B
   2   2   2   2 Elastic                                 *MT Numbers
   3   3   3   3 Nonelastic                              *
   4   4   4   4 Inelastic                               *Format
   5   5   0   0 (]g,remainder)                           *Columns
  10  10   0   0 Total Continuum                         *
  11  11   0   0 (]g,2n) d                                * 1- 4 ENDF/B-VI Lower
   0   0   6  15       MeV (]g,2n) Level                  *      MT Limit
  16  16  16  16 (]g,2n)                                  * 5- 8 ENDF/B-VI Upper
  17  17  17  17 (]g,3n)                                  *      MT Limit
  18  18  18  18 Fission                                 * 9-12 ENDF/B-V Lower
  19  19  19  19 (]g,f) First Chance                      *      MT Limit
  20  20  20  20 (]g,nf) Second Chance                    *13-16 ENDF/B-V Upper
  21  21  21  21 (]g,2nf) Third Chance                    *      MT Limit
  22  22  22  22 (]g,n') ]a                               *18-57 MT Definition
  23  23  23  23 (]g,n') 3]a                              *58-80 Comments
  24  24  24  24 (]g,2n) ]a                               *
  25  25  25  25 (]g,3n) ]a                               *WARNING
   0   0  26  26 (]g,2n) Isomeric State                   *
  27  27  27  27 Absorption                              *- Definitions only in
  28  28  28  28 (]g,n') p                                *  increasing MT order
  29  29  29  29 (]g,n') 2]a                              *- Last line of file
  30  30  30  30 (]g,2n) 2]a                              *  is blank or 0 in
  32  32  32  32 (]g,n') d                                *  columns 1 - 16
  33  33  33  33 (]g,n') t                                *- There may be 1000
  34  34  34  34 (]g,n') He-3                             *  definitions. If more
  35  35  35  35 (]g,n') d,2]a                            *  are included only
  36  36  36  36 (]g,n') t,2]a                            *  first 1000 are used.
  37  37  37  37 (]g,4n)                                  *- If the first 6
  38  38  38  38 (]g,3nf) Fourth Chance                   *  characters are blank
  41  41   0   0 (]g,2n) p                                *  the Q-value will be
  42  42   0   0 (]g,3n) p                                *  inserted in output.
  44  44   0   0 (]g,2n) p                                *
  45  45   0   0 (]g,n') p ]a                             *
  50  50   0   0 (]g,n') Ground                           *
   0   0  41  50       MeV (]g,2n) Level                  *
  51  90  51  90       MeV (]g,n') Level                  *
  91  91  91  91 (]g,n') Continuum                        *- ] switches to the
 101 101 101 101 Neutron Disappearance                   *  alternate character
 102 102 102 102 (]g,]g)                                  *  to print the next
 103 103 103 103 (]g,p)                                   *  character from the
 104 104 104 104 (]g,d)                                   *  Greek alphabet (e.g.
 105 105 105 105 (]g,t)                                   *  ]a will plot alpha).
 106 106 106 106 (]g,He-3)                                *
 107 107 107 107 (]g,]a)                                  *  definitions that
 108 108 108 108 (]g,2]a)                                 *  start with (]g, may
 109 109 109 109 (]g,3]a)                                 *  be modified during
 111 111 111 111 (]g,2p)                                  *  use to indicate the
 112 112 112 112 (]g,p) ]a                                *  actual incident
 113 113 113 113 (]g,t) 2]a                               *  particle. For
 114 114 114 114 (]g,d) 2]a                               *  example, ENDF/B-VI
 115 115 115 115 (]g,p) d                                 *  indicates in MF=1
 116 116 116 116 (]g,p) t                                 *
 117 117   0   0 (]g,d) ]a                                *  MT=451 the incident
   0   0 120 120 Target Destruction                      *  particle. If the
 151 151 151 151 Resonance Parameters                    *  the incident
 152 152 152 152 (]g,5n)                                  *  particle is a
 153 153 153 153 (]g,6n)                                  *  proton, MT=111 will
 154 154 154 154 (]g,2nt)                                 *  be modified to read
 155 155 155 155 (]g,t]a)                                 *  (p,2p)
 156 156 156 156 (]g,4np)                                 *
 157 157 157 157 (]g,3nd)                                 *
 158 158 158 158 (]g,n'd]a)                               *
 159 159 159 159 (]g,2np]a)                               *
 160 160 160 160 (]g,7n)                                  *
 161 161 161 161 (]g,8n)                                  *
 162 162 162 162 (]g,5np)                                 *
